Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",2201,16.11,"6821 - 5666 - 349",53.14,6821,5666,349
2,"Suicune ex Greninja ex",838,6.13,"2449 - 2150 - 125",51.84,2449,2150,125
3,"Mega Altaria ex Chingling",833,6.1,"2493 - 2127 - 150",52.26,2493,2127,150
4,"Greninja Oricorio",625,4.57,"1685 - 1626 - 85",49.62,1685,1626,85
5,"Giratina ex Darkrai ex",509,3.73,"1400 - 1283 - 88",50.52,1400,1283,88
6,"Galarian Obstagoon Mega Absol ex",460,3.37,"1020 - 1248 - 33",44.33,1020,1248,33
7,"Mega Altaria ex Gourgeist",453,3.32,"1448 - 1172 - 76",53.71,1448,1172,76
8,"Mega Altaria ex Indeedee ex",393,2.88,"1061 - 999 - 77",49.65,1061,999,77
9,"Magnezone Oricorio",380,2.78,"1196 - 994 - 71",52.9,1196,994,71
10,"Mega Kangaskhan ex Darkrai ex",311,2.28,"746 - 812 - 44",46.57,746,812,44
11,"Mega Altaria ex Greninja",287,2.1,"903 - 742 - 48",53.34,903,742,48
12,"Mega Charizard Y ex Entei ex",270,1.98,"730 - 694 - 42",49.8,730,694,42
13,"Mega Kangaskhan ex Pichu",234,1.71,"585 - 582 - 35",48.67,585,582,35
14,"Greninja Mega Kangaskhan ex",224,1.64,"605 - 594 - 24",49.47,605,594,24
15,"Mega Gardevoir ex Mewtwo ex",200,1.46,"363 - 506 - 16",41.02,363,506,16
16,"Mimikyu ex Greninja",183,1.34,"531 - 465 - 23",52.11,531,465,23
17,"Chandelure Meowth",167,1.22,"438 - 440 - 20",48.78,438,440,20
18,"Buzzwole ex Celesteela",140,1.02,"319 - 362 - 11",46.1,319,362,11
19,"Magnezone Mega Kangaskhan ex",139,1.02,"377 - 374 - 20",48.9,377,374,20
20,"Giratina ex Mimikyu ex",132,0.97,"404 - 344 - 32",51.79,404,344,32
21,"Greninja ex Suicune ex",128,0.94,"401 - 333 - 22",53.04,401,333,22
22,"Mega Steelix ex Indeedee ex",120,0.88,"313 - 332 - 23",46.86,313,332,23
23,"Buzzwole ex Pheromosa",114,0.83,"271 - 284 - 8",48.13,271,284,8
24,"Snorlax ex Indeedee ex",110,0.81,"300 - 278 - 43",48.31,300,278,43
25,"Mega Gardevoir ex Indeedee ex",93,0.68,"191 - 257 - 13",41.43,191,257,13
26,"Greninja Mega Absol ex",90,0.66,"282 - 239 - 14",52.71,282,239,14
27,"Mega Altaria ex Altaria",89,0.65,"268 - 229 - 16",52.24,268,229,16
28,"Decidueye ex Decidueye",87,0.64,"181 - 231 - 5",43.41,181,231,5
29,"Mega Blaziken ex",83,0.61,"233 - 229 - 17",48.64,233,229,17
30,"Jolteon ex Jolteon",81,0.59,"184 - 205 - 7",46.46,184,205,7
31,"Mega Lopunny ex Lucario",78,0.57,"184 - 186 - 13",48.04,184,186,13
32,"Mega Gardevoir ex Meloetta",76,0.56,"184 - 218 - 4",45.32,184,218,4
33,"Alolan Ninetales ex Crawdaunt",75,0.55,"151 - 206 - 5",41.71,151,206,5
34,"Mega Swampert ex",70,0.51,"132 - 184 - 6",40.99,132,184,6
35,"Leafeon ex Teal Mask Ogerpon ex",69,0.51,"136 - 179 - 3",42.77,136,179,3
36,"Mega Mawile ex",57,0.42,"111 - 150 - 3",42.05,111,150,3
37,"Crobat ex Mega Absol ex",55,0.4,"166 - 142 - 8",52.53,166,142,8
38,"Mega Gyarados ex Jellicent",54,0.4,"113 - 134 - 4",45.02,113,134,4
39,"Donphan ex Lucario",52,0.38,"121 - 134 - 7",46.18,121,134,7
40,"Galarian Obstagoon Darkrai ex",50,0.37,"77 - 144 - 1",34.68,77,144,1
41,"Alolan Ninetales ex Araquanid",49,0.36,"117 - 142 - 4",44.49,117,142,4
42,"Leafeon ex Celebi ex",47,0.34,"129 - 139 - 5",47.25,129,139,5
43,"Mega Blaziken ex Heatmor",43,0.31,"115 - 127 - 3",46.94,115,127,3
44,"Magnezone Oricorio",39,0.29,"104 - 105 - 7",48.15,104,105,7
45,"Whimsicott ex Ariados",39,0.29,"70 - 103 - 1",40.23,70,103,1
46,"Mega Venusaur ex",39,0.29,"65 - 102 - 1",38.69,65,102,1
47,"Flareon ex Leafeon ex",37,0.27,"72 - 99 - 0",42.11,72,99,0
48,"Buzzwole ex Kartana",35,0.26,"88 - 86 - 7",48.62,88,86,7
