Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",1747,12.98,"5333 - 4470 - 266",52.96,5333,4470,266
2,"Hydreigon Mega Absol ex",1254,9.32,"3758 - 3263 - 173",52.24,3758,3263,173
3,"Magnezone Mega Absol ex",1177,8.74,"3375 - 3105 - 165",50.79,3375,3105,165
4,"Mega Altaria ex Greninja",872,6.48,"2549 - 2265 - 146",51.39,2549,2265,146
5,"Mega Lopunny ex Lucario",585,4.35,"1455 - 1520 - 41",48.24,1455,1520,41
6,"Magnezone Oricorio",527,3.91,"1606 - 1389 - 83",52.18,1606,1389,83
7,"Mega Charizard Y ex Entei ex",486,3.61,"1117 - 1224 - 37",46.97,1117,1224,37
8,"Mega Altaria ex Indeedee ex",464,3.45,"1301 - 1204 - 50",50.92,1301,1204,50
9,"Mega Altaria ex Furfrou",422,3.13,"1295 - 1088 - 75",52.69,1295,1088,75
10,"Whimsicott ex Ariados",395,2.93,"899 - 1010 - 21",46.58,899,1010,21
11,"Greninja Mega Absol ex",394,2.93,"1191 - 1022 - 47",52.7,1191,1022,47
12,"Mega Venusaur ex",274,2.04,"665 - 742 - 24",46.47,665,742,24
13,"Decidueye ex Decidueye",204,1.52,"514 - 522 - 21",48.63,514,522,21
14,"Jolteon ex Jolteon",168,1.25,"445 - 430 - 18",49.83,445,430,18
15,"Magnezone Heliolisk",157,1.17,"393 - 427 - 14",47.12,393,427,14
16,"Magnezone Oricorio",147,1.09,"377 - 373 - 14",49.35,377,373,14
17,"Jolteon ex Zeraora",133,0.99,"318 - 340 - 12",47.46,318,340,12
18,"Mega Altaria ex Altaria",122,0.91,"330 - 315 - 13",50.15,330,315,13
19,"Greninja ex Suicune ex",112,0.83,"346 - 290 - 14",53.23,346,290,14
20,"Mega Blaziken ex Heatmor",104,0.77,"241 - 269 - 4",46.89,241,269,4
21,"Magnezone Darkrai ex",100,0.74,"262 - 261 - 7",49.43,262,261,7
22,"Mega Altaria ex Chingling",94,0.7,"286 - 257 - 16",51.16,286,257,16
23,"Mega Steelix ex Pichu",93,0.69,"200 - 248 - 10",43.67,200,248,10
24,"Mega Lopunny ex Magnezone",90,0.67,"229 - 263 - 10",45.62,229,263,10
25,"Greninja Oricorio",81,0.6,"247 - 199 - 20",53,247,199,20
26,"Mega Blaziken ex",79,0.59,"190 - 188 - 19",47.86,190,188,19
27,"Mega Lopunny ex Hitmonchan ex",60,0.45,"143 - 179 - 5",43.73,143,179,5
28,"Jolteon ex Mew ex",52,0.39,"85 - 133 - 0",38.99,85,133,0
29,"Jolteon ex Magnezone",50,0.37,"126 - 138 - 3",47.19,126,138,3
30,"Mega Altaria ex Magnezone",48,0.36,"128 - 131 - 7",48.12,128,131,7
31,"Mega Charizard Y ex Moltres ex",48,0.36,"74 - 133 - 3",35.24,74,133,3
32,"Magnezone Heliolisk",47,0.35,"95 - 123 - 2",43.18,95,123,2
33,"Mega Venusaur ex Venusaur",46,0.34,"88 - 123 - 4",40.93,88,123,4
34,"Mega Venusaur ex Venusaur",44,0.33,"58 - 105 - 4",34.73,58,105,4
35,"Mega Absol ex Darkrai ex",42,0.31,"75 - 118 - 2",38.46,75,118,2
36,"Mega Lopunny ex Hitmontop",38,0.28,"116 - 104 - 5",51.56,116,104,5
37,"Mega Lopunny ex Rampardos",38,0.28,"82 - 116 - 3",40.8,82,116,3
