Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",723,11.16,"2194 - 1846 - 95",53.06,2194,1846,95
2,"Suicune ex Greninja ex",540,8.33,"1608 - 1335 - 77",53.25,1608,1335,77
3,"Magnezone Mega Absol ex",536,8.27,"1621 - 1412 - 64",52.34,1621,1412,64
4,"Mega Altaria ex Greninja",392,6.05,"1263 - 993 - 78",54.11,1263,993,78
5,"Mega Lopunny ex Lucario",388,5.99,"1037 - 997 - 24",50.39,1037,997,24
6,"Mega Charizard Y ex Entei ex",292,4.51,"649 - 709 - 20",47.1,649,709,20
7,"Whimsicott ex Ariados",290,4.48,"675 - 736 - 14",47.37,675,736,14
8,"Mega Altaria ex Indeedee ex",203,3.13,"600 - 533 - 21",51.99,600,533,21
9,"Greninja Mega Absol ex",180,2.78,"560 - 471 - 12",53.69,560,471,12
10,"Magnezone Oricorio",161,2.48,"439 - 412 - 14",50.75,439,412,14
11,"Mega Altaria ex Furfrou",122,1.88,"401 - 315 - 22",54.34,401,315,22
12,"Magnezone Heliolisk",110,1.7,"273 - 291 - 9",47.64,273,291,9
13,"Jolteon ex Jolteon",109,1.68,"297 - 271 - 12",51.21,297,271,12
14,"Jolteon ex Zeraora",106,1.64,"257 - 274 - 10",47.5,257,274,10
15,"Magnezone Oricorio",95,1.47,"223 - 232 - 7",48.27,223,232,7
16,"Mega Altaria ex Altaria",77,1.19,"215 - 192 - 8",51.81,215,192,8
17,"Magnezone Darkrai ex",74,1.14,"203 - 194 - 3",50.75,203,194,3
18,"Decidueye ex Decidueye",68,1.05,"138 - 165 - 2",45.25,138,165,2
19,"Mega Blaziken ex Heatmor",65,1,"173 - 167 - 3",50.44,173,167,3
20,"Mega Steelix ex Pichu",62,0.96,"146 - 165 - 5",46.2,146,165,5
21,"Mega Lopunny ex Magnezone",58,0.9,"151 - 164 - 5",47.19,151,164,5
22,"Mega Venusaur ex",56,0.86,"133 - 161 - 4",44.63,133,161,4
23,"Jolteon ex Mew ex",45,0.69,"74 - 116 - 0",38.95,74,116,0
24,"Magnezone Heliolisk",44,0.68,"89 - 114 - 2",43.41,89,114,2
25,"Mega Lopunny ex Hitmonchan ex",41,0.63,"102 - 121 - 4",44.93,102,121,4
26,"Greninja ex Suicune ex",37,0.57,"98 - 91 - 3",51.04,98,91,3
27,"Mega Venusaur ex Lilligant",34,0.52,"71 - 99 - 1",41.52,71,99,1
28,"Mega Blaziken ex",32,0.49,"87 - 80 - 4",50.88,87,80,4
29,"Jolteon ex Magnezone",32,0.49,"75 - 89 - 2",45.18,75,89,2
30,"Mega Lopunny ex Rampardos",29,0.45,"62 - 81 - 2",42.76,62,81,2
31,"Mega Charizard Y ex Moltres ex",29,0.45,"46 - 77 - 1",37.1,46,77,1
32,"Mega Altaria ex Magnezone",25,0.39,"63 - 66 - 3",47.73,63,66,3
33,"Mega Venusaur ex Venusaur",25,0.39,"37 - 55 - 1",39.78,37,55,1
34,"Mega Charizard Y ex Charizard",23,0.35,"31 - 58 - 2",34.07,31,58,2
35,"Mega Venusaur ex Indeedee ex",19,0.29,"48 - 59 - 0",44.86,48,59,0
36,"Mega Venusaur ex Venusaur ex",18,0.28,"35 - 49 - 0",41.67,35,49,0
37,"Mega Venusaur ex Venusaur",18,0.28,"26 - 47 - 2",34.67,26,47,2
38,"Mega Absol ex Darkrai ex",17,0.26,"42 - 40 - 1",50.6,42,40,1
39,"Rampardos Ditto",17,0.26,"28 - 45 - 1",37.84,28,45,1
