Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",550,8.8,"1659 - 1519 - 87",50.81,1659,1519,87
2,"Mega Blaziken ex Castform Sunny Form",502,8.03,"1347 - 1377 - 66",48.28,1347,1377,66
3,"Mega Lucario ex Igglybuff",418,6.69,"1251 - 1153 - 62",50.73,1251,1153,62
4,"Magnezone ex Magnezone",363,5.81,"1154 - 951 - 81",52.79,1154,951,81
5,"Zoroark ex Mega Absol ex",302,4.83,"928 - 829 - 46",51.47,928,829,46
6,"Mega Altaria ex Gourgeist",269,4.3,"856 - 711 - 49",52.97,856,711,49
7,"Mega Lucario ex Lucario",256,4.1,"690 - 707 - 30",48.35,690,707,30
8,"Mega Sceptile ex Pheromosa",205,3.28,"617 - 572 - 21",50.99,617,572,21
9,"Greninja Mega Absol ex",200,3.2,"595 - 570 - 30",49.79,595,570,30
10,"Mega Altaria ex Greninja",194,3.1,"607 - 536 - 29",51.79,607,536,29
11,"Suicune ex Baxcalibur",182,2.91,"546 - 498 - 22",51.22,546,498,22
12,"Mega Sceptile ex Teal Mask Ogerpon ex",155,2.48,"436 - 430 - 18",49.32,436,430,18
13,"Mega Altaria ex Igglybuff",140,2.24,"433 - 365 - 20",52.93,433,365,20
14,"Mega Sceptile ex",139,2.22,"321 - 393 - 10",44.34,321,393,10
15,"Mega Lucario ex Hitmonchan ex",111,1.78,"270 - 311 - 12",45.53,270,311,12
16,"Mega Charizard X ex Mega Charizard Y ex",109,1.74,"272 - 281 - 13",48.06,272,281,13
17,"Mega Lucario ex Hitmontop",107,1.71,"359 - 298 - 23",52.79,359,298,23
18,"Alolan Ninetales ex Crawdaunt",101,1.62,"225 - 255 - 13",45.64,225,255,13
19,"Giratina ex Darkrai ex",93,1.49,"265 - 232 - 23",50.96,265,232,23
20,"Mega Manectric ex Zeraora",62,0.99,"201 - 153 - 9",55.37,201,153,9
21,"Zoroark ex Darkrai ex",61,0.98,"151 - 155 - 4",48.71,151,155,4
22,"Mega Lucario ex Greninja",60,0.96,"158 - 157 - 7",49.07,158,157,7
23,"Mega Sceptile ex Sceptile",59,0.94,"181 - 163 - 5",51.86,181,163,5
24,"Meowscarada ex Meowscarada",53,0.85,"145 - 139 - 8",49.66,145,139,8
25,"Greninja Decidueye ex",33,0.53,"62 - 83 - 1",42.47,62,83,1
26,"Mega Charizard Y ex Entei ex",28,0.45,"90 - 77 - 7",51.72,90,77,7
27,"Mega Venusaur ex",28,0.45,"65 - 73 - 4",45.77,65,73,4
28,"Mega Steelix ex Indeedee ex",28,0.45,"66 - 80 - 1",44.9,66,80,1
29,"Inteleon Pyukumuku",28,0.45,"47 - 80 - 2",36.43,47,80,2
30,"Mega Blaziken ex",25,0.4,"66 - 65 - 5",48.53,66,65,5
31,"Suicune ex Greninja ex",25,0.4,"56 - 71 - 3",43.08,56,71,3
32,"Flygon ex Indeedee ex",24,0.38,"65 - 71 - 3",46.76,65,71,3
33,"Mega Sceptile ex Greninja",23,0.37,"94 - 64 - 7",56.97,94,64,7
34,"Indeedee ex Stoutland",22,0.35,"42 - 54 - 1",43.3,42,54,1
35,"Leafeon ex Espeon ex",20,0.32,"49 - 50 - 0",49.49,49,50,0
36,"Vaporeon ex Inteleon",18,0.29,"42 - 54 - 0",43.75,42,54,0
37,"Flygon ex Giratina ex",16,0.26,"31 - 41 - 0",43.06,31,41,0
