Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",1092,10.69,"3236 - 2842 - 130",52.13,3236,2842,130
2,"Hydreigon Mega Absol ex",995,9.74,"3006 - 2593 - 141",52.37,3006,2593,141
3,"Mega Charizard X ex Mega Charizard Y ex",779,7.62,"2014 - 2057 - 67",48.67,2014,2057,67
4,"Mega Altaria ex Igglybuff",681,6.67,"1948 - 1837 - 78",50.43,1948,1837,78
5,"Mega Scizor ex Revavroom",548,5.36,"1422 - 1457 - 52",48.52,1422,1457,52
6,"Mega Manectric ex Zeraora",423,4.14,"1247 - 1076 - 76",51.98,1247,1076,76
7,"Mega Altaria ex Greninja",408,3.99,"1256 - 1065 - 60",52.75,1256,1065,60
8,"Mega Steelix ex Indeedee ex",342,3.35,"943 - 868 - 46",50.78,943,868,46
9,"Greninja Mega Absol ex",217,2.12,"636 - 526 - 25",53.58,636,526,25
10,"Mega Manectric ex Oricorio",181,1.77,"386 - 502 - 17",42.65,386,502,17
11,"Magnezone Teal Mask Ogerpon ex",179,1.75,"563 - 446 - 26",54.4,563,446,26
12,"Mega Altaria ex Gourgeist",165,1.61,"428 - 427 - 16",49.14,428,427,16
13,"Bellibolt ex Zeraora",162,1.59,"427 - 415 - 18",49.65,427,415,18
14,"Jolteon ex Mega Manectric ex",155,1.52,"352 - 420 - 7",45.19,352,420,7
15,"Magnezone Mega Manectric ex",138,1.35,"413 - 371 - 13",51.82,413,371,13
16,"Giratina ex Darkrai ex",137,1.34,"336 - 342 - 17",48.35,336,342,17
17,"Greninja Oricorio",98,0.96,"272 - 240 - 21",51.03,272,240,21
18,"Suicune ex Greninja ex",94,0.92,"255 - 249 - 9",49.71,255,249,9
19,"Mega Venusaur ex",92,0.9,"248 - 239 - 12",49.7,248,239,12
20,"Meowscarada ex Meowscarada",92,0.9,"229 - 227 - 5",49.67,229,227,5
21,"Mega Charizard Y ex Entei ex",82,0.8,"238 - 211 - 10",51.85,238,211,10
22,"Gourgeist Houndstone",82,0.8,"217 - 223 - 7",48.55,217,223,7
23,"Mega Slowbro ex Mantyke",81,0.79,"172 - 206 - 1",45.38,172,206,1
24,"Mega Scizor ex Skarmory",80,0.78,"167 - 209 - 7",43.6,167,209,7
25,"Greninja Decidueye ex",74,0.72,"218 - 181 - 16",52.53,218,181,16
26,"Mega Absol ex Darkrai ex",68,0.67,"185 - 191 - 5",48.56,185,191,5
27,"Dragonite ex Dragonite",66,0.65,"118 - 174 - 2",40.14,118,174,2
28,"Leafeon ex Teal Mask Ogerpon ex",63,0.62,"174 - 167 - 8",49.86,174,167,8
29,"Magnezone Bellibolt ex",49,0.48,"163 - 129 - 9",54.15,163,129,9
30,"Arceus ex Crobat",49,0.48,"139 - 124 - 5",51.87,139,124,5
31,"Mega Altaria ex",48,0.47,"158 - 126 - 10",53.74,158,126,10
32,"Magnezone Oricorio",46,0.45,"165 - 117 - 13",55.93,165,117,13
33,"Mega Blaziken ex Greninja",45,0.44,"138 - 119 - 5",52.67,138,119,5
34,"Mega Charizard X ex Entei ex",45,0.44,"111 - 119 - 1",48.05,111,119,1
35,"Mega Blaziken ex Heatmor",41,0.4,"102 - 100 - 3",49.76,102,100,3
36,"Mega Altaria ex Chingling",41,0.4,"115 - 109 - 8",49.57,115,109,8
37,"Mega Manectric ex Igglybuff",40,0.39,"107 - 105 - 4",49.54,107,105,4
38,"Mega Altaria ex Indeedee ex",34,0.33,"95 - 90 - 3",50.53,95,90,3
39,"Mega Manectric ex Silvally",32,0.31,"66 - 85 - 1",43.42,66,85,1
40,"Mega Venusaur ex Igglybuff",29,0.28,"67 - 88 - 2",42.68,67,88,2
41,"Guzzlord ex Indeedee ex",28,0.27,"95 - 67 - 13",54.29,95,67,13
42,"Alolan Ninetales ex Baxcalibur",28,0.27,"62 - 72 - 1",45.93,62,72,1
43,"Mega Gengar ex Igglybuff",26,0.25,"44 - 67 - 2",38.94,44,67,2
44,"Garchomp ex Rampardos",24,0.23,"53 - 70 - 2",42.4,53,70,2
