Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",1179,19.44,"3605 - 2986 - 123",53.69,3605,2986,123
2,"Giratina ex Darkrai ex",641,10.57,"1883 - 1619 - 67",52.76,1883,1619,67
3,"Guzzlord ex",404,6.66,"1121 - 997 - 48",51.75,1121,997,48
4,"Espeon ex Sylveon ex",242,3.99,"595 - 564 - 23",50.34,595,564,23
5,"Flareon ex Eevee ex",226,3.73,"656 - 593 - 14",51.94,656,593,14
6,"Buzzwole ex Pheromosa",174,2.87,"450 - 434 - 12",50.22,450,434,12
7,"Darkrai ex Arceus ex",168,2.77,"498 - 442 - 20",51.88,498,442,20
8,"Arceus ex Pichu",148,2.44,"356 - 363 - 6",49.1,356,363,6
9,"Suicune ex Giratina ex",134,2.21,"385 - 325 - 16",53.03,385,325,16
10,"Raikou ex Magnezone",119,1.96,"271 - 292 - 5",47.71,271,292,5
11,"Dragonite ex Dragonite",108,1.78,"252 - 276 - 10",46.84,252,276,10
12,"Greninja Oricorio",107,1.76,"271 - 248 - 15",50.75,271,248,15
13,"Silvally Rampardos",94,1.55,"299 - 259 - 12",52.46,299,259,12
14,"Silvally Pichu",82,1.35,"201 - 210 - 5",48.32,201,210,5
15,"Tapu Koko ex Oricorio",78,1.29,"213 - 219 - 4",48.85,213,219,4
16,"Raikou ex Pikachu ex",78,1.29,"209 - 231 - 2",47.29,209,231,2
17,"Raikou ex Tapu Koko ex",70,1.15,"194 - 174 - 7",51.73,194,174,7
18,"Dragonite ex Sylveon ex",61,1.01,"165 - 146 - 5",52.22,165,146,5
19,"Silvally Zeraora",61,1.01,"157 - 140 - 5",51.99,157,140,5
20,"Charizard ex Sylveon ex",54,0.89,"79 - 133 - 4",36.57,79,133,4
21,"Solgaleo ex Entei ex",50,0.82,"119 - 124 - 5",47.98,119,124,5
22,"Guzzlord ex Naganadel",43,0.71,"114 - 96 - 6",52.78,114,96,6
23,"Raikou ex Arceus ex",39,0.64,"95 - 99 - 1",48.72,95,99,1
24,"Silvally Oricorio",34,0.56,"84 - 80 - 3",50.3,84,80,3
25,"Buzzwole ex Celesteela",34,0.56,"91 - 95 - 3",48.15,91,95,3
26,"Umbreon ex Eevee ex",34,0.56,"76 - 83 - 2",47.2,76,83,2
27,"Meowscarada",32,0.53,"51 - 70 - 0",42.15,51,70,0
28,"Donphan ex Rampardos",28,0.46,"68 - 65 - 1",50.75,68,65,1
29,"Arceus ex Oricorio",28,0.46,"52 - 61 - 4",44.44,52,61,4
30,"Suicune ex Milotic",27,0.45,"62 - 74 - 1",45.26,62,74,1
31,"Exeggutor ex Alolan Exeggutor",26,0.43,"52 - 68 - 1",42.98,52,68,1
32,"Weavile ex Darkrai ex",25,0.41,"57 - 63 - 1",47.11,57,63,1
33,"Donphan ex Lucario",25,0.41,"43 - 59 - 0",42.16,43,59,0
34,"Flareon ex Sylveon ex",23,0.38,"87 - 72 - 6",52.73,87,72,6
35,"Sylveon ex Greninja",23,0.38,"49 - 60 - 2",44.14,49,60,2
36,"Flareon ex Leafeon ex",23,0.38,"42 - 54 - 0",43.75,42,54,0
37,"Altaria Silvally",22,0.36,"32 - 57 - 0",35.96,32,57,0
38,"Pikachu ex Raikou ex",20,0.33,"51 - 51 - 4",48.11,51,51,4
39,"Giratina ex Latias",20,0.33,"46 - 55 - 1",45.1,46,55,1
40,"Tapu Koko ex Pikachu ex",17,0.28,"47 - 39 - 1",54.02,47,39,1
41,"Darkrai ex Miltank",17,0.28,"27 - 46 - 0",36.99,27,46,0
42,"Suicune ex Gyarados",17,0.28,"28 - 51 - 0",35.44,28,51,0
43,"Suicune ex Magnezone",16,0.26,"28 - 34 - 2",43.75,28,34,2
44,"Poliwrath ex Politoed",16,0.26,"25 - 37 - 0",40.32,25,37,0
