Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",807,7.9,"2322 - 2201 - 122",49.99,2322,2201,122
2,"Mega Blaziken ex Castform Sunny Form",667,6.53,"1858 - 1854 - 86",48.92,1858,1854,86
3,"Mega Lucario ex Igglybuff",637,6.23,"1888 - 1745 - 80",50.85,1888,1745,80
4,"Zoroark ex Mega Absol ex",570,5.58,"1609 - 1541 - 76",49.88,1609,1541,76
5,"Mega Altaria ex Gourgeist",549,5.37,"1619 - 1427 - 86",51.69,1619,1427,86
6,"Magnezone ex Magnezone",540,5.28,"1656 - 1438 - 102",51.81,1656,1438,102
7,"Mega Altaria ex Greninja",387,3.79,"1187 - 1034 - 63",51.97,1187,1034,63
8,"Mega Lucario ex Lucario",356,3.48,"982 - 1000 - 41",48.54,982,1000,41
9,"Mega Sceptile ex Teal Mask Ogerpon ex",325,3.18,"873 - 880 - 39",48.72,873,880,39
10,"Suicune ex Baxcalibur",307,3,"864 - 816 - 42",50.17,864,816,42
11,"Mega Sceptile ex Pheromosa",264,2.58,"777 - 732 - 28",50.55,777,732,28
12,"Mega Lucario ex Hitmontop",254,2.49,"801 - 683 - 36",52.7,801,683,36
13,"Greninja Mega Absol ex",247,2.42,"709 - 694 - 34",49.34,709,694,34
14,"Mega Sceptile ex",239,2.34,"590 - 638 - 24",47.12,590,638,24
15,"Giratina ex Darkrai ex",215,2.1,"595 - 541 - 35",50.81,595,541,35
16,"Mega Altaria ex Igglybuff",209,2.05,"649 - 540 - 29",53.28,649,540,29
17,"Meowscarada ex Meowscarada",195,1.91,"583 - 535 - 19",51.28,583,535,19
18,"Mega Sceptile ex Sceptile",165,1.61,"538 - 454 - 24",52.95,538,454,24
19,"Mega Charizard X ex Mega Charizard Y ex",138,1.35,"349 - 349 - 17",48.81,349,349,17
20,"Alolan Ninetales ex Crawdaunt",133,1.3,"297 - 338 - 21",45.27,297,338,21
21,"Mega Lucario ex Hitmonchan ex",118,1.15,"284 - 330 - 12",45.37,284,330,12
22,"Mega Manectric ex Zeraora",114,1.12,"370 - 285 - 22",54.65,370,285,22
23,"Mega Lucario ex Greninja",84,0.82,"220 - 223 - 12",48.35,220,223,12
24,"Flygon ex Indeedee ex",83,0.81,"215 - 225 - 15",47.25,215,225,15
25,"Mega Sceptile ex Greninja",77,0.75,"257 - 209 - 17",53.21,257,209,17
26,"Zoroark ex Darkrai ex",67,0.66,"160 - 169 - 4",48.05,160,169,4
27,"Mega Venusaur ex",51,0.5,"137 - 126 - 5",51.12,137,126,5
28,"Mega Charizard Y ex Entei ex",45,0.44,"138 - 123 - 12",50.55,138,123,12
29,"Inteleon Pyukumuku",45,0.44,"86 - 124 - 5",40,86,124,5
30,"Greninja Decidueye ex",39,0.38,"74 - 99 - 1",42.53,74,99,1
31,"Mega Steelix ex Indeedee ex",38,0.37,"86 - 106 - 2",44.33,86,106,2
32,"Mega Blaziken ex Greninja",35,0.34,"103 - 94 - 5",50.99,103,94,5
33,"Guzzlord ex Indeedee ex",34,0.33,"96 - 98 - 9",47.29,96,98,9
34,"Suicune ex Greninja ex",34,0.33,"85 - 94 - 6",45.95,85,94,6
35,"Mega Blaziken ex",33,0.32,"88 - 90 - 6",47.83,88,90,6
36,"Armarouge ex Castform Sunny Form",31,0.3,"93 - 88 - 3",50.54,93,88,3
37,"Leafeon ex Espeon ex",31,0.3,"79 - 82 - 2",48.47,79,82,2
38,"Indeedee ex Stoutland",30,0.29,"58 - 79 - 1",42.03,58,79,1
