Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",747,17.32,"2326 - 1918 - 71",53.9,2326,1918,71
2,"Giratina ex Darkrai ex",476,11.03,"1388 - 1220 - 42",52.38,1388,1220,42
3,"Guzzlord ex",257,5.96,"766 - 662 - 41",52.14,766,662,41
4,"Espeon ex Sylveon ex",218,5.05,"557 - 510 - 22",51.15,557,510,22
5,"Flareon ex Eevee ex",165,3.82,"478 - 447 - 8",51.23,478,447,8
6,"Arceus ex Pichu",138,3.2,"334 - 333 - 6",49.63,334,333,6
7,"Darkrai ex Arceus ex",131,3.04,"378 - 349 - 12",51.15,378,349,12
8,"Buzzwole ex Pheromosa",127,2.94,"348 - 319 - 10",51.4,348,319,10
9,"Suicune ex Giratina ex",126,2.92,"371 - 303 - 16",53.77,371,303,16
10,"Raikou ex Magnezone",92,2.13,"200 - 217 - 3",47.62,200,217,3
11,"Greninja Oricorio",89,2.06,"226 - 203 - 9",51.6,226,203,9
12,"Dragonite ex Dragonite",83,1.92,"196 - 220 - 6",46.45,196,220,6
13,"Silvally Pichu",75,1.74,"185 - 193 - 3",48.56,185,193,3
14,"Silvally Rampardos",63,1.46,"234 - 176 - 10",55.71,234,176,10
15,"Raikou ex Pikachu ex",49,1.14,"130 - 152 - 2",45.77,130,152,2
16,"Charizard ex Sylveon ex",38,0.88,"58 - 93 - 0",38.41,58,93,0
17,"Tapu Koko ex Oricorio",35,0.81,"135 - 110 - 2",54.66,135,110,2
18,"Guzzlord ex Naganadel",33,0.76,"81 - 76 - 4",50.31,81,76,4
19,"Raikou ex Arceus ex",32,0.74,"78 - 80 - 1",49.06,78,80,1
20,"Meowscarada",30,0.7,"50 - 65 - 0",43.48,50,65,0
21,"Dragonite ex Sylveon ex",28,0.65,"83 - 74 - 2",52.2,83,74,2
22,"Buzzwole ex Celesteela",28,0.65,"75 - 76 - 3",48.7,75,76,3
23,"Silvally Oricorio",27,0.63,"66 - 63 - 3",50,66,63,3
24,"Arceus ex Oricorio",25,0.58,"50 - 54 - 3",46.73,50,54,3
25,"Raikou ex Tapu Koko ex",24,0.56,"75 - 66 - 3",52.08,75,66,3
26,"Solgaleo ex Entei ex",23,0.53,"59 - 60 - 3",48.36,59,60,3
27,"Weavile ex Darkrai ex",23,0.53,"54 - 57 - 1",48.21,54,57,1
28,"Suicune ex Milotic",22,0.51,"55 - 61 - 1",47.01,55,61,1
29,"Donphan ex Rampardos",20,0.46,"50 - 50 - 1",49.5,50,50,1
30,"Flareon ex Leafeon ex",20,0.46,"41 - 47 - 0",46.59,41,47,0
31,"Donphan ex Lucario",20,0.46,"41 - 50 - 0",45.05,41,50,0
32,"Sylveon ex Greninja",20,0.46,"43 - 52 - 2",44.33,43,52,2
33,"Umbreon ex Eevee ex",19,0.44,"47 - 48 - 1",48.96,47,48,1
34,"Altaria Silvally",18,0.42,"29 - 47 - 0",38.16,29,47,0
35,"Flareon ex Sylveon ex",16,0.37,"65 - 53 - 4",53.28,65,53,4
36,"Exeggutor ex Alolan Exeggutor",16,0.37,"31 - 41 - 1",42.47,31,41,1
37,"Poliwrath ex Politoed",16,0.37,"25 - 37 - 0",40.32,25,37,0
38,"Darkrai ex Miltank",15,0.35,"23 - 39 - 0",37.1,23,39,0
39,"Suicune ex Gyarados",15,0.35,"23 - 43 - 0",34.85,23,43,0
40,"Guzzlord ex Nihilego",14,0.32,"35 - 33 - 1",50.72,35,33,1
41,"Giratina ex Latias",12,0.28,"27 - 30 - 0",47.37,27,30,0
42,"Crobat ex Darkrai ex",12,0.28,"28 - 35 - 1",43.75,28,35,1
43,"Silvally Darkrai ex",12,0.28,"17 - 29 - 0",36.96,17,29,0
44,"Sylveon ex Stoutland",11,0.25,"23 - 26 - 1",46,23,26,1
45,"Suicune ex Silvally",10,0.23,"27 - 28 - 0",49.09,27,28,0
46,"Silvally Arceus ex",10,0.23,"25 - 25 - 1",49.02,25,25,1
47,"Pikachu ex Tapu Koko ex",10,0.23,"26 - 29 - 0",47.27,26,29,0
48,"Snorlax ex Ho-Oh ex",10,0.23,"13 - 24 - 1",34.21,13,24,1
49,"Mewtwo ex Gardevoir",10,0.23,"8 - 24 - 1",24.24,8,24,1
50,"Alolan Raichu ex Raikou ex",9,0.21,"34 - 26 - 0",56.67,34,26,0
51,"Arceus ex Tapu Koko ex",9,0.21,"23 - 21 - 0",52.27,23,21,0
