Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Altaria ex Indeedee ex",1523,9,"4650 - 3902 - 175",53.28,4650,3902,175
2,"Suicune ex Greninja ex",1497,8.85,"4321 - 3806 - 127",52.35,4321,3806,127
3,"Mega Absol ex Darkrai ex",1396,8.25,"3900 - 3466 - 161",51.81,3900,3466,161
4,"Hydreigon Mega Absol ex",1239,7.32,"3401 - 3167 - 142",50.69,3401,3167,142
5,"Mega Blaziken ex Heatmor",987,5.83,"2917 - 2574 - 115",52.03,2917,2574,115
6,"Magnezone Oricorio",714,4.22,"2065 - 1795 - 101",52.13,2065,1795,101
7,"Decidueye ex Decidueye",678,4.01,"1755 - 1710 - 76",49.56,1755,1710,76
8,"Mega Blaziken ex Entei ex",672,3.97,"1581 - 1750 - 35",46.97,1581,1750,35
9,"Greninja ex Suicune ex",597,3.53,"1856 - 1522 - 60",53.98,1856,1522,60
10,"Mega Altaria ex Jirachi",374,2.21,"1003 - 946 - 37",50.5,1003,946,37
11,"Greninja Mega Absol ex",284,1.68,"762 - 720 - 27",50.5,762,720,27
12,"Greninja Oricorio",277,1.64,"763 - 688 - 27",51.62,763,688,27
13,"Suicune ex Greninja",223,1.32,"533 - 571 - 11",47.8,533,571,11
14,"Mega Altaria ex Giratina ex",174,1.03,"512 - 421 - 16",53.95,512,421,16
15,"Mega Absol ex Hydreigon",161,0.95,"408 - 417 - 15",48.57,408,417,15
16,"Espeon ex Indeedee ex",155,0.92,"387 - 378 - 43",47.9,387,378,43
17,"Mega Blaziken ex Blaziken",155,0.92,"345 - 399 - 5",46.06,345,399,5
18,"Jolteon ex Pikachu ex",137,0.81,"310 - 356 - 13",45.66,310,356,13
19,"Mega Altaria ex Chingling",135,0.8,"420 - 341 - 17",53.98,420,341,17
20,"Arceus ex Crobat",121,0.72,"293 - 295 - 22",48.03,293,295,22
21,"Mega Absol ex Chingling",119,0.7,"353 - 313 - 16",51.76,353,313,16
22,"Mega Ampharos ex Ampharos",116,0.69,"250 - 306 - 9",44.25,250,306,9
23,"Luxray Oricorio",111,0.66,"290 - 277 - 10",50.26,290,277,10
24,"Mega Altaria ex Altaria",109,0.64,"296 - 268 - 5",52.02,296,268,5
25,"Naganadel Guzzlord ex",100,0.59,"261 - 252 - 23",48.69,261,252,23
26,"Crobat ex Mega Absol ex",93,0.55,"273 - 242 - 8",52.2,273,242,8
27,"Leafeon ex Mega Pinsir ex",87,0.51,"166 - 226 - 3",42.03,166,226,3
28,"Mega Altaria ex Sylveon ex",81,0.48,"180 - 207 - 5",45.92,180,207,5
29,"Mega Pidgeot ex Pidgeot",80,0.47,"104 - 184 - 12",34.67,104,184,12
30,"Silvally Oricorio",72,0.43,"165 - 156 - 7",50.3,165,156,7
31,"Hitmonchan ex Rampardos",70,0.41,"138 - 196 - 2",41.07,138,196,2
32,"Charizard ex Moltres ex",67,0.4,"101 - 181 - 2",35.56,101,181,2
33,"Mega Altaria ex Altaria",66,0.39,"171 - 165 - 2",50.59,171,165,2
34,"Indeedee ex Goodra",66,0.39,"153 - 169 - 4",46.93,153,169,4
35,"Mega Ampharos ex Oricorio",66,0.39,"148 - 173 - 6",45.26,148,173,6
36,"Naganadel Mega Absol ex",62,0.37,"177 - 175 - 3",49.86,177,175,3
37,"Luxray Oricorio",57,0.34,"132 - 156 - 2",45.52,132,156,2
38,"Giratina ex Darkrai ex",57,0.34,"116 - 138 - 4",44.96,116,138,4
39,"Mega Blaziken ex",57,0.34,"124 - 150 - 2",44.93,124,150,2
40,"Mega Absol ex Absol",53,0.31,"159 - 135 - 9",52.48,159,135,9
41,"Mega Altaria ex Dusknoir",51,0.3,"125 - 149 - 6",44.64,125,149,6
42,"Mega Blaziken ex Heatmor",47,0.28,"154 - 122 - 5",54.8,154,122,5
43,"Jolteon ex Oricorio",46,0.27,"108 - 116 - 1",48,108,116,1
44,"Espeon ex Sylveon ex",44,0.26,"96 - 122 - 3",43.44,96,122,3
45,"Mega Gyarados ex Gyarados",44,0.26,"75 - 105 - 3",40.98,75,105,3
46,"Victreebel Chingling",43,0.25,"118 - 121 - 2",48.96,118,121,2
47,"Hydreigon Sylveon ex",40,0.24,"100 - 111 - 4",46.51,100,111,4
48,"Mega Gyarados ex Mantyke",39,0.23,"63 - 100 - 2",38.18,63,100,2
49,"Jolteon ex Zeraora",38,0.22,"100 - 97 - 5",49.5,100,97,5
50,"Indeedee ex Giratina ex",37,0.22,"101 - 91 - 4",51.53,101,91,4
51,"Silvally Rampardos",37,0.22,"67 - 88 - 3",42.41,67,88,3
