Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",2698,18.14,"7612 - 6501 - 356",52.61,7612,6501,356
2,"Giratina ex Darkrai ex",1592,10.7,"4314 - 3873 - 225",51.28,4314,3873,225
3,"Guzzlord ex",892,6,"2383 - 2181 - 124",50.83,2383,2181,124
4,"Flareon ex Eevee ex",664,4.46,"1801 - 1645 - 58",51.4,1801,1645,58
5,"Espeon ex Sylveon ex",403,2.71,"1007 - 964 - 34",50.22,1007,964,34
6,"Darkrai ex Arceus ex",364,2.45,"941 - 884 - 43",50.37,941,884,43
7,"Buzzwole ex Pheromosa",313,2.1,"823 - 773 - 33",50.52,823,773,33
8,"Greninja Oricorio",259,1.74,"717 - 586 - 60",52.6,717,586,60
9,"Dragonite ex Dragonite",254,1.71,"544 - 606 - 20",46.5,544,606,20
10,"Arceus ex Pichu",235,1.58,"607 - 577 - 18",50.5,607,577,18
11,"Charizard ex",217,1.46,"529 - 538 - 29",48.27,529,538,29
12,"Decidueye ex Decidueye",186,1.25,"438 - 451 - 28",47.76,438,451,28
13,"Silvally Rampardos",177,1.19,"509 - 462 - 34",50.65,509,462,34
14,"Silvally Zeraora",176,1.18,"468 - 427 - 20",51.15,468,427,20
15,"Tapu Koko ex Pikachu ex",163,1.1,"440 - 372 - 16",53.14,440,372,16
16,"Raikou ex Magnezone",160,1.08,"366 - 408 - 9",46.74,366,408,9
17,"Suicune ex Giratina ex",151,1.02,"418 - 368 - 17",52.05,418,368,17
18,"Pikachu ex Tapu Koko ex",143,0.96,"411 - 339 - 18",53.52,411,339,18
19,"Tapu Koko ex Oricorio",137,0.92,"359 - 357 - 13",49.25,359,357,13
20,"Dragonite ex Sylveon ex",132,0.89,"339 - 323 - 7",50.67,339,323,7
21,"Raikou ex Pikachu ex",119,0.8,"276 - 333 - 3",45.1,276,333,3
22,"Raikou ex Tapu Koko ex",117,0.79,"302 - 285 - 11",50.5,302,285,11
23,"Exeggutor ex Alolan Exeggutor",116,0.78,"278 - 314 - 7",46.41,278,314,7
24,"Silvally Pichu",99,0.67,"250 - 247 - 7",49.6,250,247,7
25,"Umbreon ex Eevee ex",97,0.65,"207 - 224 - 6",47.37,207,224,6
26,"Solgaleo ex Entei ex",94,0.63,"208 - 227 - 15",46.22,208,227,15
27,"Charizard ex Sylveon ex",93,0.63,"177 - 215 - 7",44.36,177,215,7
28,"Guzzlord ex Naganadel",89,0.6,"239 - 208 - 14",51.84,239,208,14
29,"Buzzwole ex Celesteela",79,0.53,"229 - 197 - 14",52.05,229,197,14
30,"Snorlax ex Darkrai ex",77,0.52,"209 - 180 - 10",52.38,209,180,10
31,"Crobat ex Darkrai ex",76,0.51,"194 - 196 - 2",49.49,194,196,2
32,"Raikou ex Arceus ex",69,0.46,"166 - 173 - 5",48.26,166,173,5
33,"Mewtwo ex Gardevoir",69,0.46,"115 - 158 - 3",41.67,115,158,3
34,"Skarmory ex",62,0.42,"157 - 163 - 9",47.72,157,163,9
35,"Suicune ex Palkia ex",58,0.39,"140 - 146 - 3",48.44,140,146,3
36,"Flareon ex Sylveon ex",56,0.38,"171 - 160 - 11",50,171,160,11
37,"Incineroar ex",56,0.38,"138 - 142 - 8",47.92,138,142,8
38,"Silvally Oricorio",55,0.37,"140 - 126 - 5",51.66,140,126,5
39,"Crobat ex Nihilego",54,0.36,"125 - 141 - 5",46.13,125,141,5
40,"Weavile ex Darkrai ex",53,0.36,"128 - 129 - 1",49.61,128,129,1
41,"Snorlax ex Ho-Oh ex",52,0.35,"133 - 121 - 2",51.95,133,121,2
42,"Suicune ex Gyarados",47,0.32,"101 - 120 - 4",44.89,101,120,4
43,"Silvally Giratina ex",46,0.31,"107 - 116 - 3",47.35,107,116,3
44,"Alolan Raichu ex Raikou ex",46,0.31,"107 - 118 - 2",47.14,107,118,2
45,"Meowscarada",45,0.3,"68 - 102 - 0",40,68,102,0
46,"Pikachu ex Raikou ex",44,0.3,"113 - 113 - 5",48.92,113,113,5
47,"Charizard ex Moltres ex",44,0.3,"87 - 100 - 3",45.79,87,100,3
48,"Flareon ex Leafeon ex",42,0.28,"66 - 98 - 1",40,66,98,1
49,"Donphan ex Rampardos",40,0.27,"99 - 97 - 2",50,99,97,2
50,"Infernape ex Entei ex",40,0.27,"80 - 89 - 4",46.24,80,89,4
51,"Lugia ex Ho-Oh ex",40,0.27,"75 - 101 - 2",42.13,75,101,2
52,"Donphan ex Lucario",39,0.26,"69 - 94 - 1",42.07,69,94,1
53,"Pikachu ex Oricorio",38,0.26,"108 - 102 - 3",50.7,108,102,3
54,"Arceus ex Tapu Koko ex",37,0.25,"123 - 86 - 7",56.94,123,86,7
55,"Arceus ex Oricorio",37,0.25,"65 - 80 - 4",43.62,65,80,4
56,"Sylveon ex Greninja",33,0.22,"63 - 89 - 2",40.91,63,89,2
57,"Suicune ex Milotic",32,0.22,"71 - 86 - 1",44.94,71,86,1
58,"Slurpuff Alcremie",30,0.2,"72 - 83 - 0",46.45,72,83,0
59,"Arceus ex Crobat",29,0.19,"67 - 69 - 2",48.55,67,69,2
60,"Giratina ex Silvally",29,0.19,"66 - 74 - 3",46.15,66,74,3
61,"Charizard ex Entei ex",28,0.19,"75 - 69 - 3",51.02,75,69,3
62,"Suicune ex Greninja",28,0.19,"83 - 72 - 13",49.4,83,72,13
63,"Pikachu ex Oricorio",27,0.18,"88 - 65 - 8",54.66,88,65,8
64,"Solgaleo ex Raikou ex",27,0.18,"65 - 70 - 2",47.45,65,70,2
65,"Giratina ex Latias",26,0.17,"67 - 72 - 1",47.86,67,72,1
66,"Pikachu ex Zebstrika",25,0.17,"69 - 64 - 0",51.88,69,64,0
67,"Poliwrath ex Politoed",25,0.17,"43 - 64 - 2",39.45,43,64,2
68,"Guzzlord ex Nihilego",24,0.16,"59 - 57 - 3",49.58,59,57,3
