Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",1884,9.56,"5398 - 4720 - 186",52.39,5398,4720,186
2,"Mega Altaria ex Indeedee ex",1825,9.26,"5373 - 4607 - 207",52.74,5373,4607,207
3,"Hydreigon Mega Absol ex",1652,8.38,"4551 - 4172 - 204",50.98,4551,4172,204
4,"Mega Absol ex Darkrai ex",1428,7.25,"3964 - 3541 - 162",51.7,3964,3541,162
5,"Mega Blaziken ex Heatmor",1117,5.67,"3216 - 2900 - 129",51.5,3216,2900,129
6,"Magnezone Oricorio",945,4.8,"2723 - 2360 - 140",52.13,2723,2360,140
7,"Greninja ex Suicune ex",860,4.36,"2524 - 2151 - 95",52.91,2524,2151,95
8,"Decidueye ex Decidueye",743,3.77,"1902 - 1872 - 82",49.33,1902,1872,82
9,"Mega Blaziken ex Entei ex",681,3.46,"1588 - 1777 - 35",46.71,1588,1777,35
10,"Mega Altaria ex Jirachi",388,1.97,"1048 - 986 - 38",50.58,1048,986,38
11,"Greninja Mega Absol ex",358,1.82,"993 - 902 - 42",51.26,993,902,42
12,"Greninja Oricorio",305,1.55,"836 - 746 - 34",51.73,836,746,34
13,"Suicune ex Greninja",236,1.2,"557 - 601 - 11",47.65,557,601,11
14,"Mega Altaria ex Giratina ex",193,0.98,"545 - 459 - 16",53.43,545,459,16
15,"Espeon ex Indeedee ex",174,0.88,"422 - 430 - 46",46.99,422,430,46
16,"Mega Absol ex Hydreigon",173,0.88,"430 - 446 - 15",48.26,430,446,15
17,"Mega Blaziken ex Blaziken",170,0.86,"373 - 434 - 5",45.94,373,434,5
18,"Jolteon ex Pikachu ex",142,0.72,"318 - 370 - 13",45.36,318,370,13
19,"Mega Altaria ex Chingling",135,0.69,"420 - 341 - 17",53.98,420,341,17
20,"Crobat ex Mega Absol ex",132,0.67,"378 - 355 - 11",50.81,378,355,11
21,"Mega Absol ex Chingling",130,0.66,"384 - 338 - 16",52.03,384,338,16
22,"Arceus ex Crobat",130,0.66,"303 - 318 - 22",47.12,303,318,22
23,"Mega Ampharos ex Ampharos",120,0.61,"253 - 314 - 9",43.92,253,314,9
24,"Mega Altaria ex Altaria",116,0.59,"308 - 279 - 6",51.94,308,279,6
25,"Luxray Oricorio",114,0.58,"299 - 286 - 10",50.25,299,286,10
26,"Naganadel Guzzlord ex",103,0.52,"269 - 262 - 23",48.56,269,262,23
27,"Naganadel Mega Absol ex",90,0.46,"249 - 250 - 4",49.5,249,250,4
28,"Leafeon ex Mega Pinsir ex",90,0.46,"171 - 236 - 3",41.71,171,236,3
29,"Mega Altaria ex Sylveon ex",83,0.42,"180 - 210 - 5",45.57,180,210,5
30,"Mega Pidgeot ex Pidgeot",81,0.41,"105 - 187 - 12",34.54,105,187,12
31,"Mega Blaziken ex Heatmor",77,0.39,"236 - 198 - 8",53.39,236,198,8
32,"Mega Altaria ex Altaria",75,0.38,"191 - 186 - 3",50.26,191,186,3
33,"Silvally Oricorio",74,0.38,"170 - 162 - 7",50.15,170,162,7
34,"Hitmonchan ex Rampardos",72,0.37,"144 - 202 - 2",41.38,144,202,2
35,"Charizard ex Moltres ex",72,0.37,"105 - 193 - 2",35,105,193,2
36,"Indeedee ex Goodra",69,0.35,"160 - 175 - 4",47.2,160,175,4
37,"Mega Absol ex Absol",68,0.35,"183 - 174 - 9",50,183,174,9
38,"Mega Ampharos ex Oricorio",66,0.33,"148 - 173 - 6",45.26,148,173,6
39,"Mega Blaziken ex",65,0.33,"137 - 170 - 3",44.19,137,170,3
40,"Giratina ex Darkrai ex",65,0.33,"123 - 155 - 4",43.62,123,155,4
41,"Luxray Oricorio",60,0.3,"137 - 161 - 3",45.51,137,161,3
42,"Mega Altaria ex Dusknoir",53,0.27,"129 - 154 - 6",44.64,129,154,6
43,"Jolteon ex Oricorio",50,0.25,"113 - 127 - 1",46.89,113,127,1
44,"Espeon ex Sylveon ex",46,0.23,"98 - 126 - 3",43.17,98,126,3
45,"Jolteon ex Zeraora",44,0.22,"118 - 111 - 5",50.43,118,111,5
46,"Victreebel Chingling",44,0.22,"118 - 122 - 2",48.76,118,122,2
47,"Mega Gyarados ex Gyarados",44,0.22,"75 - 105 - 3",40.98,75,105,3
48,"Hydreigon Sylveon ex",40,0.2,"100 - 111 - 4",46.51,100,111,4
49,"Silvally Rampardos",40,0.2,"77 - 98 - 3",43.26,77,98,3
50,"Mega Ampharos ex Pichu",40,0.2,"76 - 98 - 6",42.22,76,98,6
51,"Mega Absol ex Dusknoir",40,0.2,"78 - 105 - 5",41.49,78,105,5
