Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",973,7.07,"2710 - 2618 - 134",49.62,2710,2618,134
2,"Mega Lucario ex Igglybuff",830,6.03,"2362 - 2199 - 105",50.62,2362,2199,105
3,"Mega Blaziken ex Castform Sunny Form",801,5.82,"2163 - 2216 - 95",48.35,2163,2216,95
4,"Zoroark ex Mega Absol ex",694,5.04,"1913 - 1857 - 91",49.55,1913,1857,91
5,"Magnezone ex Magnezone",689,5,"2043 - 1788 - 122",51.68,2043,1788,122
6,"Mega Altaria ex Gourgeist",661,4.8,"1934 - 1691 - 104",51.86,1934,1691,104
7,"Mega Altaria ex Greninja",544,3.95,"1574 - 1422 - 72",51.3,1574,1422,72
8,"Suicune ex Baxcalibur",515,3.74,"1453 - 1290 - 69",51.67,1453,1290,69
9,"Mega Lucario ex Lucario",432,3.14,"1167 - 1193 - 50",48.42,1167,1193,50
10,"Mega Altaria ex Igglybuff",426,3.09,"1276 - 1076 - 53",53.06,1276,1076,53
11,"Mega Sceptile ex Sceptile",386,2.8,"1135 - 964 - 48",52.86,1135,964,48
12,"Mega Sceptile ex Teal Mask Ogerpon ex",385,2.8,"982 - 1043 - 40",47.55,982,1043,40
13,"Mega Lucario ex Hitmontop",369,2.68,"1143 - 954 - 53",53.16,1143,954,53
14,"Greninja Mega Absol ex",327,2.38,"914 - 895 - 39",49.46,914,895,39
15,"Meowscarada ex Meowscarada",317,2.3,"903 - 814 - 37",51.48,903,814,37
16,"Giratina ex Darkrai ex",308,2.24,"894 - 745 - 57",52.71,894,745,57
17,"Mega Sceptile ex Pheromosa",277,2.01,"809 - 767 - 28",50.44,809,767,28
18,"Mega Sceptile ex",253,1.84,"603 - 669 - 24",46.53,603,669,24
19,"Mega Manectric ex Zeraora",206,1.5,"621 - 510 - 32",53.4,621,510,32
20,"Mega Charizard X ex Mega Charizard Y ex",172,1.25,"423 - 427 - 18",48.73,423,427,18
21,"Alolan Ninetales ex Crawdaunt",148,1.07,"323 - 377 - 22",44.74,323,377,22
22,"Mega Lucario ex Hitmonchan ex",127,0.92,"312 - 356 - 12",45.88,312,356,12
23,"Mega Lucario ex Greninja",104,0.76,"259 - 269 - 12",47.96,259,269,12
24,"Mega Sceptile ex Greninja",93,0.68,"292 - 249 - 18",52.24,292,249,18
25,"Flygon ex Indeedee ex",90,0.65,"223 - 242 - 15",46.46,223,242,15
26,"Mega Charizard Y ex Entei ex",82,0.6,"213 - 203 - 18",49.08,213,203,18
27,"Mega Venusaur ex",73,0.53,"190 - 183 - 6",50.13,190,183,6
28,"Zoroark ex Darkrai ex",67,0.49,"160 - 169 - 4",48.05,160,169,4
29,"Mega Blaziken ex Greninja",57,0.41,"169 - 149 - 9",51.68,169,149,9
30,"Mega Lucario ex",55,0.4,"121 - 145 - 4",44.81,121,145,4
31,"Flygon ex Sylveon ex",54,0.39,"136 - 125 - 10",50.18,136,125,10
32,"Armarouge ex Castform Sunny Form",53,0.38,"144 - 134 - 5",50.88,144,134,5
33,"Inteleon Pyukumuku",52,0.38,"100 - 139 - 7",40.65,100,139,7
34,"Guzzlord ex Indeedee ex",51,0.37,"142 - 140 - 11",48.46,142,140,11
35,"Mega Steelix ex Indeedee ex",47,0.34,"127 - 127 - 4",49.22,127,127,4
36,"Greninja Decidueye ex",43,0.31,"81 - 112 - 1",41.75,81,112,1
37,"Gourgeist Houndstone",40,0.29,"114 - 95 - 4",53.52,114,95,4
38,"Mega Blaziken ex",39,0.28,"92 - 106 - 6",45.1,92,106,6
39,"Leafeon ex Espeon ex",38,0.28,"102 - 99 - 2",50.25,102,99,2
40,"Buzzwole ex Celesteela",37,0.27,"90 - 96 - 2",47.87,90,96,2
41,"Suicune ex Greninja ex",37,0.27,"96 - 102 - 6",47.06,96,102,6
42,"Flygon ex Giratina ex",36,0.26,"82 - 96 - 2",45.56,82,96,2
43,"Greninja Giratina ex",35,0.25,"99 - 86 - 4",52.38,99,86,4
