Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",361,14.39,"1076 - 875 - 23",54.51,1076,875,23
2,"Giratina ex Darkrai ex",298,11.88,"857 - 742 - 18",53,857,742,18
3,"Espeon ex Sylveon ex",182,7.25,"469 - 419 - 17",51.82,469,419,17
4,"Arceus ex Pichu",105,4.18,"250 - 239 - 5",50.61,250,239,5
5,"Suicune ex Giratina ex",102,4.07,"336 - 241 - 14",56.85,336,241,14
6,"Guzzlord ex",79,3.15,"248 - 201 - 8",54.27,248,201,8
7,"Greninja Oricorio",77,3.07,"192 - 175 - 7",51.34,192,175,7
8,"Buzzwole ex Pheromosa",73,2.91,"182 - 181 - 0",50.14,182,181,0
9,"Silvally Pichu",71,2.83,"180 - 183 - 3",49.18,180,183,3
10,"Flareon ex Eevee ex",70,2.79,"200 - 163 - 3",54.64,200,163,3
11,"Raikou ex Magnezone",61,2.43,"127 - 138 - 1",47.74,127,138,1
12,"Darkrai ex Arceus ex",53,2.11,"180 - 138 - 5",55.73,180,138,5
13,"Guzzlord ex Naganadel",32,1.28,"78 - 73 - 4",50.32,78,73,4
14,"Meowscarada",28,1.12,"49 - 62 - 0",44.14,49,62,0
15,"Dragonite ex Dragonite",27,1.08,"52 - 71 - 0",42.28,52,71,0
16,"Raikou ex Arceus ex",24,0.96,"60 - 57 - 1",50.85,60,57,1
17,"Silvally Oricorio",24,0.96,"53 - 55 - 2",48.18,53,55,2
18,"Charizard ex Sylveon ex",24,0.96,"24 - 58 - 0",29.27,24,58,0
19,"Arceus ex Oricorio",20,0.8,"36 - 41 - 1",46.15,36,41,1
20,"Silvally Rampardos",18,0.72,"75 - 53 - 4",56.82,75,53,4
21,"Sylveon ex Greninja",17,0.68,"39 - 42 - 2",46.99,39,42,2
22,"Donphan ex Lucario",17,0.68,"36 - 43 - 0",45.57,36,43,0
23,"Raikou ex Pikachu ex",15,0.6,"32 - 33 - 2",47.76,32,33,2
24,"Suicune ex Milotic",14,0.56,"31 - 39 - 1",43.66,31,39,1
25,"Buzzwole ex Celesteela",14,0.56,"30 - 38 - 1",43.48,30,38,1
26,"Donphan ex Rampardos",13,0.52,"34 - 30 - 1",52.31,34,30,1
27,"Dragonite ex Sylveon ex",13,0.52,"30 - 34 - 1",46.15,30,34,1
28,"Altaria Silvally",12,0.48,"22 - 31 - 0",41.51,22,31,0
29,"Poliwrath ex Politoed",11,0.44,"18 - 24 - 0",42.86,18,24,0
30,"Flareon ex Leafeon ex",11,0.44,"10 - 17 - 0",37.04,10,17,0
31,"Darkrai ex Miltank",11,0.44,"13 - 28 - 0",31.71,13,28,0
32,"Silvally Arceus ex",10,0.4,"25 - 25 - 1",49.02,25,25,1
33,"Suicune ex Gyarados",10,0.4,"12 - 26 - 0",31.58,12,26,0
34,"Guzzlord ex Nihilego",9,0.36,"27 - 19 - 1",57.45,27,19,1
35,"Arceus ex Tapu Koko ex",9,0.36,"23 - 21 - 0",52.27,23,21,0
36,"Pikachu ex Tapu Koko ex",9,0.36,"24 - 25 - 0",48.98,24,25,0
37,"Suicune ex Sylveon ex",9,0.36,"20 - 19 - 2",48.78,20,19,2
38,"Crobat ex Darkrai ex",9,0.36,"22 - 27 - 1",44,22,27,1
39,"Snorlax ex Ho-Oh ex",9,0.36,"9 - 22 - 1",28.13,9,22,1
40,"Greninja Suicune ex",8,0.32,"21 - 21 - 0",50,21,21,0
