Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",1858,13.19,"5070 - 4799 - 210",50.3,5070,4799,210
2,"Mega Altaria ex Greninja",1609,11.42,"4594 - 4135 - 225",51.31,4594,4135,225
3,"Magnezone Bellibolt ex",1132,8.03,"3282 - 2925 - 161",51.54,3282,2925,161
4,"Bellibolt ex Zeraora",940,6.67,"2569 - 2335 - 120",51.13,2569,2335,120
5,"Greninja Mega Absol ex",837,5.94,"2363 - 2098 - 106",51.74,2363,2098,106
6,"Mega Altaria ex Gourgeist",834,5.92,"2461 - 2037 - 144",53.02,2461,2037,144
7,"Hydreigon Mega Absol ex",755,5.36,"2122 - 1962 - 89",50.85,2122,1962,89
8,"Mega Altaria ex Chingling",249,1.77,"646 - 610 - 43",49.73,646,610,43
9,"Meowscarada ex Meowscarada",228,1.62,"446 - 592 - 10",42.56,446,592,10
10,"Mega Lopunny ex Annihilape",200,1.42,"415 - 543 - 8",42.96,415,543,8
11,"Mega Charizard Y ex Entei ex",193,1.37,"421 - 506 - 24",44.27,421,506,24
12,"Gourgeist Houndstone",185,1.31,"497 - 469 - 20",50.41,497,469,20
13,"Suicune ex Greninja ex",169,1.2,"357 - 449 - 12",43.64,357,449,12
14,"Alolan Ninetales ex Baxcalibur",159,1.13,"385 - 402 - 20",47.71,385,402,20
15,"Bellibolt ex Magnezone",151,1.07,"387 - 391 - 15",48.8,387,391,15
16,"Mega Altaria ex",124,0.88,"399 - 305 - 18",55.26,399,305,18
17,"Magnezone Oricorio",124,0.88,"341 - 307 - 14",51.51,341,307,14
18,"Mega Steelix ex Indeedee ex",114,0.81,"337 - 282 - 25",52.33,337,282,25
19,"Mega Gardevoir ex Meloetta",112,0.79,"277 - 264 - 11",50.18,277,264,11
20,"Mega Blaziken ex Heatmor",109,0.77,"252 - 263 - 11",47.91,252,263,11
21,"Gholdengo ex Orthworm",98,0.7,"163 - 239 - 3",40.25,163,239,3
22,"Gholdengo ex Dialga ex",98,0.7,"165 - 255 - 4",38.92,165,255,4
23,"Giratina ex Darkrai ex",97,0.69,"257 - 223 - 18",51.61,257,223,18
24,"Leafeon ex Teal Mask Ogerpon ex",92,0.65,"257 - 239 - 11",50.69,257,239,11
25,"Greninja Oricorio",91,0.65,"261 - 221 - 17",52.3,261,221,17
26,"Melmetal ex Melmetal",75,0.53,"175 - 192 - 5",47.04,175,192,5
27,"Mega Blaziken ex",75,0.53,"121 - 182 - 5",39.29,121,182,5
28,"Guzzlord ex Indeedee ex",72,0.51,"182 - 161 - 20",50.14,182,161,20
29,"Mega Venusaur ex",64,0.45,"154 - 159 - 3",48.73,154,159,3
30,"Mega Altaria ex Indeedee ex",64,0.45,"115 - 155 - 3",42.12,115,155,3
31,"Mega Lopunny ex Lucario",64,0.45,"112 - 154 - 11",40.43,112,154,11
32,"Galvantula Greninja",62,0.44,"158 - 155 - 12",48.62,158,155,12
33,"Jolteon ex Jolteon",62,0.44,"151 - 160 - 10",47.04,151,160,10
34,"Mega Altaria ex Altaria",60,0.43,"199 - 149 - 15",54.82,199,149,15
35,"Mega Kangaskhan ex Darkrai ex",55,0.39,"125 - 141 - 5",46.13,125,141,5
36,"Alolan Ninetales ex Crawdaunt",55,0.39,"112 - 142 - 4",43.41,112,142,4
37,"Chandelure Meowth",52,0.37,"146 - 139 - 6",50.17,146,139,6
