Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",1587,19.88,"4733 - 3935 - 163",53.6,4733,3935,163
2,"Giratina ex Darkrai ex",907,11.36,"2616 - 2264 - 126",52.26,2616,2264,126
3,"Guzzlord ex",553,6.93,"1502 - 1367 - 61",51.26,1502,1367,61
4,"Flareon ex Eevee ex",306,3.83,"857 - 776 - 21",51.81,857,776,21
5,"Espeon ex Sylveon ex",267,3.34,"659 - 631 - 24",50.15,659,631,24
6,"Darkrai ex Arceus ex",208,2.61,"579 - 541 - 23",50.66,579,541,23
7,"Buzzwole ex Pheromosa",202,2.53,"522 - 505 - 14",50.14,522,505,14
8,"Arceus ex Pichu",168,2.1,"414 - 410 - 10",49.64,414,410,10
9,"Suicune ex Giratina ex",140,1.75,"397 - 341 - 17",52.58,397,341,17
10,"Raikou ex Magnezone",135,1.69,"308 - 337 - 6",47.31,308,337,6
11,"Dragonite ex Dragonite",130,1.63,"294 - 328 - 14",46.23,294,328,14
12,"Greninja Oricorio",114,1.43,"292 - 264 - 18",50.87,292,264,18
13,"Silvally Rampardos",103,1.29,"320 - 284 - 13",51.86,320,284,13
14,"Silvally Zeraora",101,1.27,"254 - 241 - 10",50.3,254,241,10
15,"Raikou ex Tapu Koko ex",95,1.19,"252 - 234 - 9",50.91,252,234,9
16,"Dragonite ex Sylveon ex",95,1.19,"245 - 233 - 7",50.52,245,233,7
17,"Raikou ex Pikachu ex",95,1.19,"241 - 273 - 2",46.71,241,273,2
18,"Tapu Koko ex Oricorio",88,1.1,"238 - 241 - 6",49.07,238,241,6
19,"Silvally Pichu",86,1.08,"208 - 220 - 5",48.04,208,220,5
20,"Solgaleo ex Entei ex",63,0.79,"146 - 161 - 8",46.35,146,161,8
21,"Guzzlord ex Naganadel",62,0.78,"153 - 142 - 7",50.66,153,142,7
22,"Decidueye ex Decidueye",60,0.75,"155 - 144 - 12",49.84,155,144,12
23,"Charizard ex Sylveon ex",60,0.75,"86 - 146 - 5",36.29,86,146,5
24,"Umbreon ex Eevee ex",58,0.73,"155 - 138 - 5",52.01,155,138,5
25,"Exeggutor ex Alolan Exeggutor",47,0.59,"106 - 126 - 1",45.49,106,126,1
26,"Weavile ex Darkrai ex",46,0.58,"114 - 113 - 1",50,114,113,1
27,"Silvally Oricorio",43,0.54,"105 - 100 - 5",50,105,100,5
28,"Buzzwole ex Celesteela",41,0.51,"118 - 109 - 6",50.64,118,109,6
29,"Raikou ex Arceus ex",41,0.51,"99 - 103 - 1",48.77,99,103,1
30,"Crobat ex Darkrai ex",39,0.49,"108 - 98 - 1",52.17,108,98,1
31,"Skarmory ex",34,0.43,"87 - 84 - 6",49.15,87,84,6
32,"Donphan ex Rampardos",33,0.41,"80 - 76 - 2",50.63,80,76,2
33,"Meowscarada",33,0.41,"52 - 73 - 0",41.6,52,73,0
34,"Suicune ex Milotic",32,0.4,"71 - 86 - 1",44.94,71,86,1
35,"Flareon ex Sylveon ex",31,0.39,"104 - 93 - 8",50.73,104,93,8
36,"Arceus ex Oricorio",31,0.39,"55 - 66 - 4",44,55,66,4
37,"Alolan Raichu ex Raikou ex",30,0.38,"81 - 74 - 2",51.59,81,74,2
38,"Flareon ex Leafeon ex",29,0.36,"52 - 68 - 0",43.33,52,68,0
39,"Sylveon ex Greninja",29,0.36,"59 - 80 - 2",41.84,59,80,2
40,"Tapu Koko ex Pikachu ex",27,0.34,"74 - 61 - 1",54.41,74,61,1
41,"Pikachu ex Raikou ex",25,0.31,"65 - 69 - 4",47.1,65,69,4
42,"Donphan ex Lucario",25,0.31,"43 - 59 - 0",42.16,43,59,0
43,"Altaria Silvally",23,0.29,"33 - 59 - 0",35.87,33,59,0
44,"Giratina ex Latias",22,0.28,"51 - 63 - 1",44.35,51,63,1
45,"Guzzlord ex Nihilego",18,0.23,"40 - 41 - 2",48.19,40,41,2
46,"Suicune ex Magnezone",18,0.23,"28 - 40 - 2",40,28,40,2
47,"Suicune ex Gyarados",18,0.23,"30 - 53 - 1",35.71,30,53,1
