Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",904,7.5,"2538 - 2449 - 128",49.62,2538,2449,128
2,"Mega Lucario ex Igglybuff",747,6.2,"2187 - 2011 - 100",50.88,2187,2011,100
3,"Mega Blaziken ex Castform Sunny Form",744,6.17,"2055 - 2080 - 93",48.6,2055,2080,93
4,"Zoroark ex Mega Absol ex",647,5.37,"1786 - 1746 - 85",49.38,1786,1746,85
5,"Magnezone ex Magnezone",627,5.2,"1892 - 1653 - 117",51.67,1892,1653,117
6,"Mega Altaria ex Gourgeist",612,5.08,"1789 - 1590 - 95",51.5,1789,1590,95
7,"Mega Altaria ex Greninja",501,4.16,"1468 - 1330 - 64",51.29,1468,1330,64
8,"Suicune ex Baxcalibur",423,3.51,"1249 - 1089 - 61",52.06,1249,1089,61
9,"Mega Lucario ex Lucario",410,3.4,"1123 - 1144 - 48",48.51,1123,1144,48
10,"Mega Sceptile ex Teal Mask Ogerpon ex",371,3.08,"960 - 1011 - 40",47.74,960,1011,40
11,"Mega Altaria ex Igglybuff",312,2.59,"981 - 797 - 46",53.78,981,797,46
12,"Mega Lucario ex Hitmontop",307,2.55,"961 - 813 - 44",52.86,961,813,44
13,"Mega Sceptile ex Sceptile",288,2.39,"886 - 746 - 40",52.99,886,746,40
14,"Greninja Mega Absol ex",275,2.28,"781 - 766 - 36",49.34,781,766,36
15,"Mega Sceptile ex Pheromosa",272,2.26,"792 - 754 - 28",50.32,792,754,28
16,"Meowscarada ex Meowscarada",254,2.11,"752 - 677 - 34",51.4,752,677,34
17,"Giratina ex Darkrai ex",253,2.1,"717 - 633 - 41",51.55,717,633,41
18,"Mega Sceptile ex",251,2.08,"602 - 665 - 24",46.63,602,665,24
19,"Mega Manectric ex Zeraora",177,1.47,"565 - 437 - 32",54.64,565,437,32
20,"Mega Charizard X ex Mega Charizard Y ex",158,1.31,"395 - 392 - 18",49.07,395,392,18
21,"Alolan Ninetales ex Crawdaunt",143,1.19,"315 - 367 - 22",44.74,315,367,22
22,"Mega Lucario ex Hitmonchan ex",124,1.03,"305 - 345 - 12",46.07,305,345,12
23,"Mega Lucario ex Greninja",103,0.85,"259 - 268 - 12",48.05,259,268,12
24,"Mega Sceptile ex Greninja",90,0.75,"288 - 242 - 18",52.55,288,242,18
25,"Flygon ex Indeedee ex",88,0.73,"222 - 238 - 15",46.74,222,238,15
26,"Mega Charizard Y ex Entei ex",70,0.58,"194 - 181 - 16",49.62,194,181,16
27,"Zoroark ex Darkrai ex",67,0.56,"160 - 169 - 4",48.05,160,169,4
28,"Mega Venusaur ex",59,0.49,"161 - 147 - 5",51.44,161,147,5
29,"Inteleon Pyukumuku",48,0.4,"94 - 130 - 7",40.69,94,130,7
30,"Armarouge ex Castform Sunny Form",46,0.38,"132 - 121 - 5",51.16,132,121,5
31,"Guzzlord ex Indeedee ex",41,0.34,"113 - 114 - 9",47.88,113,114,9
32,"Greninja Decidueye ex",41,0.34,"79 - 106 - 1",42.47,79,106,1
33,"Mega Blaziken ex Greninja",40,0.33,"116 - 108 - 5",50.66,116,108,5
34,"Mega Steelix ex Indeedee ex",39,0.32,"91 - 108 - 2",45.27,91,108,2
35,"Suicune ex Greninja ex",37,0.31,"96 - 102 - 6",47.06,96,102,6
36,"Mega Blaziken ex",37,0.31,"91 - 102 - 6",45.73,91,102,6
37,"Leafeon ex Espeon ex",36,0.3,"99 - 92 - 2",51.3,99,92,2
