Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",3429,14.48,"10233 - 8875 - 540",52.08,10233,8875,540
2,"Hydreigon Mega Absol ex",2478,10.47,"7195 - 6461 - 362",51.33,7195,6461,362
3,"Mega Altaria ex Greninja",1596,6.74,"4733 - 4193 - 267",51.48,4733,4193,267
4,"Magnezone Mega Absol ex",1436,6.06,"3989 - 3801 - 187",50.01,3989,3801,187
5,"Magnezone Oricorio",994,4.2,"2954 - 2621 - 164",51.47,2954,2621,164
6,"Mega Altaria ex Indeedee ex",966,4.08,"2745 - 2551 - 126",50.63,2745,2551,126
7,"Mega Charizard Y ex Entei ex",816,3.45,"1980 - 2056 - 103",47.84,1980,2056,103
8,"Mega Lopunny ex Lucario",723,3.05,"1764 - 1888 - 54",47.6,1764,1888,54
9,"Greninja Mega Absol ex",699,2.95,"1995 - 1798 - 96",51.3,1995,1798,96
10,"Mega Venusaur ex",634,2.68,"1518 - 1699 - 65",46.25,1518,1699,65
11,"Decidueye ex Decidueye",580,2.45,"1483 - 1522 - 83",48.02,1483,1522,83
12,"Mega Altaria ex Furfrou",491,2.07,"1456 - 1257 - 83",52.07,1456,1257,83
13,"Mega Blaziken ex",485,2.05,"1376 - 1238 - 103",50.64,1376,1238,103
14,"Whimsicott ex Ariados",442,1.87,"986 - 1134 - 22",46.03,986,1134,22
15,"Jolteon ex Jolteon",331,1.4,"893 - 850 - 43",50,893,850,43
16,"Mega Altaria ex Giratina ex",253,1.07,"837 - 651 - 83",53.28,837,651,83
17,"Greninja ex Suicune ex",229,0.97,"654 - 593 - 32",51.13,654,593,32
18,"Mega Blaziken ex Heatmor",205,0.87,"507 - 540 - 12",47.88,507,540,12
19,"Magnezone Heliolisk",204,0.86,"501 - 552 - 17",46.82,501,552,17
20,"Magnezone Oricorio",180,0.76,"475 - 463 - 18",49.69,475,463,18
21,"Jolteon ex Zeraora",149,0.63,"354 - 381 - 13",47.33,354,381,13
22,"Mega Altaria ex Altaria",144,0.61,"410 - 376 - 18",51,410,376,18
23,"Greninja Oricorio",138,0.58,"408 - 348 - 32",51.78,408,348,32
24,"Suicune ex Gyarados",133,0.56,"386 - 352 - 31",50.2,386,352,31
25,"Magnezone Darkrai ex",126,0.53,"317 - 335 - 8",48.03,317,335,8
26,"Mega Altaria ex Chingling",125,0.53,"383 - 342 - 21",51.34,383,342,21
27,"Mega Lopunny ex Magnezone",120,0.51,"299 - 335 - 15",46.07,299,335,15
28,"Mega Steelix ex Pichu",120,0.51,"270 - 326 - 14",44.26,270,326,14
29,"Mega Absol ex Darkrai ex",92,0.39,"190 - 269 - 11",40.43,190,269,11
30,"Mega Altaria ex Silvally",90,0.38,"280 - 242 - 13",52.34,280,242,13
31,"Mega Altaria ex Magnezone",77,0.33,"208 - 203 - 14",48.94,208,203,14
32,"Mega Lopunny ex Hitmonchan ex",72,0.3,"179 - 212 - 6",45.09,179,212,6
33,"Jolteon ex Eevee ex",70,0.3,"184 - 187 - 7",48.68,184,187,7
34,"Jolteon ex Magnezone",69,0.29,"166 - 189 - 5",46.11,166,189,5
35,"Jolteon ex Mew ex",68,0.29,"119 - 175 - 2",40.2,119,175,2
36,"Mega Lopunny ex Hitmontop",67,0.28,"190 - 187 - 9",49.22,190,187,9
37,"Mega Venusaur ex Venusaur",63,0.27,"96 - 151 - 5",38.1,96,151,5
38,"Mega Charizard Y ex Moltres ex",61,0.26,"93 - 169 - 4",34.96,93,169,4
