Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",814,9.63,"2229 - 2006 - 155",50.77,2229,2006,155
2,"Vespiquen ex Shuckle ex",614,7.26,"1713 - 1525 - 112",51.13,1713,1525,112
3,"Hoopa ex Mega Absol ex",500,5.91,"1518 - 1246 - 73",53.51,1518,1246,73
4,"Gouging Fire Dragonair",475,5.62,"1285 - 1217 - 41",50.53,1285,1217,41
5,"Mega Manectric ex Heliolisk",429,5.07,"1159 - 1137 - 57",49.26,1159,1137,57
6,"Mega Sceptile ex Greninja",265,3.13,"735 - 663 - 42",51.04,735,663,42
7,"Suicune ex Baxcalibur",260,3.08,"750 - 652 - 43",51.9,750,652,43
8,"Hoopa ex Greninja",234,2.77,"678 - 583 - 52",51.64,678,583,52
9,"Mega Altaria ex Espeon",232,2.74,"698 - 609 - 44",51.67,698,609,44
10,"Mega Charizard Y ex Entei ex",197,2.33,"495 - 479 - 39",48.86,495,479,39
11,"Dragonair Mega Rayquaza ex",186,2.2,"451 - 499 - 14",46.78,451,499,14
12,"Hydreigon Mega Absol ex",179,2.12,"465 - 441 - 33",49.52,465,441,33
13,"Mega Sharpedo ex Gyarados",168,1.99,"455 - 421 - 13",51.18,455,421,13
14,"Magnezone Miraidon ex",142,1.68,"377 - 345 - 26",50.4,377,345,26
15,"Magnezone ex Magnezone",109,1.29,"342 - 273 - 22",53.69,342,273,22
16,"Mega Blaziken ex Greninja",109,1.29,"277 - 279 - 13",48.68,277,279,13
17,"Miraidon ex Magnezone",102,1.21,"227 - 259 - 6",46.14,227,259,6
18,"Meowscarada ex Meowscarada",98,1.16,"281 - 253 - 18",50.91,281,253,18
19,"Hoopa ex Mega Sableye ex",95,1.12,"276 - 237 - 25",51.3,276,237,25
20,"Mega Rayquaza ex Dragonair",92,1.09,"234 - 251 - 9",47.37,234,251,9
21,"Mega Sharpedo ex Chien-Pao ex",85,1.01,"204 - 224 - 8",46.79,204,224,8
22,"Zoroark ex Mega Absol ex",81,0.96,"251 - 200 - 18",53.52,251,200,18
23,"Great Tusk Koraidon ex",70,0.83,"162 - 160 - 7",49.24,162,160,7
24,"Mega Lucario ex Greninja",69,0.82,"193 - 175 - 10",51.06,193,175,10
25,"Wailord ex Indeedee ex",66,0.78,"152 - 167 - 17",45.24,152,167,17
26,"Chandelure Oricorio",63,0.75,"171 - 166 - 12",49,171,166,12
27,"Dragonite ex Walking Wake",62,0.73,"139 - 179 - 4",43.17,139,179,4
28,"Mega Venusaur ex",58,0.69,"132 - 138 - 7",47.65,132,138,7
29,"Dragonair Altaria",56,0.66,"173 - 151 - 7",52.27,173,151,7
30,"Beautifly Dustox",53,0.63,"121 - 123 - 6",48.4,121,123,6
31,"Butterfree Mega Sceptile ex",51,0.6,"141 - 133 - 2",51.09,141,133,2
32,"Mega Sceptile ex Sceptile",46,0.54,"93 - 118 - 2",43.66,93,118,2
33,"Mega Sharpedo ex Mega Gyarados ex",45,0.53,"82 - 133 - 0",38.14,82,133,0
34,"Mega Lucario ex Hitmonchan ex",43,0.51,"117 - 111 - 7",49.79,117,111,7
35,"Mega Blaziken ex Castform Sunny Form",37,0.44,"77 - 84 - 8",45.56,77,84,8
36,"Giratina ex Darkrai ex",36,0.43,"96 - 80 - 7",52.46,96,80,7
37,"Hydreigon Mega Sableye ex",36,0.43,"94 - 86 - 8",50,94,86,8
38,"Magnezone Heliolisk",35,0.41,"77 - 92 - 6",44,77,92,6
39,"Indeedee ex Giratina ex",35,0.41,"75 - 86 - 11",43.6,75,86,11
40,"Rotom ex",34,0.4,"84 - 85 - 4",48.55,84,85,4
41,"Mega Lucario ex",34,0.4,"87 - 99 - 2",46.28,87,99,2
42,"Greninja ex Suicune ex",33,0.39,"79 - 73 - 8",49.38,79,73,8
43,"Mega Gardevoir ex Mega Diancie ex",32,0.38,"76 - 85 - 6",45.51,76,85,6
44,"Mega Altaria ex Greninja",31,0.37,"74 - 75 - 4",48.37,74,75,4
45,"Flygon ex",30,0.35,"63 - 75 - 4",44.37,63,75,4
46,"Mega Charizard X ex Mega Charizard Y ex",28,0.33,"54 - 63 - 2",45.38,54,63,2
47,"Mega Altaria ex Igglybuff",27,0.32,"74 - 73 - 2",49.66,74,73,2
48,"Milotic ex Mega Sharpedo ex",27,0.32,"57 - 61 - 1",47.9,57,61,1
49,"Luxray Zeraora",25,0.3,"74 - 67 - 3",51.39,74,67,3
50,"Mega Blaziken ex",24,0.28,"64 - 60 - 1",51.2,64,60,1
51,"Mega Altaria ex Gourgeist",24,0.28,"63 - 66 - 4",47.37,63,66,4
52,"Mega Gallade ex Gallade",24,0.28,"39 - 69 - 0",36.11,39,69,0
53,"Suicune ex Greninja ex",24,0.28,"34 - 62 - 0",35.42,34,62,0
54,"Hisuian Goodra",23,0.27,"65 - 62 - 4",49.62,65,62,4
55,"Hoopa ex Hydreigon",23,0.27,"39 - 53 - 2",41.49,39,53,2
