Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",736,8.44,"1969 - 1879 - 107",49.79,1969,1879,107
2,"Mega Altaria ex Espeon",588,6.74,"1830 - 1482 - 147",52.91,1830,1482,147
3,"Butterfree Mega Sceptile ex",440,5.04,"1299 - 1108 - 85",52.13,1299,1108,85
4,"Vespiquen ex Shuckle ex",403,4.62,"1146 - 1006 - 74",51.48,1146,1006,74
5,"Suicune ex Baxcalibur",344,3.94,"982 - 866 - 68",51.25,982,866,68
6,"Hydreigon Mega Absol ex",292,3.35,"788 - 730 - 53",50.16,788,730,53
7,"Team Rocket's Weezing ex Hoopa ex",286,3.28,"728 - 712 - 58",48.6,728,712,58
8,"Mega Blaziken ex",251,2.88,"687 - 610 - 59",50.66,687,610,59
9,"Magnezone Miraidon ex",219,2.51,"676 - 550 - 76",51.92,676,550,76
10,"Dragonair Mega Rayquaza ex",210,2.41,"626 - 554 - 47",51.02,626,554,47
11,"Mega Manectric ex Heliolisk",204,2.34,"589 - 505 - 43",51.8,589,505,43
12,"Mega Charizard Y ex Entei ex",183,2.1,"510 - 458 - 38",50.7,510,458,38
13,"Mega Altaria ex Greninja",180,2.06,"486 - 446 - 34",50.31,486,446,34
14,"Mega Sceptile ex Greninja",177,2.03,"538 - 446 - 41",52.49,538,446,41
15,"Hoopa ex Mega Absol ex",167,1.91,"489 - 399 - 36",52.92,489,399,36
16,"Dedenne ex Indeedee ex",167,1.91,"500 - 428 - 37",51.81,500,428,37
17,"Mega Blaziken ex Greninja",147,1.69,"445 - 372 - 41",51.86,445,372,41
18,"Team Rocket's Raticate ex Alolan Ninetales ex",123,1.41,"227 - 334 - 15",39.41,227,334,15
19,"Magnezone ex Magnezone",117,1.34,"293 - 288 - 24",48.43,293,288,24
20,"Milotic ex Eevee ex",103,1.18,"312 - 268 - 21",51.91,312,268,21
21,"Mega Altaria ex",100,1.15,"292 - 265 - 27",50,292,265,27
22,"Zoroark ex Mega Absol ex",89,1.02,"257 - 216 - 17",52.45,257,216,17
23,"Mega Altaria ex Chingling",86,0.99,"204 - 230 - 13",45.64,204,230,13
24,"Mega Sharpedo ex Gyarados",75,0.86,"232 - 201 - 19",51.33,232,201,19
25,"Beautifly Dustox",70,0.8,"172 - 178 - 11",47.65,172,178,11
26,"Garchomp",67,0.77,"131 - 189 - 9",39.82,131,189,9
27,"Miraidon ex Magnezone",65,0.75,"217 - 165 - 12",55.08,217,165,12
28,"Mega Altaria ex Happiny",58,0.66,"167 - 150 - 19",49.7,167,150,19
29,"Mega Charizard X ex Mega Charizard Y ex",55,0.63,"146 - 145 - 9",48.67,146,145,9
30,"Meowscarada ex Meowscarada",52,0.6,"140 - 145 - 10",47.46,140,145,10
31,"Hoopa ex Greninja",48,0.55,"132 - 127 - 6",49.81,132,127,6
32,"Mega Manectric ex Team Rocket's Electrode",48,0.55,"97 - 132 - 4",41.63,97,132,4
33,"Mega Altaria ex Igglybuff",45,0.52,"114 - 106 - 8",50,114,106,8
34,"Hoopa ex Mega Sableye ex",44,0.5,"133 - 119 - 11",50.57,133,119,11
35,"Whimsicott ex Ariados",43,0.49,"69 - 108 - 0",38.98,69,108,0
36,"Chandelure Oricorio",40,0.46,"77 - 102 - 5",41.85,77,102,5
37,"Mega Venusaur ex",40,0.46,"75 - 108 - 5",39.89,75,108,5
38,"Team Rocket's Weezing ex Mega Absol ex",39,0.45,"96 - 108 - 8",45.28,96,108,8
39,"Jumpluff ex Team Rocket's Electrode",39,0.45,"86 - 107 - 7",43,86,107,7
40,"Mega Sharpedo ex Chien-Pao ex",37,0.42,"105 - 84 - 12",52.24,105,84,12
41,"Team Rocket's Slowking ex Meloetta",35,0.4,"82 - 100 - 1",44.81,82,100,1
42,"Mega Blaziken ex Castform Sunny Form",34,0.39,"95 - 91 - 3",50.26,95,91,3
