Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",811,17.48,"2532 - 2086 - 75",53.95,2532,2086,75
2,"Giratina ex Darkrai ex",509,10.97,"1478 - 1301 - 45",52.34,1478,1301,45
3,"Guzzlord ex",283,6.1,"840 - 728 - 41",52.21,840,728,41
4,"Espeon ex Sylveon ex",222,4.79,"565 - 521 - 22",50.99,565,521,22
5,"Flareon ex Eevee ex",171,3.69,"499 - 461 - 9",51.5,499,461,9
6,"Buzzwole ex Pheromosa",141,3.04,"396 - 360 - 11",51.63,396,360,11
7,"Darkrai ex Arceus ex",140,3.02,"404 - 372 - 13",51.2,404,372,13
8,"Arceus ex Pichu",140,3.02,"340 - 338 - 6",49.71,340,338,6
9,"Suicune ex Giratina ex",128,2.76,"378 - 310 - 16",53.69,378,310,16
10,"Raikou ex Magnezone",96,2.07,"212 - 226 - 3",48.07,212,226,3
11,"Greninja Oricorio",93,2,"235 - 216 - 10",50.98,235,216,10
12,"Dragonite ex Dragonite",87,1.88,"206 - 231 - 7",46.4,206,231,7
13,"Silvally Pichu",77,1.66,"190 - 201 - 3",48.22,190,201,3
14,"Silvally Rampardos",75,1.62,"262 - 211 - 12",54.02,262,211,12
15,"Raikou ex Pikachu ex",53,1.14,"142 - 164 - 2",46.1,142,164,2
16,"Tapu Koko ex Oricorio",45,0.97,"156 - 139 - 2",52.53,156,139,2
17,"Charizard ex Sylveon ex",44,0.95,"68 - 110 - 2",37.78,68,110,2
18,"Guzzlord ex Naganadel",35,0.75,"86 - 80 - 5",50.29,86,80,5
19,"Raikou ex Arceus ex",34,0.73,"87 - 84 - 1",50.58,87,84,1
20,"Dragonite ex Sylveon ex",31,0.67,"100 - 79 - 2",55.25,100,79,2
21,"Buzzwole ex Celesteela",31,0.67,"83 - 86 - 3",48.26,83,86,3
22,"Meowscarada",31,0.67,"51 - 68 - 0",42.86,51,68,0
23,"Silvally Oricorio",30,0.65,"73 - 70 - 3",50,73,70,3
24,"Raikou ex Tapu Koko ex",29,0.63,"89 - 80 - 3",51.74,89,80,3
25,"Solgaleo ex Entei ex",29,0.63,"76 - 79 - 5",47.5,76,79,5
26,"Arceus ex Oricorio",27,0.58,"52 - 59 - 4",45.22,52,59,4
27,"Suicune ex Milotic",25,0.54,"62 - 71 - 1",46.27,62,71,1
28,"Donphan ex Rampardos",24,0.52,"63 - 56 - 1",52.5,63,56,1
29,"Umbreon ex Eevee ex",24,0.52,"59 - 60 - 2",48.76,59,60,2
30,"Weavile ex Darkrai ex",24,0.52,"57 - 61 - 1",47.9,57,61,1
31,"Donphan ex Lucario",24,0.52,"43 - 58 - 0",42.57,43,58,0
32,"Sylveon ex Greninja",22,0.47,"43 - 57 - 2",42.16,43,57,2
33,"Flareon ex Leafeon ex",20,0.43,"41 - 47 - 0",46.59,41,47,0
34,"Altaria Silvally",20,0.43,"30 - 52 - 0",36.59,30,52,0
35,"Flareon ex Sylveon ex",17,0.37,"66 - 56 - 4",52.38,66,56,4
36,"Exeggutor ex Alolan Exeggutor",17,0.37,"34 - 44 - 1",43.04,34,44,1
37,"Poliwrath ex Politoed",16,0.34,"25 - 37 - 0",40.32,25,37,0
38,"Darkrai ex Miltank",16,0.34,"26 - 43 - 0",37.68,26,43,0
39,"Giratina ex Latias",15,0.32,"37 - 40 - 1",47.44,37,40,1
40,"Suicune ex Gyarados",15,0.32,"23 - 43 - 0",34.85,23,43,0
41,"Guzzlord ex Nihilego",14,0.3,"35 - 33 - 1",50.72,35,33,1
42,"Crobat ex Darkrai ex",12,0.26,"28 - 35 - 1",43.75,28,35,1
43,"Silvally Darkrai ex",12,0.26,"17 - 29 - 0",36.96,17,29,0
44,"Suicune ex Silvally",11,0.24,"27 - 29 - 0",48.21,27,29,0
