Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Blaziken ex Castform Sunny Form",155,10.16,"502 - 424 - 29",52.57,502,424,29
2,"Hydreigon Mega Absol ex",113,7.41,"371 - 303 - 24",53.15,371,303,24
3,"Magnezone ex Magnezone",102,6.69,"344 - 271 - 17",54.43,344,271,17
4,"Mega Sceptile ex Pheromosa",78,5.11,"237 - 218 - 6",51.41,237,218,6
5,"Suicune ex Baxcalibur",74,4.85,"199 - 196 - 7",49.5,199,196,7
6,"Mega Altaria ex Igglybuff",73,4.79,"232 - 192 - 12",53.21,232,192,12
7,"Mega Lucario ex Lucario",63,4.13,"170 - 166 - 7",49.56,170,166,7
8,"Zoroark ex Mega Absol ex",54,3.54,"102 - 133 - 2",43.04,102,133,2
9,"Greninja Mega Absol ex",52,3.41,"200 - 155 - 11",54.64,200,155,11
10,"Mega Lucario ex Hitmonchan ex",51,3.34,"139 - 140 - 10",48.1,139,140,10
11,"Mega Charizard X ex Mega Charizard Y ex",46,3.02,"105 - 110 - 7",47.3,105,110,7
12,"Mega Sceptile ex Teal Mask Ogerpon ex",33,2.16,"84 - 89 - 6",46.93,84,89,6
13,"Alolan Ninetales ex Crawdaunt",28,1.84,"63 - 65 - 6",47.01,63,65,6
14,"Mega Altaria ex Greninja",26,1.7,"74 - 75 - 4",48.37,74,75,4
15,"Mega Lucario ex Igglybuff",24,1.57,"83 - 64 - 2",55.7,83,64,2
16,"Mega Manectric ex Zeraora",23,1.51,"61 - 59 - 2",50,61,59,2
17,"Zoroark ex Darkrai ex",21,1.38,"56 - 50 - 1",52.34,56,50,1
18,"Mega Lucario ex Greninja",20,1.31,"59 - 50 - 3",52.68,59,50,3
19,"Greninja Decidueye ex",18,1.18,"32 - 43 - 0",42.67,32,43,0
20,"Mega Sceptile ex Sceptile",14,0.92,"49 - 40 - 3",53.26,49,40,3
21,"Mega Altaria ex Gourgeist",13,0.85,"54 - 34 - 6",57.45,54,34,6
22,"Mega Steelix ex Indeedee ex",11,0.72,"23 - 35 - 0",39.66,23,35,0
23,"Suicune ex Greninja ex",10,0.66,"23 - 27 - 2",44.23,23,27,2
24,"Mega Sceptile ex",9,0.59,"14 - 25 - 0",35.9,14,25,0
25,"Mega Venusaur ex",8,0.52,"17 - 19 - 1",45.95,17,19,1
26,"Giratina ex Darkrai ex",7,0.46,"18 - 20 - 2",45,18,20,2
27,"Donphan ex Mega Lucario ex",7,0.46,"17 - 22 - 1",42.5,17,22,1
28,"Meowscarada ex Meowscarada",6,0.39,"21 - 17 - 0",55.26,21,17,0
29,"Mega Blaziken ex",6,0.39,"21 - 18 - 1",52.5,21,18,1
30,"Mega Blaziken ex Heatmor",6,0.39,"18 - 15 - 2",51.43,18,15,2
31,"Donphan ex Lucario",6,0.39,"15 - 15 - 0",50,15,15,0
32,"Mega Sceptile ex Kartana",6,0.39,"11 - 17 - 0",39.29,11,17,0
33,"Greninja Mega Kangaskhan ex",6,0.39,"8 - 14 - 1",34.78,8,14,1
34,"Inteleon Pyukumuku",6,0.39,"7 - 16 - 0",30.43,7,16,0
35,"Leafeon ex Mega Sceptile ex",5,0.33,"17 - 17 - 0",50,17,17,0
36,"Flygon ex Indeedee ex",5,0.33,"18 - 18 - 1",48.65,18,18,1
37,"Suicune ex Inteleon",5,0.33,"16 - 17 - 0",48.48,16,17,0
38,"Indeedee ex Stoutland",5,0.33,"13 - 13 - 1",48.15,13,13,1
39,"Flareon ex Leafeon ex",5,0.33,"6 - 9 - 0",40,6,9,0
40,"Mega Lucario ex Rampardos",5,0.33,"7 - 17 - 0",29.17,7,17,0
41,"Mega Scizor ex Revavroom",5,0.33,"3 - 13 - 0",18.75,3,13,0
42,"Mega Charizard Y ex Entei ex",4,0.26,"22 - 11 - 2",62.86,22,11,2
43,"Gourgeist Houndstone",4,0.26,"12 - 9 - 1",54.55,12,9,1
44,"Leafeon ex Teal Mask Ogerpon ex",4,0.26,"9 - 9 - 0",50,9,9,0
