Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Vespiquen ex Shuckle ex",348,8.35,"1025 - 854 - 63",52.78,1025,854,63
2,"Mega Manectric ex Heliolisk",327,7.85,"966 - 863 - 49",51.44,966,863,49
3,"Gouging Fire Dragonair",282,6.77,"714 - 719 - 15",49.31,714,719,15
4,"Mega Lucario ex Lucario",201,4.82,"608 - 474 - 47",53.85,608,474,47
5,"Hoopa ex Mega Absol ex",166,3.98,"538 - 417 - 28",54.73,538,417,28
6,"Suicune ex Baxcalibur",144,3.46,"406 - 368 - 24",50.88,406,368,24
7,"Dragonair Mega Rayquaza ex",137,3.29,"341 - 369 - 9",47.43,341,369,9
8,"Mega Sceptile ex Greninja",128,3.07,"364 - 326 - 18",51.41,364,326,18
9,"Hydreigon Mega Absol ex",117,2.81,"301 - 293 - 19",49.1,301,293,19
10,"Hoopa ex Greninja",116,2.78,"355 - 282 - 29",53.3,355,282,29
11,"Mega Sharpedo ex Gyarados",109,2.62,"295 - 280 - 12",50.26,295,280,12
12,"Mega Altaria ex Espeon",106,2.54,"338 - 282 - 27",52.24,338,282,27
13,"Mega Charizard Y ex Entei ex",80,1.92,"177 - 179 - 15",47.71,177,179,15
14,"Miraidon ex Magnezone",77,1.85,"196 - 202 - 6",48.51,196,202,6
15,"Mega Rayquaza ex Dragonair",76,1.82,"194 - 203 - 7",48.02,194,203,7
16,"Mega Blaziken ex Greninja",69,1.66,"155 - 178 - 5",45.86,155,178,5
17,"Zoroark ex Mega Absol ex",54,1.3,"163 - 130 - 11",53.62,163,130,11
18,"Mega Sharpedo ex Chien-Pao ex",52,1.25,"118 - 138 - 3",45.56,118,138,3
19,"Wailord ex Indeedee ex",39,0.94,"100 - 97 - 11",48.08,100,97,11
20,"Mega Lucario ex Greninja",38,0.91,"119 - 94 - 7",54.09,119,94,7
21,"Mega Sharpedo ex Mega Gyarados ex",37,0.89,"67 - 107 - 0",38.51,67,107,0
22,"Dragonair Altaria",36,0.86,"113 - 100 - 4",52.07,113,100,4
23,"Magnezone ex Magnezone",31,0.74,"102 - 69 - 11",56.04,102,69,11
24,"Dragonite ex Walking Wake",31,0.74,"71 - 90 - 2",43.56,71,90,2
25,"Meowscarada ex Meowscarada",26,0.62,"70 - 68 - 3",49.65,70,68,3
26,"Beautifly Dustox",26,0.62,"49 - 61 - 1",44.14,49,61,1
27,"Indeedee ex Giratina ex",25,0.6,"56 - 66 - 5",44.09,56,66,5
28,"Magnezone Miraidon ex",25,0.6,"46 - 58 - 3",42.99,46,58,3
29,"Hydreigon Mega Sableye ex",24,0.58,"52 - 58 - 7",44.44,52,58,7
30,"Giratina ex Darkrai ex",23,0.55,"56 - 48 - 2",52.83,56,48,2
31,"Mega Sceptile ex Sceptile",23,0.55,"53 - 57 - 2",47.32,53,57,2
32,"Mega Blaziken ex Castform Sunny Form",22,0.53,"50 - 48 - 7",47.62,50,48,7
33,"Rotom ex",20,0.48,"50 - 52 - 4",47.17,50,52,4
34,"Great Tusk Koraidon ex",19,0.46,"51 - 43 - 4",52.04,51,43,4
35,"Mega Ampharos ex Greninja",19,0.46,"39 - 45 - 2",45.35,39,45,2
36,"Mega Lucario ex",19,0.46,"35 - 53 - 1",39.33,35,53,1
37,"Luxray Zeraora",18,0.43,"49 - 49 - 3",48.51,49,49,3
38,"Vespiquen ex Teal Mask Ogerpon ex",18,0.43,"43 - 46 - 1",47.78,43,46,1
39,"Mega Gardevoir ex Mega Diancie ex",18,0.43,"44 - 50 - 2",45.83,44,50,2
40,"Hoopa ex Mega Sableye ex",17,0.41,"50 - 46 - 1",51.55,50,46,1
41,"Mega Lucario ex Hitmonchan ex",17,0.41,"48 - 44 - 4",50,48,44,4
42,"Greninja Mega Sableye ex",17,0.41,"30 - 39 - 0",43.48,30,39,0
43,"Mega Charizard X ex Mega Charizard Y ex",16,0.38,"38 - 34 - 1",52.05,38,34,1
44,"Mega Sharpedo ex Suicune ex",16,0.38,"49 - 45 - 2",51.04,49,45,2
45,"Mega Altaria ex Igglybuff",15,0.36,"48 - 41 - 1",53.33,48,41,1
46,"Zoroark ex Hoopa ex",15,0.36,"38 - 35 - 1",51.35,38,35,1
47,"Milotic ex Mega Sharpedo ex",15,0.36,"31 - 31 - 1",49.21,31,31,1
48,"Hoopa ex Hydreigon",15,0.36,"24 - 36 - 2",38.71,24,36,2
49,"Butterfree Mega Sceptile ex",14,0.34,"40 - 37 - 1",51.28,40,37,1
50,"Greninja Mega Absol ex",14,0.34,"28 - 30 - 1",47.46,28,30,1
51,"Hydreigon Hoopa ex",14,0.34,"36 - 45 - 1",43.9,36,45,1
52,"Rampardos Snorlax",13,0.31,"32 - 35 - 0",47.76,32,35,0
53,"Dragonite ex Dragonite",13,0.31,"25 - 36 - 2",39.68,25,36,2
