Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",794,15.92,"2196 - 2059 - 90",50.54,2196,2059,90
2,"Mega Altaria ex Greninja",586,11.75,"1823 - 1488 - 91",53.59,1823,1488,91
3,"Bellibolt ex Zeraora",387,7.76,"1143 - 976 - 55",52.58,1143,976,55
4,"Hydreigon Mega Absol ex",375,7.52,"1118 - 998 - 48",51.66,1118,998,48
5,"Magnezone Bellibolt ex",247,4.95,"802 - 632 - 39",54.45,802,632,39
6,"Meowscarada ex Meowscarada",149,2.99,"288 - 384 - 9",42.29,288,384,9
7,"Mega Altaria ex Chingling",129,2.59,"321 - 314 - 22",48.86,321,314,22
8,"Suicune ex Greninja ex",127,2.55,"273 - 339 - 7",44.1,273,339,7
9,"Bellibolt ex Magnezone",121,2.43,"311 - 317 - 11",48.67,311,317,11
10,"Mega Charizard Y ex Entei ex",110,2.21,"276 - 299 - 13",46.94,276,299,13
11,"Magnezone Oricorio",91,1.82,"261 - 229 - 10",52.2,261,229,10
12,"Mega Altaria ex Gourgeist",87,1.74,"286 - 213 - 17",55.43,286,213,17
13,"Mega Lopunny ex Annihilape",83,1.66,"200 - 232 - 3",45.98,200,232,3
14,"Greninja Mega Absol ex",74,1.48,"228 - 185 - 13",53.52,228,185,13
15,"Gholdengo ex Dialga ex",65,1.3,"111 - 173 - 4",38.54,111,173,4
16,"Gholdengo ex Orthworm",63,1.26,"116 - 160 - 2",41.73,116,160,2
17,"Gourgeist Houndstone",57,1.14,"159 - 143 - 8",51.29,159,143,8
18,"Mega Blaziken ex",42,0.84,"60 - 104 - 3",35.93,60,104,3
19,"Leafeon ex Teal Mask Ogerpon ex",39,0.78,"107 - 101 - 3",50.71,107,101,3
20,"Mega Gardevoir ex Meloetta",37,0.74,"76 - 80 - 3",47.8,76,80,3
21,"Mega Altaria ex Indeedee ex",33,0.66,"61 - 81 - 3",42.07,61,81,3
22,"Mega Blaziken ex Heatmor",29,0.58,"83 - 71 - 5",52.2,83,71,5
23,"Mega Lopunny ex Lucario",26,0.52,"50 - 60 - 6",43.1,50,60,6
24,"Alolan Ninetales ex Crawdaunt",26,0.52,"44 - 65 - 2",39.64,44,65,2
25,"Greninja Mega Kangaskhan ex",25,0.5,"63 - 66 - 3",47.73,63,66,3
26,"Chandelure Meowth",24,0.48,"58 - 67 - 0",46.4,58,67,0
27,"Decidueye ex Decidueye",23,0.46,"50 - 52 - 3",47.62,50,52,3
28,"Mega Altaria ex",20,0.4,"88 - 46 - 5",63.31,88,46,5
29,"Chien-Pao ex Baxcalibur",18,0.36,"37 - 49 - 2",42.05,37,49,2
30,"Mega Altaria ex Altaria",17,0.34,"64 - 42 - 5",57.66,64,42,5
31,"Mega Kangaskhan ex Darkrai ex",17,0.34,"45 - 44 - 1",50,45,44,1
32,"Gholdengo ex Gholdengo",17,0.34,"33 - 41 - 0",44.59,33,41,0
33,"Donphan ex Lucario",16,0.32,"37 - 44 - 2",44.58,37,44,2
34,"Mega Venusaur ex",15,0.3,"43 - 40 - 0",51.81,43,40,0
35,"Bellibolt ex Tapu Koko ex",15,0.3,"26 - 34 - 0",43.33,26,34,0
36,"Bellibolt ex Oricorio",15,0.3,"26 - 38 - 0",40.63,26,38,0
