Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",45,8.74,"90 - 93 - 4",48.13,90,93,4
2,"Magnezone Oricorio",39,7.57,"101 - 82 - 4",54.01,101,82,4
3,"Mega Charizard Y ex Entei ex",34,6.6,"67 - 81 - 4",44.08,67,81,4
4,"Hydreigon Mega Absol ex",25,4.85,"84 - 50 - 5",60.43,84,50,5
5,"Magnezone Oricorio",21,4.08,"75 - 47 - 2",60.48,75,47,2
6,"Whimsicott ex Ariados",19,3.69,"46 - 44 - 1",50.55,46,44,1
7,"Greninja Mega Absol ex",14,2.72,"41 - 31 - 1",56.16,41,31,1
8,"Mega Altaria ex Indeedee ex",12,2.33,"25 - 29 - 1",45.45,25,29,1
9,"Magnezone Heliolisk",11,2.14,"26 - 27 - 1",48.15,26,27,1
10,"Mega Venusaur ex Lilligant",11,2.14,"19 - 29 - 0",39.58,19,29,0
11,"Mega Charizard Y ex Moltres ex",10,1.94,"20 - 28 - 0",41.67,20,28,0
12,"Mega Blaziken ex Heatmor",10,1.94,"12 - 28 - 0",30,12,28,0
13,"Mega Altaria ex Altaria",9,1.75,"24 - 18 - 1",55.81,24,18,1
14,"Jolteon ex Leafeon ex",9,1.75,"25 - 20 - 2",53.19,25,20,2
15,"Decidueye ex Decidueye",9,1.75,"20 - 22 - 0",47.62,20,22,0
16,"Jolteon ex Jolteon",8,1.55,"30 - 17 - 2",61.22,30,17,2
17,"Solgaleo ex Skarmory",8,1.55,"18 - 8 - 4",60,18,8,4
18,"Magnezone Heliolisk",8,1.55,"24 - 18 - 1",55.81,24,18,1
19,"Mega Steelix ex Dialga ex",6,1.17,"15 - 11 - 0",57.69,15,11,0
20,"Solgaleo ex Aegislash",6,1.17,"14 - 15 - 0",48.28,14,15,0
21,"Mega Charizard Y ex Turtonator",6,1.17,"7 - 11 - 1",36.84,7,11,1
22,"Mega Lopunny ex Lucario",5,0.97,"22 - 10 - 1",66.67,22,10,1
23,"Darkrai ex Magnezone",5,0.97,"14 - 9 - 2",56,14,9,2
24,"Mega Blastoise ex Blastoise",5,0.97,"7 - 14 - 0",33.33,7,14,0
25,"Mega Steelix ex Pichu",4,0.78,"18 - 5 - 0",78.26,18,5,0
26,"Mega Altaria ex Greninja",4,0.78,"15 - 9 - 1",60,15,9,1
27,"Mega Absol ex Chingling",4,0.78,"10 - 10 - 1",47.62,10,10,1
28,"Crobat ex Nihilego",4,0.78,"7 - 9 - 0",43.75,7,9,0
29,"Mega Venusaur ex Venusaur",4,0.78,"7 - 8 - 1",43.75,7,8,1
30,"Gardevoir Reuniclus",4,0.78,"4 - 7 - 0",36.36,4,7,0
31,"Mega Venusaur ex Venusaur ex",4,0.78,"6 - 11 - 0",35.29,6,11,0
32,"Jolteon ex Zeraora",3,0.58,"10 - 4 - 1",66.67,10,4,1
33,"Greninja Oricorio",3,0.58,"9 - 7 - 0",56.25,9,7,0
34,"Skarmory ex Skarmory",3,0.58,"8 - 8 - 0",50,8,8,0
35,"Mega Blaziken ex",3,0.58,"6 - 7 - 0",46.15,6,7,0
36,"Mega Charizard Y ex Charizard",3,0.58,"7 - 9 - 1",41.18,7,9,1
37,"Jolteon ex Eevee ex",3,0.58,"4 - 9 - 0",30.77,4,9,0
38,"Charizard ex Moltres ex",3,0.58,"3 - 8 - 0",27.27,3,8,0
39,"Greninja ex Suicune ex",3,0.58,"1 - 4 - 0",20,1,4,0
40,"Jolteon ex Pikachu ex",3,0.58,"2 - 8 - 0",20,2,8,0
41,"Magnezone Mew ex",2,0.39,"10 - 6 - 0",62.5,10,6,0
42,"Skarmory ex Aegislash",2,0.39,"6 - 4 - 0",60,6,4,0
43,"Dragonite Mantyke",2,0.39,"7 - 5 - 0",58.33,7,5,0
44,"Mega Lopunny ex Tyrogue",2,0.39,"8 - 6 - 0",57.14,8,6,0
45,"Wailord Primarina",2,0.39,"5 - 4 - 0",55.56,5,4,0
46,"Mega Blaziken ex Magnezone",2,0.39,"5 - 3 - 1",55.56,5,3,1
47,"Melmetal ex Dialga ex",2,0.39,"6 - 5 - 0",54.55,6,5,0
48,"Melmetal ex Skarmory",2,0.39,"3 - 3 - 0",50,3,3,0
49,"Mega Lopunny ex Indeedee ex",2,0.39,"6 - 5 - 1",50,6,5,1
50,"Mega Steelix ex Aegislash",2,0.39,"6 - 6 - 0",50,6,6,0
51,"Mega Lopunny ex Rampardos",2,0.39,"5 - 5 - 0",50,5,5,0
