Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Miraidon ex Magnezone",684,10.03,"2084 - 1709 - 146",52.91,2084,1709,146
2,"Greninja Mega Sableye ex",436,6.4,"1095 - 1156 - 70",47.18,1095,1156,70
3,"Suicune ex Baxcalibur",420,6.16,"1225 - 1019 - 83",52.64,1225,1019,83
4,"Mega Sceptile ex Greninja",418,6.13,"1286 - 1074 - 71",52.9,1286,1074,71
5,"Mega Lucario ex Lucario",348,5.1,"1051 - 921 - 77",51.29,1051,921,77
6,"Butterfree Mega Sceptile ex",278,4.08,"723 - 729 - 47",48.23,723,729,47
7,"Mega Blaziken ex Greninja",225,3.3,"699 - 573 - 40",53.28,699,573,40
8,"Mega Gardevoir ex Mega Diancie ex",205,3.01,"429 - 536 - 18",43.64,429,536,18
9,"Hydreigon Mega Sableye ex",157,2.3,"405 - 411 - 11",48.97,405,411,11
10,"Indeedee ex Giratina ex",155,2.27,"432 - 353 - 53",51.55,432,353,53
11,"Mega Altaria ex Espeon",131,1.92,"396 - 327 - 23",53.08,396,327,23
12,"Mega Gardevoir ex Gardevoir",118,1.73,"260 - 287 - 7",46.93,260,287,7
13,"Mega Lucario ex",112,1.64,"303 - 284 - 22",49.75,303,284,22
14,"Milotic ex Vaporeon ex",109,1.6,"268 - 298 - 13",46.29,268,298,13
15,"Mega Sableye ex Darkrai ex",95,1.39,"214 - 257 - 9",44.58,214,257,9
16,"Zoroark ex Mega Absol ex",83,1.22,"258 - 209 - 15",53.53,258,209,15
17,"Butterfree Hisuian Zoroark ex",79,1.16,"173 - 213 - 8",43.91,173,213,8
18,"Hisuian Goodra Mantyke",77,1.13,"194 - 195 - 10",48.62,194,195,10
19,"Mega Charizard Y ex Entei ex",76,1.11,"202 - 188 - 17",49.63,202,188,17
20,"Hydreigon Mega Absol ex",74,1.09,"183 - 192 - 15",46.92,183,192,15
21,"Mega Manectric ex Zeraora",70,1.03,"210 - 178 - 15",52.11,210,178,15
22,"Meowscarada ex Meowscarada",68,1,"161 - 163 - 14",47.63,161,163,14
23,"Growlithe Lillipup",67,0.98,"135 - 191 - 4",40.91,135,191,4
24,"Magnezone Miraidon ex",63,0.92,"174 - 151 - 7",52.41,174,151,7
25,"Mega Altaria ex Greninja",59,0.87,"153 - 153 - 9",48.57,153,153,9
26,"Mega Blaziken ex Castform Sunny Form",58,0.85,"156 - 137 - 12",51.15,156,137,12
27,"Ursaluna Teal Mask Ogerpon ex",53,0.78,"80 - 131 - 4",37.21,80,131,4
28,"Milotic ex Chien-Pao ex",52,0.76,"151 - 132 - 9",51.71,151,132,9
29,"Zoroark ex Mega Sableye ex",52,0.76,"117 - 135 - 5",45.53,117,135,5
30,"Milotic ex Igglybuff",51,0.75,"124 - 139 - 6",46.1,124,139,6
31,"Mega Lucario ex Palossand",46,0.67,"132 - 121 - 9",50.38,132,121,9
32,"Mega Lucario ex Greninja",44,0.65,"113 - 119 - 5",47.68,113,119,5
33,"Milotic ex Eevee ex",42,0.62,"123 - 93 - 12",53.95,123,93,12
34,"Mega Sceptile ex Sceptile",39,0.57,"88 - 105 - 3",44.9,88,105,3
35,"Mega Sceptile ex Teal Mask Ogerpon ex",38,0.56,"86 - 95 - 5",46.24,86,95,5
36,"Mega Altaria ex Gourgeist",35,0.51,"100 - 91 - 7",50.51,100,91,7
37,"Mega Altaria ex Igglybuff",35,0.51,"57 - 87 - 2",39.04,57,87,2
38,"Mega Lucario ex Igglybuff",34,0.5,"100 - 87 - 9",51.02,100,87,9
39,"Milotic ex Suicune ex",34,0.5,"76 - 82 - 4",46.91,76,82,4
40,"Greninja Mega Absol ex",33,0.48,"93 - 68 - 9",54.71,93,68,9
41,"Giratina ex Darkrai ex",32,0.47,"104 - 85 - 9",52.53,104,85,9
42,"Mega Charizard X ex Mega Charizard Y ex",32,0.47,"76 - 73 - 6",49.03,76,73,6
43,"Dedenne ex Emolga",32,0.47,"75 - 83 - 5",46.01,75,83,5
44,"Rampardos Snorlax",30,0.44,"67 - 89 - 2",42.41,67,89,2
45,"Arceus ex Crobat",29,0.43,"61 - 78 - 2",43.26,61,78,2
46,"Magnezone ex Magnezone",28,0.41,"102 - 78 - 9",53.97,102,78,9
47,"Gourgeist Houndstone",28,0.41,"94 - 77 - 5",53.41,94,77,5
