Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Absol ex Darkrai ex",1259,10.17,"3572 - 3131 - 148",52.14,3572,3131,148
2,"Suicune ex Greninja ex",1138,9.19,"3294 - 2884 - 98",52.49,3294,2884,98
3,"Hydreigon Mega Absol ex",817,6.6,"2211 - 2074 - 96",50.47,2211,2074,96
4,"Mega Altaria ex Indeedee ex",803,6.49,"2512 - 2021 - 99",54.23,2512,2021,99
5,"Mega Blaziken ex Entei ex",646,5.22,"1539 - 1675 - 34",47.38,1539,1675,34
6,"Mega Blaziken ex Heatmor",639,5.16,"1913 - 1649 - 83",52.48,1913,1649,83
7,"Decidueye ex Decidueye",550,4.44,"1444 - 1362 - 50",50.56,1444,1362,50
8,"Magnezone Oricorio",482,3.89,"1414 - 1190 - 64",53,1414,1190,64
9,"Mega Altaria ex Jirachi",361,2.92,"975 - 915 - 37",50.6,975,915,37
10,"Greninja ex Suicune ex",307,2.48,"919 - 777 - 26",53.37,919,777,26
11,"Greninja Oricorio",248,2,"684 - 612 - 22",51.9,684,612,22
12,"Suicune ex Greninja",208,1.68,"509 - 538 - 11",48.11,509,538,11
13,"Mega Blaziken ex Blaziken",133,1.07,"288 - 336 - 5",45.79,288,336,5
14,"Mega Altaria ex Giratina ex",131,1.06,"363 - 311 - 11",52.99,363,311,11
15,"Jolteon ex Pikachu ex",120,0.97,"268 - 312 - 5",45.81,268,312,5
16,"Mega Absol ex Hydreigon",117,0.94,"303 - 306 - 9",49.03,303,306,9
17,"Mega Altaria ex Chingling",106,0.86,"342 - 270 - 12",54.81,342,270,12
18,"Luxray Oricorio",101,0.82,"262 - 246 - 8",50.78,262,246,8
19,"Mega Absol ex Chingling",100,0.81,"308 - 263 - 16",52.47,308,263,16
20,"Arceus ex Crobat",99,0.8,"256 - 236 - 22",49.81,256,236,22
21,"Mega Ampharos ex Ampharos",99,0.8,"216 - 264 - 6",44.44,216,264,6
22,"Mega Altaria ex Altaria",88,0.71,"239 - 216 - 4",52.07,239,216,4
23,"Mega Altaria ex Sylveon ex",78,0.63,"178 - 201 - 5",46.35,178,201,5
24,"Leafeon ex Mega Pinsir ex",73,0.59,"133 - 185 - 1",41.69,133,185,1
25,"Silvally Oricorio",69,0.56,"163 - 148 - 7",51.26,163,148,7
26,"Mega Ampharos ex Oricorio",63,0.51,"147 - 168 - 6",45.79,147,168,6
27,"Hitmonchan ex Rampardos",62,0.5,"127 - 172 - 2",42.19,127,172,2
28,"Mega Altaria ex Altaria",61,0.49,"154 - 156 - 1",49.52,154,156,1
29,"Naganadel Guzzlord ex",60,0.48,"163 - 144 - 3",52.58,163,144,3
30,"Indeedee ex Goodra",59,0.48,"140 - 153 - 2",47.46,140,153,2
31,"Charizard ex Moltres ex",55,0.44,"85 - 156 - 0",35.27,85,156,0
32,"Mega Blaziken ex",52,0.42,"119 - 136 - 2",46.3,119,136,2
33,"Luxray Oricorio",51,0.41,"115 - 138 - 2",45.1,115,138,2
34,"Greninja Mega Absol ex",48,0.39,"147 - 112 - 5",55.68,147,112,5
35,"Giratina ex Darkrai ex",47,0.38,"99 - 110 - 4",46.48,99,110,4
36,"Mega Altaria ex Dusknoir",45,0.36,"112 - 133 - 5",44.8,112,133,5
37,"Victreebel Chingling",40,0.32,"112 - 113 - 2",49.34,112,113,2
38,"Hydreigon Sylveon ex",40,0.32,"100 - 111 - 4",46.51,100,111,4
39,"Jolteon ex Oricorio",39,0.31,"93 - 99 - 1",48.19,93,99,1
40,"Mega Gyarados ex Gyarados",38,0.31,"63 - 87 - 1",41.72,63,87,1
41,"Mega Gyarados ex Mantyke",35,0.28,"57 - 90 - 1",38.51,57,90,1
42,"Mega Pidgeot ex Pidgeot",34,0.27,"57 - 85 - 1",39.86,57,85,1
43,"Indeedee ex Giratina ex",33,0.27,"98 - 82 - 4",53.26,98,82,4
44,"Mega Gyarados ex Milotic",33,0.27,"69 - 96 - 1",41.57,69,96,1
45,"Silvally Rampardos",32,0.26,"61 - 75 - 3",43.88,61,75,3
46,"Mega Absol ex Dusknoir",32,0.26,"61 - 85 - 5",40.4,61,85,5
47,"Espeon ex Sylveon ex",32,0.26,"55 - 87 - 3",37.93,55,87,3
48,"Mega Blaziken ex Sylveon ex",31,0.25,"69 - 81 - 2",45.39,69,81,2
49,"Indeedee ex Golem",30,0.24,"50 - 87 - 3",35.71,50,87,3
50,"Crobat ex Mega Absol ex",28,0.23,"62 - 72 - 4",44.93,62,72,4
51,"Mega Ampharos ex Pichu",27,0.22,"54 - 66 - 1",44.63,54,66,1
52,"Alolan Exeggutor Mega Pinsir ex",27,0.22,"50 - 68 - 1",42.02,50,68,1
