Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",580,10.38,"1806 - 1530 - 76",52.93,1806,1530,76
2,"Mega Altaria ex Igglybuff",436,7.81,"1209 - 1180 - 43",49.71,1209,1180,43
3,"Mega Charizard X ex Mega Charizard Y ex",414,7.41,"1091 - 1093 - 34",49.19,1091,1093,34
4,"Hydreigon Mega Absol ex",383,6.86,"1255 - 995 - 54",54.47,1255,995,54
5,"Mega Scizor ex Revavroom",301,5.39,"763 - 812 - 22",47.78,763,812,22
6,"Mega Manectric ex Zeraora",241,4.32,"811 - 622 - 51",54.65,811,622,51
7,"Mega Manectric ex Oricorio",140,2.51,"322 - 395 - 13",44.11,322,395,13
8,"Mega Charizard Y ex Mega Charizard X ex",139,2.49,"326 - 387 - 9",45.15,326,387,9
9,"Magnezone Teal Mask Ogerpon ex",135,2.42,"436 - 332 - 23",55.12,436,332,23
10,"Mega Altaria ex Greninja",130,2.33,"338 - 342 - 12",48.84,338,342,12
11,"Jolteon ex Mega Manectric ex",125,2.24,"293 - 339 - 7",45.85,293,339,7
12,"Mega Altaria ex Gourgeist",123,2.2,"345 - 327 - 12",50.44,345,327,12
13,"Greninja Mega Absol ex",107,1.92,"261 - 265 - 9",48.79,261,265,9
14,"Magnezone Mega Manectric ex",105,1.88,"319 - 281 - 10",52.3,319,281,10
15,"Mega Steelix ex Indeedee ex",97,1.74,"304 - 228 - 19",55.17,304,228,19
16,"Bellibolt ex Zeraora",89,1.59,"231 - 235 - 9",48.63,231,235,9
17,"Mega Scizor ex Skarmory",77,1.38,"167 - 203 - 7",44.3,167,203,7
18,"Suicune ex Greninja ex",75,1.34,"217 - 200 - 9",50.94,217,200,9
19,"Leafeon ex Teal Mask Ogerpon ex",58,1.04,"159 - 148 - 8",50.48,159,148,8
20,"Meowscarada ex Meowscarada",53,0.95,"119 - 122 - 4",48.57,119,122,4
21,"Gourgeist Houndstone",48,0.86,"147 - 134 - 5",51.4,147,134,5
22,"Mega Charizard Y ex Entei ex",44,0.79,"127 - 112 - 5",52.05,127,112,5
23,"Dragonite ex Dragonite",40,0.72,"65 - 107 - 1",37.57,65,107,1
24,"Mega Altaria ex",39,0.7,"135 - 99 - 10",55.33,135,99,10
25,"Greninja Oricorio",39,0.7,"116 - 100 - 3",52.97,116,100,3
26,"Mega Charizard X ex Entei ex",39,0.7,"102 - 104 - 1",49.28,102,104,1
27,"Giratina ex Darkrai ex",38,0.68,"96 - 91 - 5",50,96,91,5
28,"Magnezone Bellibolt ex",37,0.66,"114 - 99 - 5",52.29,114,99,5
29,"Mega Slowbro ex Mantyke",37,0.66,"76 - 97 - 0",43.93,76,97,0
30,"Magnezone Oricorio",36,0.64,"136 - 94 - 9",56.9,136,94,9
31,"Mega Absol ex Darkrai ex",36,0.64,"93 - 99 - 1",48.19,93,99,1
32,"Mega Blaziken ex Heatmor",29,0.52,"66 - 70 - 2",47.83,66,70,2
33,"Mega Manectric ex Igglybuff",24,0.43,"73 - 63 - 4",52.14,73,63,4
34,"Alolan Ninetales ex Baxcalibur",24,0.43,"54 - 60 - 1",46.96,54,60,1
35,"Arceus ex Crobat",23,0.41,"70 - 61 - 3",52.24,70,61,3
36,"Mega Gengar ex Igglybuff",23,0.41,"42 - 58 - 2",41.18,42,58,2
37,"Wigglytuff ex Darkrai ex",21,0.38,"40 - 61 - 1",39.22,40,61,1
38,"Mega Altaria ex Chingling",20,0.36,"46 - 52 - 4",45.1,46,52,4
39,"Haxorus Pichu",19,0.34,"40 - 50 - 1",43.96,40,50,1
40,"Mega Gardevoir ex Meloetta",18,0.32,"33 - 44 - 0",42.86,33,44,0
41,"Mega Altaria ex Grumpig",16,0.29,"28 - 36 - 0",43.75,28,36,0
42,"Mega Venusaur ex Igglybuff",16,0.29,"34 - 51 - 0",40,34,51,0
