Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Altaria ex Espeon",1048,7.58,"3080 - 2839 - 160",50.67,3080,2839,160
2,"Miraidon ex Magnezone",886,6.41,"2426 - 2311 - 167",49.47,2426,2311,167
3,"Suicune ex Baxcalibur",685,4.95,"2166 - 1855 - 138",52.08,2166,1855,138
4,"Hydreigon Mega Absol ex",610,4.41,"1785 - 1594 - 105",51.23,1785,1594,105
5,"Magnezone Miraidon ex",577,4.17,"1635 - 1527 - 96",50.18,1635,1527,96
6,"Mega Blaziken ex Greninja",567,4.1,"1732 - 1517 - 124",51.35,1732,1517,124
7,"Mega Sceptile ex Sceptile",559,4.04,"1575 - 1491 - 101",49.73,1575,1491,101
8,"Mega Altaria ex Gourgeist",538,3.89,"1666 - 1443 - 114",51.69,1666,1443,114
9,"Zoroark ex Mega Absol ex",525,3.8,"1449 - 1325 - 79",50.79,1449,1325,79
10,"Magnezone ex Magnezone",316,2.29,"881 - 806 - 59",50.46,881,806,59
11,"Greninja Mega Absol ex",300,2.17,"846 - 776 - 70",50,846,776,70
12,"Mega Lucario ex Greninja",299,2.16,"896 - 815 - 50",50.88,896,815,50
13,"Mega Manectric ex Zeraora",270,1.95,"830 - 715 - 55",51.88,830,715,55
14,"Meowscarada ex Meowscarada",256,1.85,"675 - 651 - 46",49.2,675,651,46
15,"Mega Lucario ex Hitmontop",237,1.71,"688 - 622 - 54",50.44,688,622,54
16,"Mega Scizor ex Revavroom",228,1.65,"664 - 645 - 42",49.15,664,645,42
17,"Great Tusk Koraidon ex",206,1.49,"527 - 543 - 19",48.39,527,543,19
18,"Mega Lucario ex",203,1.47,"600 - 535 - 30",51.5,600,535,30
19,"Mega Sceptile ex Teal Mask Ogerpon ex",157,1.14,"408 - 410 - 23",48.51,408,410,23
20,"Mega Altaria ex Greninja",128,0.93,"354 - 328 - 12",51.01,354,328,12
21,"Iron Valiant Iron Boulder",126,0.91,"385 - 318 - 25",52.88,385,318,25
22,"Mega Charizard Y ex Entei ex",126,0.91,"368 - 319 - 20",52.05,368,319,20
23,"Mega Lucario ex Lucario",119,0.86,"323 - 318 - 23",48.64,323,318,23
24,"Mega Lucario ex Koraidon ex",116,0.84,"270 - 320 - 9",45.08,270,320,9
25,"Mega Lucario ex Igglybuff",115,0.83,"276 - 294 - 15",47.18,276,294,15
26,"Iron Valiant Iron Crown",115,0.83,"273 - 290 - 16",47.15,273,290,16
27,"Magnezone ex Miraidon ex",108,0.78,"219 - 269 - 8",44.15,219,269,8
28,"Mega Altaria ex Igglybuff",104,0.75,"280 - 273 - 10",49.73,280,273,10
29,"Mega Blaziken ex Castform Sunny Form",102,0.74,"247 - 278 - 13",45.91,247,278,13
30,"Giratina ex Darkrai ex",95,0.69,"219 - 233 - 16",46.79,219,233,16
31,"Glimmora Kingambit",78,0.56,"145 - 219 - 4",39.4,145,219,4
32,"Altaria Terapagos ex",76,0.55,"163 - 206 - 6",43.47,163,206,6
33,"Mega Steelix ex Indeedee ex",73,0.53,"189 - 195 - 10",47.97,189,195,10
34,"Mega Charizard X ex Mega Charizard Y ex",69,0.5,"152 - 181 - 7",44.71,152,181,7
35,"Mega Altaria ex Iron Valiant",67,0.48,"190 - 179 - 9",50.26,190,179,9
36,"Decidueye ex Decidueye",58,0.42,"120 - 147 - 3",44.44,120,147,3
37,"Sylveon ex Mega Altaria ex",56,0.4,"175 - 151 - 5",52.87,175,151,5
38,"Jolteon ex Jolteon",48,0.35,"140 - 116 - 9",52.83,140,116,9
39,"Mega Venusaur ex",43,0.31,"112 - 102 - 5",51.14,112,102,5
40,"Mega Lopunny ex Lucario",42,0.3,"123 - 109 - 9",51.04,123,109,9
41,"Flutter Mane ex Greninja",39,0.28,"62 - 102 - 2",37.35,62,102,2
42,"Suicune ex Greninja ex",38,0.27,"107 - 105 - 2",50,107,105,2
43,"Alolan Ninetales ex Crawdaunt",35,0.25,"72 - 83 - 2",45.86,72,83,2
44,"Flareon ex Walking Wake",35,0.25,"76 - 100 - 0",43.18,76,100,0
45,"Solgaleo ex Vaporeon ex",33,0.24,"78 - 79 - 3",48.75,78,79,3
46,"Serperior Mega Heracross ex",33,0.24,"87 - 88 - 6",48.07,87,88,6
47,"Mega Sceptile ex Pheromosa",32,0.23,"83 - 84 - 3",48.82,83,84,3
48,"Buzzwole ex Pheromosa",31,0.22,"66 - 71 - 6",46.15,66,71,6
49,"Mega Gardevoir ex Flutter Mane ex",31,0.22,"63 - 80 - 1",43.75,63,80,1
50,"Mega Gardevoir ex Meloetta",30,0.22,"78 - 78 - 4",48.75,78,78,4
51,"Gourgeist Houndstone",29,0.21,"79 - 80 - 5",48.17,79,80,5
52,"Mimikyu ex Greninja",29,0.21,"64 - 72 - 1",46.72,64,72,1
53,"Zoroark ex Darkrai ex",27,0.2,"65 - 73 - 3",46.1,65,73,3
54,"Tapu Koko ex Miraidon ex",27,0.2,"46 - 56 - 1",44.66,46,56,1
