Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",1593,13.19,"4392 - 4169 - 181",50.24,4392,4169,181
2,"Mega Altaria ex Greninja",1410,11.68,"4078 - 3638 - 200",51.52,4078,3638,200
3,"Magnezone Bellibolt ex",1060,8.78,"3131 - 2755 - 151",51.86,3131,2755,151
4,"Bellibolt ex Zeraora",755,6.25,"2082 - 1908 - 98",50.93,2082,1908,98
5,"Greninja Mega Absol ex",715,5.92,"2063 - 1821 - 91",51.9,2063,1821,91
6,"Hydreigon Mega Absol ex",679,5.62,"1926 - 1780 - 80",50.87,1926,1780,80
7,"Mega Altaria ex Gourgeist",617,5.11,"1894 - 1524 - 111",53.67,1894,1524,111
8,"Mega Altaria ex Chingling",230,1.91,"605 - 563 - 39",50.12,605,563,39
9,"Meowscarada ex Meowscarada",208,1.72,"392 - 541 - 9",41.61,392,541,9
10,"Mega Lopunny ex Annihilape",194,1.61,"401 - 529 - 8",42.75,401,529,8
11,"Mega Charizard Y ex Entei ex",172,1.42,"391 - 454 - 22",45.1,391,454,22
12,"Suicune ex Greninja ex",167,1.38,"345 - 445 - 11",43.07,345,445,11
13,"Gourgeist Houndstone",164,1.36,"463 - 420 - 20",51.27,463,420,20
14,"Alolan Ninetales ex Baxcalibur",152,1.26,"369 - 383 - 18",47.92,369,383,18
15,"Bellibolt ex Magnezone",148,1.23,"380 - 384 - 15",48.78,380,384,15
16,"Mega Altaria ex",116,0.96,"377 - 289 - 18",55.12,377,289,18
17,"Magnezone Oricorio",114,0.94,"326 - 280 - 13",52.67,326,280,13
18,"Mega Gardevoir ex Meloetta",94,0.78,"238 - 222 - 11",50.53,238,222,11
19,"Gholdengo ex Dialga ex",93,0.77,"156 - 244 - 4",38.61,156,244,4
20,"Gholdengo ex Orthworm",89,0.74,"156 - 220 - 2",41.27,156,220,2
21,"Leafeon ex Teal Mask Ogerpon ex",77,0.64,"222 - 203 - 7",51.39,222,203,7
22,"Greninja Oricorio",76,0.63,"221 - 189 - 13",52.25,221,189,13
23,"Melmetal ex Melmetal",70,0.58,"169 - 181 - 5",47.61,169,181,5
24,"Mega Blaziken ex Heatmor",70,0.58,"157 - 178 - 7",45.91,157,178,7
25,"Mega Blaziken ex",70,0.58,"108 - 170 - 4",38.3,108,170,4
26,"Giratina ex Darkrai ex",65,0.54,"186 - 154 - 16",52.25,186,154,16
27,"Mega Altaria ex Indeedee ex",58,0.48,"110 - 143 - 3",42.97,110,143,3
28,"Mega Altaria ex Altaria",57,0.47,"185 - 140 - 15",54.41,185,140,15
29,"Galvantula Greninja",53,0.44,"141 - 135 - 10",49.3,141,135,10
30,"Mega Lopunny ex Lucario",53,0.44,"96 - 126 - 10",41.38,96,126,10
31,"Mega Kangaskhan ex Darkrai ex",51,0.42,"117 - 128 - 5",46.8,117,128,5
32,"Alolan Ninetales ex Crawdaunt",51,0.42,"107 - 136 - 4",43.32,107,136,4
33,"Jolteon ex Jolteon",50,0.41,"135 - 131 - 8",49.27,135,131,8
34,"Mega Steelix ex Indeedee ex",48,0.4,"131 - 119 - 6",51.17,131,119,6
35,"Mega Venusaur ex",48,0.4,"106 - 123 - 1",46.09,106,123,1
