Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",2756,16.65,"8305 - 7031 - 398",52.78,8305,7031,398
2,"Suicune ex Greninja ex",1131,6.83,"3306 - 2872 - 153",52.22,3306,2872,153
3,"Mega Altaria ex Chingling",1094,6.61,"3206 - 2765 - 165",52.25,3206,2765,165
4,"Mega Altaria ex Greninja",728,4.4,"2098 - 1806 - 92",52.5,2098,1806,92
5,"Mega Altaria ex Gourgeist",592,3.58,"1811 - 1540 - 85",52.71,1811,1540,85
6,"Greninja Oricorio",591,3.57,"1566 - 1544 - 68",49.28,1566,1544,68
7,"Giratina ex Darkrai ex",488,2.95,"1345 - 1222 - 67",51.06,1345,1222,67
8,"Mega Altaria ex Indeedee ex",454,2.74,"1205 - 1161 - 73",49.41,1205,1161,73
9,"Magnezone Oricorio",449,2.71,"1420 - 1153 - 93",53.26,1420,1153,93
10,"Galarian Obstagoon Mega Absol ex",394,2.38,"886 - 1061 - 22",45,886,1061,22
11,"Mega Charizard Y ex Entei ex",375,2.27,"964 - 960 - 57",48.66,964,960,57
12,"Mega Kangaskhan ex Darkrai ex",346,2.09,"820 - 887 - 45",46.8,820,887,45
13,"Mega Kangaskhan ex Pichu",212,1.28,"514 - 526 - 28",48.13,514,526,28
14,"Greninja Mega Kangaskhan ex",211,1.27,"563 - 561 - 18",49.3,563,561,18
15,"Mimikyu ex Greninja",208,1.26,"574 - 506 - 25",51.95,574,506,25
16,"Mega Gardevoir ex Mewtwo ex",188,1.14,"348 - 483 - 15",41.13,348,483,15
17,"Chandelure Meowth",187,1.13,"491 - 481 - 19",49.55,491,481,19
18,"Greninja ex Suicune ex",184,1.11,"517 - 461 - 25",51.55,517,461,25
19,"Mega Steelix ex Indeedee ex",167,1.01,"384 - 439 - 23",45.39,384,439,23
20,"Snorlax ex Indeedee ex",153,0.92,"365 - 371 - 52",46.32,365,371,52
21,"Buzzwole ex Celesteela",136,0.82,"305 - 351 - 9",45.86,305,351,9
22,"Magnezone Mega Kangaskhan ex",135,0.82,"355 - 359 - 16",48.63,355,359,16
23,"Mega Blaziken ex",133,0.8,"360 - 367 - 22",48.06,360,367,22
24,"Giratina ex Mimikyu ex",129,0.78,"402 - 337 - 31",52.21,402,337,31
25,"Greninja Mega Absol ex",119,0.72,"319 - 303 - 13",50.24,319,303,13
26,"Buzzwole ex Pheromosa",113,0.68,"250 - 283 - 7",46.3,250,283,7
27,"Decidueye ex Decidueye",107,0.65,"228 - 274 - 4",45.06,228,274,4
28,"Mega Altaria ex Jirachi",102,0.62,"281 - 265 - 11",50.45,281,265,11
29,"Mega Altaria ex Altaria",101,0.61,"299 - 254 - 16",52.55,299,254,16
30,"Jolteon ex Jolteon",101,0.61,"217 - 253 - 7",45.49,217,253,7
31,"Leafeon ex Teal Mask Ogerpon ex",94,0.57,"222 - 255 - 8",45.77,222,255,8
32,"Mega Gardevoir ex Indeedee ex",92,0.56,"182 - 251 - 12",40.9,182,251,12
33,"Mega Lopunny ex Lucario",91,0.55,"206 - 219 - 12",47.14,206,219,12
34,"Mega Blaziken ex Heatmor",89,0.54,"245 - 245 - 6",49.4,245,245,6
35,"Alolan Ninetales ex Crawdaunt",81,0.49,"174 - 228 - 4",42.86,174,228,4
36,"Mega Gardevoir ex Meloetta",80,0.48,"177 - 221 - 5",43.92,177,221,5
37,"Crobat ex Mega Absol ex",67,0.4,"182 - 173 - 7",50.28,182,173,7
38,"Leafeon ex Celebi ex",65,0.39,"162 - 180 - 8",46.29,162,180,8
39,"Mega Swampert ex",64,0.39,"123 - 171 - 4",41.28,123,171,4
40,"Donphan ex Lucario",54,0.33,"116 - 143 - 7",43.61,116,143,7
41,"Mega Mawile ex",54,0.33,"105 - 147 - 3",41.18,105,147,3
42,"Mega Venusaur ex",53,0.32,"98 - 142 - 3",40.33,98,142,3
43,"Galarian Obstagoon Darkrai ex",52,0.31,"93 - 149 - 1",38.27,93,149,1
44,"Alolan Ninetales ex Araquanid",49,0.3,"110 - 138 - 2",44,110,138,2
45,"Mega Gyarados ex Jellicent",47,0.28,"93 - 116 - 2",44.08,93,116,2
46,"Leafeon ex Mega Pinsir ex",46,0.28,"135 - 108 - 10",53.36,135,108,10
47,"Whimsicott ex Ariados",42,0.25,"79 - 113 - 0",41.15,79,113,0
48,"Magnezone Oricorio",40,0.24,"104 - 106 - 8",47.71,104,106,8
