Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",2407,16.73,"7381 - 6169 - 353",53.09,7381,6169,353
2,"Mega Altaria ex Chingling",940,6.53,"2795 - 2386 - 148",52.45,2795,2386,148
3,"Suicune ex Greninja ex",929,6.46,"2698 - 2373 - 127",51.9,2698,2373,127
4,"Greninja Oricorio",578,4.02,"1543 - 1512 - 68",49.41,1543,1512,68
5,"Mega Altaria ex Gourgeist",530,3.68,"1637 - 1376 - 78",52.96,1637,1376,78
6,"Giratina ex Darkrai ex",476,3.31,"1307 - 1197 - 66",50.86,1307,1197,66
7,"Mega Altaria ex Greninja",464,3.23,"1375 - 1156 - 64",52.99,1375,1156,64
8,"Mega Altaria ex Indeedee ex",414,2.88,"1111 - 1061 - 71",49.53,1111,1061,71
9,"Magnezone Oricorio",398,2.77,"1248 - 1040 - 78",52.75,1248,1040,78
10,"Galarian Obstagoon Mega Absol ex",387,2.69,"876 - 1045 - 22",45.08,876,1045,22
11,"Mega Kangaskhan ex Darkrai ex",317,2.2,"768 - 824 - 43",46.97,768,824,43
12,"Mega Charizard Y ex Entei ex",300,2.09,"798 - 778 - 49",49.11,798,778,49
13,"Mega Kangaskhan ex Pichu",202,1.4,"493 - 506 - 26",48.1,493,506,26
14,"Greninja Mega Kangaskhan ex",201,1.4,"538 - 536 - 17",49.31,538,536,17
15,"Mimikyu ex Greninja",200,1.39,"563 - 487 - 25",52.37,563,487,25
16,"Mega Gardevoir ex Mewtwo ex",183,1.27,"345 - 473 - 15",41.42,345,473,15
17,"Greninja ex Suicune ex",168,1.17,"480 - 426 - 23",51.67,480,426,23
18,"Chandelure Meowth",166,1.15,"443 - 426 - 15",50.11,443,426,15
19,"Mega Steelix ex Indeedee ex",153,1.06,"372 - 409 - 23",46.27,372,409,23
20,"Magnezone Mega Kangaskhan ex",132,0.92,"348 - 354 - 15",48.54,348,354,15
21,"Snorlax ex Indeedee ex",131,0.91,"326 - 319 - 47",47.11,326,319,47
22,"Buzzwole ex Celesteela",131,0.91,"300 - 339 - 9",46.3,300,339,9
23,"Giratina ex Mimikyu ex",123,0.85,"389 - 321 - 31",52.5,389,321,31
24,"Buzzwole ex Pheromosa",110,0.76,"246 - 275 - 7",46.59,246,275,7
25,"Mega Blaziken ex",99,0.69,"274 - 278 - 18",48.07,274,278,18
26,"Greninja Mega Absol ex",94,0.65,"258 - 242 - 11",50.49,258,242,11
27,"Decidueye ex Decidueye",93,0.65,"199 - 244 - 3",44.62,199,244,3
28,"Jolteon ex Jolteon",89,0.62,"194 - 225 - 7",45.54,194,225,7
29,"Mega Gardevoir ex Indeedee ex",88,0.61,"179 - 241 - 11",41.53,179,241,11
30,"Mega Altaria ex Altaria",87,0.6,"255 - 220 - 14",52.15,255,220,14
31,"Mega Lopunny ex Lucario",77,0.54,"181 - 190 - 10",47.51,181,190,10
32,"Alolan Ninetales ex Crawdaunt",77,0.54,"168 - 218 - 4",43.08,168,218,4
33,"Mega Gardevoir ex Meloetta",76,0.53,"172 - 212 - 5",44.22,172,212,5
34,"Leafeon ex Teal Mask Ogerpon ex",74,0.51,"166 - 203 - 5",44.39,166,203,5
35,"Mega Blaziken ex Heatmor",68,0.47,"191 - 195 - 3",49.1,191,195,3
36,"Mega Swampert ex",60,0.42,"118 - 158 - 4",42.14,118,158,4
37,"Crobat ex Mega Absol ex",59,0.41,"171 - 154 - 7",51.51,171,154,7
38,"Leafeon ex Celebi ex",58,0.4,"142 - 162 - 7",45.66,142,162,7
39,"Mega Mawile ex",53,0.37,"103 - 145 - 3",41.04,103,145,3
40,"Donphan ex Lucario",51,0.35,"113 - 137 - 7",43.97,113,137,7
41,"Galarian Obstagoon Darkrai ex",50,0.35,"90 - 144 - 1",38.3,90,144,1
42,"Mega Gyarados ex Jellicent",47,0.33,"93 - 116 - 2",44.08,93,116,2
43,"Alolan Ninetales ex Araquanid",47,0.33,"107 - 134 - 2",44.03,107,134,2
44,"Mega Venusaur ex",45,0.31,"85 - 120 - 2",41.06,85,120,2
45,"Whimsicott ex Ariados",40,0.28,"72 - 107 - 0",40.22,72,107,0
46,"Magnezone Oricorio",37,0.26,"95 - 100 - 6",47.26,95,100,6
