Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",2096,19.7,"6115 - 5164 - 257",53.01,6115,5164,257
2,"Giratina ex Darkrai ex",1272,11.95,"3583 - 3159 - 189",51.7,3583,3159,189
3,"Guzzlord ex",717,6.74,"1889 - 1762 - 87",50.54,1889,1762,87
4,"Flareon ex Eevee ex",461,4.33,"1285 - 1161 - 40",51.69,1285,1161,40
5,"Espeon ex Sylveon ex",323,3.04,"801 - 765 - 29",50.22,801,765,29
6,"Buzzwole ex Pheromosa",243,2.28,"622 - 606 - 19",49.88,622,606,19
7,"Darkrai ex Arceus ex",237,2.23,"640 - 611 - 26",50.12,640,611,26
8,"Arceus ex Pichu",197,1.85,"503 - 487 - 15",50.05,503,487,15
9,"Dragonite ex Dragonite",179,1.68,"402 - 443 - 17",46.64,402,443,17
10,"Suicune ex Giratina ex",145,1.36,"407 - 351 - 17",52.52,407,351,17
11,"Raikou ex Magnezone",139,1.31,"316 - 348 - 6",47.16,316,348,6
12,"Silvally Rampardos",128,1.2,"380 - 346 - 19",51.01,380,346,19
13,"Silvally Zeraora",125,1.17,"322 - 304 - 13",50.39,322,304,13
14,"Greninja Oricorio",124,1.17,"324 - 289 - 19",51.27,324,289,19
15,"Dragonite ex Sylveon ex",120,1.13,"304 - 294 - 7",50.25,304,294,7
16,"Decidueye ex Decidueye",117,1.1,"303 - 277 - 26",50,303,277,26
17,"Tapu Koko ex Oricorio",112,1.05,"287 - 296 - 9",48.48,287,296,9
18,"Raikou ex Pikachu ex",111,1.04,"262 - 310 - 3",45.57,262,310,3
19,"Raikou ex Tapu Koko ex",109,1.02,"280 - 262 - 11",50.63,280,262,11
20,"Exeggutor ex Alolan Exeggutor",95,0.89,"218 - 257 - 5",45.42,218,257,5
21,"Silvally Pichu",89,0.84,"212 - 225 - 5",47.96,212,225,5
22,"Umbreon ex Eevee ex",75,0.7,"184 - 180 - 5",49.86,184,180,5
23,"Charizard ex Sylveon ex",74,0.7,"135 - 179 - 6",42.19,135,179,6
24,"Solgaleo ex Entei ex",72,0.68,"164 - 180 - 13",45.94,164,180,13
25,"Guzzlord ex Naganadel",69,0.65,"169 - 163 - 7",49.85,169,163,7
26,"Tapu Koko ex Pikachu ex",66,0.62,"151 - 145 - 5",50.17,151,145,5
27,"Raikou ex Arceus ex",56,0.53,"127 - 140 - 3",47.04,127,140,3
28,"Buzzwole ex Celesteela",51,0.48,"145 - 138 - 7",50,145,138,7
29,"Crobat ex Darkrai ex",50,0.47,"135 - 122 - 2",52.12,135,122,2
30,"Weavile ex Darkrai ex",47,0.44,"116 - 115 - 1",50,116,115,1
31,"Silvally Oricorio",45,0.42,"106 - 104 - 5",49.3,106,104,5
32,"Snorlax ex Darkrai ex",44,0.41,"126 - 109 - 5",52.5,126,109,5
33,"Skarmory ex",41,0.39,"111 - 101 - 7",50.68,111,101,7
34,"Flareon ex Sylveon ex",40,0.38,"124 - 117 - 11",49.21,124,117,11
35,"Alolan Raichu ex Raikou ex",40,0.38,"98 - 105 - 2",47.8,98,105,2
36,"Silvally Giratina ex",38,0.36,"92 - 95 - 3",48.42,92,95,3
37,"Donphan ex Rampardos",37,0.35,"92 - 88 - 2",50.55,92,88,2
38,"Suicune ex Palkia ex",37,0.35,"96 - 93 - 2",50.26,96,93,2
39,"Suicune ex Gyarados",36,0.34,"76 - 89 - 3",45.24,76,89,3
40,"Arceus ex Oricorio",35,0.33,"61 - 74 - 4",43.88,61,74,4
41,"Meowscarada",35,0.33,"53 - 77 - 0",40.77,53,77,0
42,"Charizard ex",34,0.32,"103 - 84 - 4",53.93,103,84,4
43,"Pikachu ex Raikou ex",33,0.31,"83 - 89 - 5",46.89,83,89,5
44,"Suicune ex Milotic",32,0.3,"71 - 86 - 1",44.94,71,86,1
45,"Sylveon ex Greninja",31,0.29,"59 - 85 - 2",40.41,59,85,2
46,"Flareon ex Leafeon ex",30,0.28,"55 - 71 - 0",43.65,55,71,0
47,"Mewtwo ex Gardevoir",30,0.28,"43 - 65 - 3",38.74,43,65,3
48,"Pikachu ex Tapu Koko ex",29,0.27,"81 - 69 - 3",52.94,81,69,3
49,"Suicune ex Greninja",28,0.26,"83 - 72 - 13",49.4,83,72,13
50,"Snorlax ex Ho-Oh ex",28,0.26,"57 - 63 - 2",46.72,57,63,2
51,"Donphan ex Lucario",28,0.26,"49 - 68 - 0",41.88,49,68,0
52,"Pikachu ex Oricorio",27,0.25,"82 - 73 - 3",51.9,82,73,3
53,"Giratina ex Latias",25,0.23,"66 - 71 - 1",47.83,66,71,1
54,"Infernape ex Entei ex",25,0.23,"40 - 62 - 0",39.22,40,62,0
55,"Lugia ex Ho-Oh ex",23,0.22,"43 - 55 - 2",43,43,55,2
