Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",2392,19.34,"6802 - 5798 - 299",52.73,6802,5798,299
2,"Giratina ex Darkrai ex",1415,11.44,"3895 - 3451 - 211",51.54,3895,3451,211
3,"Guzzlord ex",778,6.29,"2044 - 1900 - 97",50.58,2044,1900,97
4,"Flareon ex Eevee ex",558,4.51,"1499 - 1386 - 49",51.09,1499,1386,49
5,"Espeon ex Sylveon ex",340,2.75,"849 - 806 - 31",50.36,849,806,31
6,"Buzzwole ex Pheromosa",256,2.07,"652 - 636 - 22",49.77,652,636,22
7,"Darkrai ex Arceus ex",254,2.05,"683 - 649 - 27",50.26,683,649,27
8,"Dragonite ex Dragonite",208,1.68,"453 - 509 - 17",46.27,453,509,17
9,"Arceus ex Pichu",205,1.66,"530 - 503 - 15",50.57,530,503,15
10,"Greninja Oricorio",180,1.46,"514 - 401 - 41",53.77,514,401,41
11,"Silvally Rampardos",149,1.21,"433 - 387 - 26",51.18,433,387,26
12,"Decidueye ex Decidueye",149,1.21,"360 - 356 - 28",48.39,360,356,28
13,"Suicune ex Giratina ex",148,1.2,"415 - 358 - 17",52.53,415,358,17
14,"Raikou ex Magnezone",145,1.17,"330 - 365 - 7",47.01,330,365,7
15,"Silvally Zeraora",142,1.15,"378 - 348 - 17",50.87,378,348,17
16,"Charizard ex",137,1.11,"350 - 328 - 16",50.43,350,328,16
17,"Dragonite ex Sylveon ex",125,1.01,"321 - 305 - 7",50.71,321,305,7
18,"Tapu Koko ex Oricorio",122,0.99,"315 - 321 - 9",48.84,315,321,9
19,"Raikou ex Pikachu ex",114,0.92,"267 - 319 - 3",45.33,267,319,3
20,"Raikou ex Tapu Koko ex",111,0.9,"284 - 267 - 11",50.53,284,267,11
21,"Exeggutor ex Alolan Exeggutor",106,0.86,"252 - 285 - 6",46.41,252,285,6
22,"Silvally Pichu",91,0.74,"218 - 229 - 5",48.23,218,229,5
23,"Tapu Koko ex Pikachu ex",86,0.7,"208 - 189 - 5",51.74,208,189,5
24,"Umbreon ex Eevee ex",84,0.68,"197 - 198 - 5",49.25,197,198,5
25,"Charizard ex Sylveon ex",80,0.65,"148 - 186 - 7",43.4,148,186,7
26,"Guzzlord ex Naganadel",76,0.61,"189 - 177 - 10",50.27,189,177,10
27,"Solgaleo ex Entei ex",76,0.61,"168 - 189 - 13",45.41,168,189,13
28,"Pikachu ex Tapu Koko ex",65,0.53,"187 - 142 - 10",55.16,187,142,10
29,"Raikou ex Arceus ex",63,0.51,"151 - 158 - 5",48.09,151,158,5
30,"Crobat ex Darkrai ex",61,0.49,"159 - 153 - 2",50.64,159,153,2
31,"Snorlax ex Darkrai ex",55,0.44,"151 - 133 - 6",52.07,151,133,6
32,"Buzzwole ex Celesteela",55,0.44,"153 - 145 - 8",50,153,145,8
33,"Silvally Oricorio",51,0.41,"121 - 116 - 5",50,121,116,5
34,"Weavile ex Darkrai ex",50,0.4,"123 - 121 - 1",50.2,123,121,1
35,"Skarmory ex",48,0.39,"131 - 121 - 7",50.58,131,121,7
36,"Suicune ex Palkia ex",46,0.37,"119 - 118 - 2",49.79,119,118,2
37,"Flareon ex Sylveon ex",44,0.36,"135 - 129 - 11",49.09,135,129,11
38,"Silvally Giratina ex",43,0.35,"104 - 108 - 3",48.37,104,108,3
39,"Alolan Raichu ex Raikou ex",42,0.34,"102 - 109 - 2",47.89,102,109,2
40,"Suicune ex Gyarados",42,0.34,"86 - 106 - 4",43.88,86,106,4
41,"Incineroar ex",40,0.32,"112 - 105 - 7",50,112,105,7
42,"Mewtwo ex Gardevoir",40,0.32,"62 - 90 - 3",40,62,90,3
43,"Donphan ex Rampardos",39,0.32,"95 - 93 - 2",50,95,93,2
44,"Meowscarada",39,0.32,"57 - 87 - 0",39.58,57,87,0
45,"Pikachu ex Raikou ex",37,0.3,"95 - 99 - 5",47.74,95,99,5
46,"Crobat ex Nihilego",37,0.3,"89 - 98 - 4",46.6,89,98,4
47,"Arceus ex Oricorio",37,0.3,"65 - 80 - 4",43.62,65,80,4
48,"Donphan ex Lucario",36,0.29,"64 - 87 - 1",42.11,64,87,1
49,"Pikachu ex Oricorio",35,0.28,"100 - 93 - 3",51.02,100,93,3
50,"Flareon ex Leafeon ex",35,0.28,"58 - 83 - 0",41.13,58,83,0
51,"Snorlax ex Ho-Oh ex",33,0.27,"74 - 76 - 2",48.68,74,76,2
52,"Suicune ex Milotic",32,0.26,"71 - 86 - 1",44.94,71,86,1
53,"Sylveon ex Greninja",31,0.25,"59 - 85 - 2",40.41,59,85,2
54,"Arceus ex Tapu Koko ex",30,0.24,"106 - 69 - 7",58.24,106,69,7
55,"Suicune ex Greninja",28,0.23,"83 - 72 - 13",49.4,83,72,13
56,"Charizard ex Moltres ex",28,0.23,"48 - 63 - 1",42.86,48,63,1
57,"Charizard ex Entei ex",27,0.22,"71 - 66 - 3",50.71,71,66,3
58,"Infernape ex Entei ex",27,0.22,"54 - 65 - 1",45,54,65,1
59,"Lugia ex Ho-Oh ex",27,0.22,"53 - 65 - 2",44.17,53,65,2
60,"Giratina ex Latias",26,0.21,"67 - 72 - 1",47.86,67,72,1
61,"Slurpuff Alcremie",26,0.21,"62 - 68 - 0",47.69,62,68,0
62,"Poliwrath ex Politoed",24,0.19,"38 - 61 - 2",37.62,38,61,2
