Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",967,9.82,"2645 - 2397 - 180",50.65,2645,2397,180
2,"Vespiquen ex Shuckle ex",705,7.16,"1946 - 1751 - 129",50.86,1946,1751,129
3,"Hoopa ex Mega Absol ex",558,5.66,"1687 - 1391 - 85",53.34,1687,1391,85
4,"Gouging Fire Dragonair",480,4.87,"1298 - 1230 - 42",50.51,1298,1230,42
5,"Mega Manectric ex Heliolisk",448,4.55,"1193 - 1186 - 59",48.93,1193,1186,59
6,"Suicune ex Baxcalibur",327,3.32,"974 - 815 - 58",52.73,974,815,58
7,"Mega Altaria ex Espeon",306,3.11,"938 - 778 - 68",52.58,938,778,68
8,"Mega Sceptile ex Greninja",281,2.85,"787 - 707 - 45",51.14,787,707,45
9,"Mega Charizard Y ex Entei ex",258,2.62,"657 - 627 - 52",49.18,657,627,52
10,"Hydreigon Mega Absol ex",256,2.6,"663 - 617 - 48",49.92,663,617,48
11,"Hoopa ex Greninja",245,2.49,"701 - 612 - 55",51.24,701,612,55
12,"Dragonair Mega Rayquaza ex",231,2.34,"576 - 611 - 23",47.6,576,611,23
13,"Mega Sharpedo ex Gyarados",177,1.8,"471 - 439 - 16",50.86,471,439,16
14,"Magnezone Miraidon ex",157,1.59,"406 - 381 - 28",49.82,406,381,28
15,"Magnezone ex Magnezone",140,1.42,"423 - 356 - 28",52.42,423,356,28
16,"Mega Blaziken ex Greninja",130,1.32,"336 - 327 - 17",49.41,336,327,17
17,"Meowscarada ex Meowscarada",118,1.2,"340 - 309 - 22",50.67,340,309,22
18,"Miraidon ex Magnezone",112,1.14,"249 - 280 - 6",46.54,249,280,6
19,"Hoopa ex Mega Sableye ex",109,1.11,"327 - 271 - 30",52.07,327,271,30
20,"Mega Rayquaza ex Dragonair",97,0.98,"244 - 264 - 9",47.2,244,264,9
21,"Butterfree Mega Sceptile ex",93,0.94,"278 - 240 - 10",52.65,278,240,10
22,"Mega Sharpedo ex Chien-Pao ex",92,0.93,"217 - 247 - 8",45.97,217,247,8
23,"Zoroark ex Mega Absol ex",91,0.92,"264 - 227 - 19",51.76,264,227,19
24,"Chandelure Oricorio",89,0.9,"223 - 224 - 17",48.06,223,224,17
25,"Mega Lucario ex Greninja",79,0.8,"221 - 198 - 12",51.28,221,198,12
26,"Mega Altaria ex Greninja",73,0.74,"202 - 169 - 15",52.33,202,169,15
27,"Great Tusk Koraidon ex",73,0.74,"162 - 164 - 7",48.65,162,164,7
28,"Wailord ex Indeedee ex",70,0.71,"155 - 173 - 18",44.8,155,173,18
29,"Beautifly Dustox",69,0.7,"148 - 165 - 6",46.39,148,165,6
30,"Dragonair Altaria",66,0.67,"196 - 179 - 8",51.17,196,179,8
31,"Mega Venusaur ex",66,0.67,"140 - 155 - 7",46.36,140,155,7
32,"Dragonite ex Walking Wake",63,0.64,"140 - 182 - 4",42.94,140,182,4
33,"Mega Sceptile ex Sceptile",50,0.51,"110 - 130 - 5",44.9,110,130,5
34,"Mega Sharpedo ex Mega Gyarados ex",47,0.48,"88 - 139 - 0",38.77,88,139,0
35,"Mega Lucario ex Hitmonchan ex",46,0.47,"124 - 118 - 7",49.8,124,118,7
36,"Hydreigon Mega Sableye ex",43,0.44,"115 - 103 - 12",50,115,103,12
37,"Mega Blaziken ex Castform Sunny Form",41,0.42,"84 - 91 - 9",45.65,84,91,9
38,"Magnezone Heliolisk",41,0.42,"88 - 106 - 6",44,88,106,6
39,"Flygon ex",40,0.41,"78 - 103 - 6",41.71,78,103,6
40,"Mega Gardevoir ex Mega Diancie ex",39,0.4,"86 - 100 - 6",44.79,86,100,6
41,"Giratina ex Darkrai ex",38,0.39,"98 - 86 - 7",51.31,98,86,7
42,"Indeedee ex Giratina ex",38,0.39,"78 - 93 - 11",42.86,78,93,11
43,"Rotom ex",37,0.38,"90 - 91 - 5",48.39,90,91,5
44,"Mega Altaria ex Igglybuff",36,0.37,"92 - 96 - 2",48.42,92,96,2
45,"Mega Lucario ex",35,0.36,"91 - 102 - 3",46.43,91,102,3
46,"Dedenne ex Indeedee ex",34,0.35,"115 - 79 - 7",57.21,115,79,7
47,"Greninja ex Suicune ex",33,0.33,"79 - 73 - 8",49.38,79,73,8
48,"Suicune ex Greninja ex",32,0.32,"55 - 84 - 0",39.57,55,84,0
49,"Mega Altaria ex Gourgeist",30,0.3,"69 - 78 - 4",45.7,69,78,4
50,"Milotic ex Mega Sharpedo ex",28,0.28,"61 - 63 - 2",48.41,61,63,2
51,"Mega Charizard X ex Mega Charizard Y ex",28,0.28,"54 - 63 - 2",45.38,54,63,2
52,"Mega Steelix ex Indeedee ex",27,0.27,"53 - 63 - 5",43.8,53,63,5
53,"Luxray Zeraora",26,0.26,"76 - 69 - 3",51.35,76,69,3
54,"Mega Blaziken ex",25,0.25,"70 - 63 - 2",51.85,70,63,2
55,"Hisuian Goodra",25,0.25,"65 - 68 - 4",47.45,65,68,4
56,"Mega Gallade ex Gallade",25,0.25,"40 - 71 - 0",36.04,40,71,0
57,"Hoopa ex Hydreigon",24,0.24,"39 - 55 - 3",40.21,39,55,3
