Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Hydreigon Mega Absol ex",1134,14.82,"3646 - 2940 - 195",53.77,3646,2940,195
2,"Greninja Oricorio",467,6.1,"1318 - 1229 - 65",50.46,1318,1229,65
3,"Mega Altaria ex Chingling",406,5.31,"1340 - 1051 - 99",53.82,1340,1051,99
4,"Galarian Obstagoon Mega Absol ex",397,5.19,"912 - 1091 - 30",44.86,912,1091,30
5,"Suicune ex Greninja ex",387,5.06,"1076 - 1020 - 57",49.98,1076,1020,57
6,"Mega Altaria ex Indeedee ex",296,3.87,"846 - 734 - 68",51.33,846,734,68
7,"Giratina ex Darkrai ex",287,3.75,"842 - 711 - 60",52.2,842,711,60
8,"Mega Kangaskhan ex Darkrai ex",245,3.2,"589 - 637 - 40",46.52,589,637,40
9,"Magnezone Oricorio",231,3.02,"784 - 602 - 48",54.67,784,602,48
10,"Mega Kangaskhan ex Pichu",200,2.61,"484 - 488 - 30",48.3,484,488,30
11,"Greninja Mega Kangaskhan ex",166,2.17,"457 - 444 - 21",49.57,457,444,21
12,"Mega Gardevoir ex Mewtwo ex",161,2.1,"304 - 414 - 13",41.59,304,414,13
13,"Mega Altaria ex Greninja",153,2,"460 - 402 - 23",51.98,460,402,23
14,"Mega Charizard Y ex Entei ex",137,1.79,"380 - 365 - 29",49.1,380,365,29
15,"Buzzwole ex Celesteela",101,1.32,"229 - 252 - 9",46.73,229,252,9
16,"Magnezone Mega Kangaskhan ex",98,1.28,"269 - 262 - 11",49.63,269,262,11
17,"Buzzwole ex Pheromosa",92,1.2,"237 - 231 - 8",49.79,237,231,8
18,"Giratina ex Mimikyu ex",73,0.95,"216 - 191 - 17",50.94,216,191,17
19,"Mega Gardevoir ex Indeedee ex",69,0.9,"143 - 194 - 11",41.09,143,194,11
20,"Mega Swampert ex",62,0.81,"117 - 161 - 5",41.34,117,161,5
21,"Mega Gardevoir ex Meloetta",58,0.76,"152 - 168 - 4",46.91,152,168,4
22,"Jolteon ex Jolteon",55,0.72,"124 - 141 - 2",46.44,124,141,2
23,"Leafeon ex Teal Mask Ogerpon ex",55,0.72,"110 - 141 - 3",43.31,110,141,3
24,"Chandelure Meowth",50,0.65,"136 - 136 - 11",48.06,136,136,11
25,"Mega Altaria ex Altaria",48,0.63,"173 - 124 - 11",56.17,173,124,11
26,"Mega Lopunny ex Lucario",48,0.63,"112 - 111 - 8",48.48,112,111,8
27,"Alolan Ninetales ex Crawdaunt",48,0.63,"100 - 133 - 2",42.55,100,133,2
28,"Decidueye ex Decidueye",45,0.59,"98 - 119 - 4",44.34,98,119,4
29,"Mega Mawile ex",42,0.55,"69 - 107 - 2",38.76,69,107,2
30,"Greninja ex Suicune ex",41,0.54,"135 - 99 - 9",55.56,135,99,9
31,"Mega Gyarados ex Jellicent",41,0.54,"81 - 96 - 4",44.75,81,96,4
32,"Greninja Mega Absol ex",40,0.52,"136 - 109 - 10",53.33,136,109,10
33,"Crobat ex Mega Absol ex",34,0.44,"102 - 84 - 4",53.68,102,84,4
34,"Mega Kangaskhan ex Mega Absol ex",34,0.44,"72 - 86 - 8",43.37,72,86,8
35,"Mega Altaria ex Gourgeist",33,0.43,"107 - 84 - 9",53.5,107,84,9
36,"Mega Blaziken ex",32,0.42,"85 - 84 - 10",47.49,85,84,10
37,"Magnezone Oricorio",31,0.41,"86 - 84 - 4",49.43,86,84,4
38,"Galarian Obstagoon Darkrai ex",30,0.39,"48 - 88 - 0",35.29,48,88,0
39,"Donphan ex Lucario",29,0.38,"69 - 83 - 4",44.23,69,83,4
40,"Mega Blaziken ex Heatmor",27,0.35,"62 - 84 - 1",42.18,62,84,1
41,"Whimsicott ex Ariados",27,0.35,"48 - 70 - 0",40.68,48,70,0
42,"Flareon ex Leafeon ex",25,0.33,"52 - 72 - 0",41.94,52,72,0
43,"Maushold",25,0.33,"54 - 75 - 0",41.86,54,75,0
44,"Mega Kangaskhan ex",23,0.3,"45 - 51 - 1",46.39,45,51,1
45,"Mega Kangaskhan ex Magby",23,0.3,"45 - 67 - 3",39.13,45,67,3
46,"Mega Gardevoir ex Gardevoir",23,0.3,"39 - 66 - 0",37.14,39,66,0
