Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Miraidon ex Magnezone",916,10.21,"2670 - 2221 - 195",52.5,2670,2221,195
2,"Suicune ex Baxcalibur",577,6.43,"1658 - 1384 - 109",52.62,1658,1384,109
3,"Greninja Mega Sableye ex",547,6.09,"1325 - 1413 - 84",46.95,1325,1413,84
4,"Mega Sceptile ex Greninja",530,5.91,"1541 - 1331 - 97",51.9,1541,1331,97
5,"Mega Lucario ex Lucario",436,4.86,"1242 - 1129 - 92",50.43,1242,1129,92
6,"Butterfree Mega Sceptile ex",309,3.44,"788 - 806 - 47",48.02,788,806,47
7,"Mega Blaziken ex Greninja",293,3.26,"873 - 726 - 52",52.88,873,726,52
8,"Mega Altaria ex Espeon",231,2.57,"666 - 542 - 48",53.03,666,542,48
9,"Mega Gardevoir ex Mega Diancie ex",229,2.55,"459 - 583 - 19",43.26,459,583,19
10,"Hydreigon Mega Sableye ex",227,2.53,"593 - 570 - 25",49.92,593,570,25
11,"Indeedee ex Giratina ex",202,2.25,"541 - 461 - 66",50.66,541,461,66
12,"Mega Lucario ex",165,1.84,"434 - 411 - 31",49.54,434,411,31
13,"Zoroark ex Mega Absol ex",153,1.7,"439 - 356 - 30",53.21,439,356,30
14,"Mega Gardevoir ex Gardevoir",128,1.43,"284 - 303 - 9",47.65,284,303,9
15,"Hydreigon Mega Absol ex",126,1.4,"321 - 318 - 25",48.34,321,318,25
16,"Milotic ex Vaporeon ex",116,1.29,"279 - 317 - 14",45.74,279,317,14
17,"Meowscarada ex Meowscarada",99,1.1,"237 - 237 - 19",48.07,237,237,19
18,"Mega Sableye ex Darkrai ex",99,1.1,"224 - 267 - 11",44.62,224,267,11
19,"Mega Charizard Y ex Entei ex",97,1.08,"250 - 231 - 21",49.8,250,231,21
20,"Hisuian Goodra Mantyke",89,0.99,"237 - 225 - 10",50.21,237,225,10
21,"Butterfree Hisuian Zoroark ex",88,0.98,"185 - 234 - 9",43.22,185,234,9
22,"Mega Manectric ex Zeraora",81,0.9,"238 - 201 - 19",51.97,238,201,19
23,"Greninja Mega Absol ex",79,0.88,"231 - 174 - 19",54.48,231,174,19
24,"Zoroark ex Mega Sableye ex",78,0.87,"183 - 199 - 12",46.45,183,199,12
25,"Growlithe Lillipup",75,0.84,"145 - 214 - 5",39.84,145,214,5
26,"Magnezone Miraidon ex",72,0.8,"185 - 167 - 8",51.39,185,167,8
27,"Mega Lucario ex Greninja",71,0.79,"191 - 186 - 11",49.23,191,186,11
28,"Mega Altaria ex Greninja",71,0.79,"173 - 175 - 9",48.46,173,175,9
29,"Mega Blaziken ex Castform Sunny Form",70,0.78,"178 - 161 - 12",50.71,178,161,12
30,"Ursaluna Teal Mask Ogerpon ex",56,0.62,"82 - 139 - 4",36.44,82,139,4
31,"Milotic ex Eevee ex",53,0.59,"164 - 116 - 15",55.59,164,116,15
32,"Milotic ex Chien-Pao ex",53,0.59,"153 - 134 - 9",51.69,153,134,9
33,"Mega Sceptile ex Sceptile",53,0.59,"129 - 140 - 3",47.43,129,140,3
34,"Milotic ex Igglybuff",52,0.58,"126 - 141 - 6",46.15,126,141,6
35,"Mega Lucario ex Igglybuff",51,0.57,"140 - 127 - 17",49.3,140,127,17
36,"Milotic ex Suicune ex",51,0.57,"124 - 121 - 8",49.01,124,121,8
37,"Giratina ex Darkrai ex",49,0.55,"156 - 120 - 11",54.36,156,120,11
38,"Mega Sceptile ex Teal Mask Ogerpon ex",49,0.55,"104 - 121 - 7",44.83,104,121,7
39,"Rampardos Snorlax",48,0.53,"109 - 133 - 3",44.49,109,133,3
40,"Mega Lucario ex Palossand",47,0.52,"134 - 122 - 9",50.57,134,122,9
41,"Mega Altaria ex Gourgeist",46,0.51,"133 - 114 - 9",51.95,133,114,9
42,"Mega Altaria ex Igglybuff",46,0.51,"98 - 109 - 6",46.01,98,109,6
43,"Magnezone ex Magnezone",39,0.43,"130 - 103 - 10",53.5,130,103,10
44,"Mega Charizard X ex Mega Charizard Y ex",36,0.4,"78 - 85 - 6",46.15,78,85,6
45,"Dedenne ex Emolga",36,0.4,"77 - 90 - 5",44.77,77,90,5
46,"Arceus ex Crobat",35,0.39,"65 - 92 - 2",40.88,65,92,2
47,"Gourgeist Houndstone",33,0.37,"100 - 89 - 6",51.28,100,89,6
48,"Great Tusk Koraidon ex",32,0.36,"68 - 86 - 5",42.77,68,86,5
49,"Mega Altaria ex Chingling",28,0.31,"91 - 68 - 13",52.91,91,68,13
50,"Dedenne ex Igglybuff",28,0.31,"62 - 67 - 4",46.62,62,67,4
51,"Jolteon ex Jolteon",28,0.31,"64 - 74 - 2",45.71,64,74,2
