Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",648,8.89,"1786 - 1591 - 123",51.03,1786,1591,123
2,"Vespiquen ex Shuckle ex",547,7.5,"1501 - 1361 - 97",50.73,1501,1361,97
3,"Hoopa ex Mega Absol ex",450,6.17,"1368 - 1135 - 67",53.23,1368,1135,67
4,"Gouging Fire Dragonair",436,5.98,"1184 - 1113 - 38",50.71,1184,1113,38
5,"Mega Manectric ex Heliolisk",410,5.62,"1131 - 1089 - 56",49.69,1131,1089,56
6,"Mega Sceptile ex Greninja",232,3.18,"663 - 589 - 38",51.4,663,589,38
7,"Hoopa ex Greninja",216,2.96,"630 - 538 - 47",51.85,630,538,47
8,"Suicune ex Baxcalibur",199,2.73,"558 - 511 - 31",50.73,558,511,31
9,"Mega Altaria ex Espeon",192,2.63,"598 - 510 - 39",52.14,598,510,39
10,"Dragonair Mega Rayquaza ex",178,2.44,"437 - 480 - 14",46.94,437,480,14
11,"Mega Charizard Y ex Entei ex",154,2.11,"397 - 383 - 33",48.83,397,383,33
12,"Mega Sharpedo ex Gyarados",152,2.08,"414 - 384 - 13",51.05,414,384,13
13,"Hydreigon Mega Absol ex",150,2.06,"364 - 376 - 22",47.77,364,376,22
14,"Magnezone Miraidon ex",126,1.73,"337 - 308 - 24",50.37,337,308,24
15,"Mega Blaziken ex Greninja",100,1.37,"254 - 258 - 11",48.57,254,258,11
16,"Miraidon ex Magnezone",95,1.3,"219 - 239 - 6",47.2,219,239,6
17,"Magnezone ex Magnezone",93,1.28,"313 - 235 - 20",55.11,313,235,20
18,"Mega Rayquaza ex Dragonair",88,1.21,"227 - 238 - 9",47.89,227,238,9
19,"Hoopa ex Mega Sableye ex",81,1.11,"240 - 206 - 20",51.5,240,206,20
20,"Meowscarada ex Meowscarada",77,1.06,"218 - 204 - 13",50.11,218,204,13
21,"Mega Sharpedo ex Chien-Pao ex",75,1.03,"176 - 202 - 7",45.71,176,202,7
22,"Zoroark ex Mega Absol ex",73,1,"231 - 185 - 15",53.6,231,185,15
23,"Mega Lucario ex Greninja",63,0.86,"183 - 160 - 10",51.84,183,160,10
24,"Wailord ex Indeedee ex",59,0.81,"143 - 150 - 14",46.58,143,150,14
25,"Dragonite ex Walking Wake",59,0.81,"134 - 170 - 4",43.51,134,170,4
26,"Great Tusk Koraidon ex",50,0.69,"116 - 116 - 4",49.15,116,116,4
27,"Mega Sharpedo ex Mega Gyarados ex",45,0.62,"82 - 133 - 0",38.14,82,133,0
28,"Mega Sceptile ex Sceptile",43,0.59,"87 - 111 - 2",43.5,87,111,2
29,"Dragonair Altaria",42,0.58,"130 - 119 - 4",51.38,130,119,4
30,"Chandelure Oricorio",40,0.55,"122 - 106 - 10",51.26,122,106,10
31,"Mega Venusaur ex",40,0.55,"88 - 88 - 6",48.35,88,88,6
32,"Mega Lucario ex Hitmonchan ex",36,0.49,"106 - 94 - 7",51.21,106,94,7
33,"Mega Blaziken ex Castform Sunny Form",36,0.49,"74 - 81 - 8",45.4,74,81,8
34,"Butterfree Mega Sceptile ex",34,0.47,"90 - 86 - 2",50.56,90,86,2
35,"Hydreigon Mega Sableye ex",33,0.45,"89 - 79 - 8",50.57,89,79,8
36,"Beautifly Dustox",33,0.45,"71 - 73 - 4",47.97,71,73,4
37,"Giratina ex Darkrai ex",32,0.44,"84 - 71 - 6",52.17,84,71,6
38,"Rotom ex",32,0.44,"84 - 80 - 4",50,84,80,4
39,"Greninja ex Suicune ex",31,0.43,"77 - 70 - 8",49.68,77,70,8
40,"Mega Gardevoir ex Mega Diancie ex",31,0.43,"69 - 84 - 5",43.67,69,84,5
41,"Indeedee ex Giratina ex",31,0.43,"64 - 77 - 7",43.24,64,77,7
42,"Mega Lucario ex",30,0.41,"80 - 87 - 2",47.34,80,87,2
43,"Magnezone Heliolisk",26,0.36,"60 - 67 - 4",45.8,60,67,4
44,"Mega Charizard X ex Mega Charizard Y ex",25,0.34,"52 - 56 - 2",47.27,52,56,2
45,"Luxray Zeraora",24,0.33,"68 - 66 - 3",49.64,68,66,3
46,"Milotic ex Mega Sharpedo ex",24,0.33,"54 - 55 - 1",49.09,54,55,1
47,"Mega Altaria ex Gourgeist",22,0.3,"58 - 60 - 4",47.54,58,60,4
48,"Mega Altaria ex Greninja",22,0.3,"50 - 56 - 3",45.87,50,56,3
49,"Greninja Mega Sableye ex",22,0.3,"38 - 53 - 0",41.76,38,53,0
50,"Mega Gallade ex Gallade",22,0.3,"39 - 66 - 0",37.14,39,66,0
51,"Mega Altaria ex Igglybuff",21,0.29,"63 - 57 - 1",52.07,63,57,1
52,"Hisuian Goodra",20,0.27,"59 - 55 - 3",50.43,59,55,3
53,"Mega Blaziken ex",20,0.27,"51 - 51 - 1",49.51,51,51,1
54,"Vespiquen ex Teal Mask Ogerpon ex",20,0.27,"46 - 52 - 1",46.46,46,52,1
