Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",1193,19.55,"3622 - 3009 - 124",53.62,3622,3009,124
2,"Giratina ex Darkrai ex",646,10.58,"1896 - 1625 - 67",52.84,1896,1625,67
3,"Guzzlord ex",405,6.64,"1122 - 998 - 48",51.75,1122,998,48
4,"Espeon ex Sylveon ex",242,3.97,"595 - 564 - 23",50.34,595,564,23
5,"Flareon ex Eevee ex",228,3.74,"657 - 595 - 14",51.9,657,595,14
6,"Buzzwole ex Pheromosa",174,2.85,"450 - 434 - 12",50.22,450,434,12
7,"Darkrai ex Arceus ex",169,2.77,"498 - 444 - 20",51.77,498,444,20
8,"Arceus ex Pichu",148,2.43,"356 - 363 - 6",49.1,356,363,6
9,"Suicune ex Giratina ex",134,2.2,"385 - 325 - 16",53.03,385,325,16
10,"Raikou ex Magnezone",119,1.95,"271 - 292 - 5",47.71,271,292,5
11,"Dragonite ex Dragonite",110,1.8,"253 - 278 - 10",46.77,253,278,10
12,"Greninja Oricorio",107,1.75,"271 - 248 - 15",50.75,271,248,15
13,"Silvally Rampardos",94,1.54,"299 - 259 - 12",52.46,299,259,12
14,"Silvally Pichu",82,1.34,"201 - 210 - 5",48.32,201,210,5
15,"Tapu Koko ex Oricorio",79,1.29,"217 - 220 - 4",49.21,217,220,4
16,"Raikou ex Pikachu ex",78,1.28,"209 - 231 - 2",47.29,209,231,2
17,"Raikou ex Tapu Koko ex",72,1.18,"196 - 176 - 7",51.72,196,176,7
18,"Dragonite ex Sylveon ex",62,1.02,"169 - 148 - 6",52.32,169,148,6
19,"Silvally Zeraora",62,1.02,"159 - 143 - 5",51.79,159,143,5
20,"Charizard ex Sylveon ex",54,0.88,"79 - 133 - 4",36.57,79,133,4
21,"Solgaleo ex Entei ex",50,0.82,"119 - 124 - 5",47.98,119,124,5
22,"Guzzlord ex Naganadel",43,0.7,"114 - 96 - 6",52.78,114,96,6
23,"Raikou ex Arceus ex",39,0.64,"95 - 99 - 1",48.72,95,99,1
24,"Umbreon ex Eevee ex",36,0.59,"77 - 85 - 2",46.95,77,85,2
25,"Silvally Oricorio",34,0.56,"84 - 80 - 3",50.3,84,80,3
26,"Buzzwole ex Celesteela",34,0.56,"91 - 95 - 3",48.15,91,95,3
27,"Meowscarada",32,0.52,"51 - 70 - 0",42.15,51,70,0
28,"Donphan ex Rampardos",28,0.46,"68 - 65 - 1",50.75,68,65,1
29,"Arceus ex Oricorio",28,0.46,"52 - 61 - 4",44.44,52,61,4
30,"Suicune ex Milotic",27,0.44,"62 - 74 - 1",45.26,62,74,1
31,"Exeggutor ex Alolan Exeggutor",26,0.43,"52 - 68 - 1",42.98,52,68,1
32,"Weavile ex Darkrai ex",25,0.41,"57 - 63 - 1",47.11,57,63,1
33,"Donphan ex Lucario",25,0.41,"43 - 59 - 0",42.16,43,59,0
34,"Flareon ex Sylveon ex",23,0.38,"87 - 72 - 6",52.73,87,72,6
35,"Sylveon ex Greninja",23,0.38,"49 - 60 - 2",44.14,49,60,2
36,"Flareon ex Leafeon ex",23,0.38,"42 - 54 - 0",43.75,42,54,0
37,"Altaria Silvally",22,0.36,"32 - 57 - 0",35.96,32,57,0
38,"Pikachu ex Raikou ex",20,0.33,"51 - 51 - 4",48.11,51,51,4
39,"Giratina ex Latias",20,0.33,"46 - 55 - 1",45.1,46,55,1
40,"Tapu Koko ex Pikachu ex",17,0.28,"47 - 39 - 1",54.02,47,39,1
41,"Darkrai ex Miltank",17,0.28,"27 - 46 - 0",36.99,27,46,0
42,"Suicune ex Gyarados",17,0.28,"28 - 51 - 0",35.44,28,51,0
43,"Suicune ex Magnezone",16,0.26,"28 - 34 - 2",43.75,28,34,2
