Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",374,14.59,"1103 - 890 - 23",54.71,1103,890,23
2,"Giratina ex Darkrai ex",304,11.86,"862 - 748 - 18",52.95,862,748,18
3,"Espeon ex Sylveon ex",184,7.18,"472 - 421 - 17",51.87,472,421,17
4,"Arceus ex Pichu",105,4.1,"250 - 239 - 5",50.61,250,239,5
5,"Suicune ex Giratina ex",103,4.02,"337 - 242 - 14",56.83,337,242,14
6,"Guzzlord ex",85,3.32,"256 - 208 - 8",54.24,256,208,8
7,"Greninja Oricorio",77,3,"192 - 175 - 7",51.34,192,175,7
8,"Buzzwole ex Pheromosa",73,2.85,"182 - 181 - 0",50.14,182,181,0
9,"Flareon ex Eevee ex",71,2.77,"205 - 163 - 3",55.26,205,163,3
10,"Silvally Pichu",71,2.77,"180 - 183 - 3",49.18,180,183,3
11,"Raikou ex Magnezone",64,2.5,"131 - 141 - 1",47.99,131,141,1
12,"Darkrai ex Arceus ex",54,2.11,"180 - 139 - 5",55.56,180,139,5
13,"Guzzlord ex Naganadel",32,1.25,"78 - 73 - 4",50.32,78,73,4
14,"Dragonite ex Dragonite",32,1.25,"54 - 76 - 0",41.54,54,76,0
15,"Meowscarada",28,1.09,"49 - 62 - 0",44.14,49,62,0
16,"Raikou ex Arceus ex",24,0.94,"60 - 57 - 1",50.85,60,57,1
17,"Silvally Oricorio",24,0.94,"53 - 55 - 2",48.18,53,55,2
18,"Charizard ex Sylveon ex",24,0.94,"24 - 58 - 0",29.27,24,58,0
19,"Silvally Rampardos",21,0.82,"77 - 56 - 4",56.2,77,56,4
20,"Arceus ex Oricorio",20,0.78,"36 - 41 - 1",46.15,36,41,1
21,"Sylveon ex Greninja",17,0.66,"39 - 42 - 2",46.99,39,42,2
22,"Donphan ex Lucario",17,0.66,"36 - 43 - 0",45.57,36,43,0
23,"Raikou ex Pikachu ex",16,0.62,"33 - 34 - 2",47.83,33,34,2
24,"Suicune ex Milotic",14,0.55,"31 - 39 - 1",43.66,31,39,1
25,"Buzzwole ex Celesteela",14,0.55,"30 - 38 - 1",43.48,30,38,1
26,"Donphan ex Rampardos",13,0.51,"34 - 30 - 1",52.31,34,30,1
27,"Dragonite ex Sylveon ex",13,0.51,"30 - 34 - 1",46.15,30,34,1
28,"Altaria Silvally",12,0.47,"22 - 31 - 0",41.51,22,31,0
29,"Darkrai ex Miltank",12,0.47,"13 - 29 - 0",30.95,13,29,0
30,"Poliwrath ex Politoed",11,0.43,"18 - 24 - 0",42.86,18,24,0
31,"Flareon ex Leafeon ex",11,0.43,"10 - 17 - 0",37.04,10,17,0
32,"Silvally Arceus ex",10,0.39,"25 - 25 - 1",49.02,25,25,1
33,"Crobat ex Darkrai ex",10,0.39,"22 - 28 - 1",43.14,22,28,1
34,"Suicune ex Gyarados",10,0.39,"12 - 26 - 0",31.58,12,26,0
35,"Guzzlord ex Nihilego",9,0.35,"27 - 19 - 1",57.45,27,19,1
36,"Arceus ex Tapu Koko ex",9,0.35,"23 - 21 - 0",52.27,23,21,0
37,"Pikachu ex Tapu Koko ex",9,0.35,"24 - 25 - 0",48.98,24,25,0
38,"Suicune ex Sylveon ex",9,0.35,"20 - 19 - 2",48.78,20,19,2
39,"Snorlax ex Ho-Oh ex",9,0.35,"9 - 22 - 1",28.13,9,22,1
40,"Greninja Suicune ex",8,0.31,"21 - 21 - 0",50,21,21,0
41,"Suicune ex Silvally",8,0.31,"19 - 21 - 0",47.5,19,21,0
42,"Jumpluff ex Oricorio",8,0.31,"16 - 19 - 1",44.44,16,19,1
43,"Sylveon ex Solgaleo ex",8,0.31,"17 - 22 - 0",43.59,17,22,0
44,"Pikachu ex",7,0.27,"13 - 14 - 0",48.15,13,14,0
45,"Silvally Pikachu ex",7,0.27,"12 - 16 - 0",42.86,12,16,0
46,"Poliwrath ex Lucario",7,0.27,"11 - 16 - 1",39.29,11,16,1
47,"Silvally Darkrai ex",7,0.27,"11 - 17 - 0",39.29,11,17,0
