Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",2359,10.73,"6663 - 5857 - 251",52.17,6663,5857,251
2,"Mega Altaria ex Indeedee ex",2051,9.33,"5975 - 5153 - 236",52.58,5975,5153,236
3,"Hydreigon Mega Absol ex",1939,8.82,"5286 - 4840 - 241",50.99,5286,4840,241
4,"Mega Absol ex Darkrai ex",1442,6.56,"3986 - 3576 - 163",51.6,3986,3576,163
5,"Mega Blaziken ex Heatmor",1203,5.47,"3423 - 3114 - 140",51.27,3423,3114,140
6,"Magnezone Oricorio",1088,4.95,"3140 - 2714 - 154",52.26,3140,2714,154
7,"Greninja ex Suicune ex",978,4.45,"2808 - 2436 - 111",52.44,2808,2436,111
8,"Decidueye ex Decidueye",855,3.89,"2181 - 2140 - 94",49.4,2181,2140,94
9,"Mega Blaziken ex Entei ex",685,3.12,"1593 - 1787 - 36",46.63,1593,1787,36
10,"Greninja Mega Absol ex",511,2.32,"1412 - 1250 - 72",51.65,1412,1250,72
11,"Mega Altaria ex Jirachi",392,1.78,"1065 - 996 - 38",50.74,1065,996,38
12,"Greninja Oricorio",330,1.5,"886 - 799 - 37",51.45,886,799,37
13,"Suicune ex Greninja",242,1.1,"567 - 618 - 11",47.41,567,618,11
14,"Mega Altaria ex Giratina ex",196,0.89,"551 - 467 - 16",53.29,551,467,16
15,"Mega Absol ex Hydreigon",191,0.87,"455 - 489 - 15",47.45,455,489,15
16,"Espeon ex Indeedee ex",183,0.83,"431 - 447 - 47",46.59,431,447,47
17,"Mega Blaziken ex Blaziken",180,0.82,"401 - 459 - 5",46.36,401,459,5
18,"Crobat ex Mega Absol ex",164,0.75,"461 - 433 - 14",50.77,461,433,14
19,"Jolteon ex Pikachu ex",146,0.66,"326 - 380 - 13",45.34,326,380,13
20,"Mega Altaria ex Chingling",140,0.64,"429 - 351 - 17",53.83,429,351,17
21,"Arceus ex Crobat",137,0.62,"315 - 337 - 22",46.74,315,337,22
22,"Mega Absol ex Chingling",135,0.61,"391 - 349 - 16",51.72,391,349,16
23,"Mega Altaria ex Altaria",122,0.55,"318 - 291 - 7",51.62,318,291,7
24,"Mega Ampharos ex Ampharos",121,0.55,"254 - 316 - 9",43.87,254,316,9
25,"Luxray Oricorio",117,0.53,"301 - 293 - 10",49.83,301,293,10
26,"Naganadel Guzzlord ex",104,0.47,"270 - 266 - 23",48.3,270,266,23
27,"Naganadel Mega Absol ex",97,0.44,"264 - 265 - 5",49.44,264,265,5
28,"Leafeon ex Mega Pinsir ex",95,0.43,"183 - 249 - 3",42.07,183,249,3
29,"Mega Blaziken ex Heatmor",94,0.43,"281 - 241 - 9",52.92,281,241,9
30,"Mega Altaria ex Altaria",94,0.43,"241 - 229 - 5",50.74,241,229,5
31,"Mega Altaria ex Sylveon ex",83,0.38,"180 - 210 - 5",45.57,180,210,5
32,"Mega Pidgeot ex Pidgeot",82,0.37,"106 - 189 - 12",34.53,106,189,12
33,"Charizard ex Moltres ex",81,0.37,"115 - 215 - 2",34.64,115,215,2
34,"Indeedee ex Goodra",77,0.35,"179 - 196 - 4",47.23,179,196,4
35,"Silvally Oricorio",75,0.34,"176 - 166 - 7",50.43,176,166,7
36,"Hitmonchan ex Rampardos",74,0.34,"144 - 204 - 2",41.14,144,204,2
37,"Mega Blaziken ex",73,0.33,"152 - 184 - 4",44.71,152,184,4
38,"Mega Absol ex Absol",68,0.31,"183 - 174 - 9",50,183,174,9
39,"Giratina ex Darkrai ex",68,0.31,"126 - 161 - 4",43.3,126,161,4
40,"Mega Ampharos ex Oricorio",67,0.3,"150 - 177 - 6",45.05,150,177,6
41,"Luxray Oricorio",60,0.27,"137 - 161 - 3",45.51,137,161,3
42,"Mega Altaria ex Greninja",56,0.25,"151 - 147 - 9",49.19,151,147,9
43,"Jolteon ex Leafeon ex",55,0.25,"121 - 142 - 6",44.98,121,142,6
44,"Mega Altaria ex Dusknoir",55,0.25,"129 - 157 - 6",44.18,129,157,6
45,"Jolteon ex Zeraora",52,0.24,"139 - 129 - 5",50.92,139,129,5
46,"Jolteon ex Oricorio",51,0.23,"114 - 128 - 1",46.91,114,128,1
47,"Mega Absol ex Dusknoir",48,0.22,"94 - 126 - 5",41.78,94,126,5
48,"Espeon ex Sylveon ex",46,0.21,"98 - 126 - 3",43.17,98,126,3
49,"Victreebel Chingling",45,0.2,"118 - 126 - 2",47.97,118,126,2
