Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Altaria ex Espeon",517,10.39,"1490 - 1411 - 65",50.24,1490,1411,65
2,"Miraidon ex Magnezone",359,7.21,"981 - 952 - 64",49.12,981,952,64
3,"Magnezone Miraidon ex",304,6.11,"850 - 806 - 49",49.85,850,806,49
4,"Mega Sceptile ex Sceptile",256,5.14,"757 - 679 - 46",51.08,757,679,46
5,"Mega Altaria ex Gourgeist",223,4.48,"723 - 589 - 54",52.93,723,589,54
6,"Mega Blaziken ex Greninja",184,3.7,"655 - 483 - 48",55.23,655,483,48
7,"Hydreigon Mega Absol ex",178,3.58,"515 - 478 - 24",50.64,515,478,24
8,"Magnezone ex Magnezone",167,3.36,"432 - 411 - 22",49.94,432,411,22
9,"Suicune ex Baxcalibur",153,3.07,"490 - 410 - 32",52.58,490,410,32
10,"Zoroark ex Mega Absol ex",152,3.05,"428 - 411 - 17",50,428,411,17
11,"Meowscarada ex Meowscarada",107,2.15,"275 - 287 - 14",47.74,275,287,14
12,"Mega Lucario ex Koraidon ex",97,1.95,"223 - 266 - 7",44.96,223,266,7
13,"Mega Sceptile ex Teal Mask Ogerpon ex",94,1.89,"266 - 242 - 15",50.86,266,242,15
14,"Mega Scizor ex Revavroom",92,1.85,"305 - 255 - 22",52.41,305,255,22
15,"Iron Valiant Iron Crown",80,1.61,"196 - 204 - 10",47.8,196,204,10
16,"Mega Lucario ex Hitmontop",64,1.29,"175 - 170 - 12",49.02,175,170,12
17,"Mega Lucario ex Lucario",64,1.29,"173 - 174 - 12",48.19,173,174,12
18,"Giratina ex Darkrai ex",64,1.29,"157 - 160 - 12",47.72,157,160,12
19,"Mega Lucario ex Igglybuff",64,1.29,"130 - 148 - 6",45.77,130,148,6
20,"Mega Blaziken ex Castform Sunny Form",63,1.27,"155 - 171 - 10",46.13,155,171,10
21,"Iron Valiant Iron Boulder",57,1.15,"176 - 147 - 10",52.85,176,147,10
22,"Glimmora Kingambit",51,1.02,"105 - 141 - 3",42.17,105,141,3
23,"Mega Altaria ex Iron Valiant",48,0.96,"156 - 131 - 5",53.42,156,131,5
24,"Mega Altaria ex Igglybuff",46,0.92,"118 - 116 - 4",49.58,118,116,4
25,"Great Tusk Koraidon ex",46,0.92,"93 - 116 - 7",43.06,93,116,7
26,"Magnezone ex Miraidon ex",43,0.86,"95 - 109 - 0",46.57,95,109,0
27,"Mega Altaria ex Greninja",41,0.82,"98 - 105 - 3",47.57,98,105,3
28,"Greninja Mega Absol ex",39,0.78,"107 - 100 - 8",49.77,107,100,8
29,"Altaria Terapagos ex",35,0.7,"74 - 91 - 3",44.05,74,91,3
30,"Flutter Mane ex Greninja",34,0.68,"51 - 85 - 2",36.96,51,85,2
31,"Mega Charizard Y ex Entei ex",30,0.6,"95 - 75 - 9",53.07,95,75,9
32,"Mega Charizard X ex Mega Charizard Y ex",26,0.52,"56 - 72 - 2",43.08,56,72,2
33,"Mimikyu ex Greninja",21,0.42,"50 - 52 - 1",48.54,50,52,1
34,"Mega Lucario ex",20,0.4,"52 - 51 - 1",50,52,51,1
35,"Mega Sceptile ex Pheromosa",19,0.38,"60 - 49 - 1",54.55,60,49,1
36,"Miraidon ex Pichu",17,0.34,"48 - 42 - 2",52.17,48,42,2
37,"Mega Blaziken ex Iron Moth",17,0.34,"48 - 47 - 1",50,48,47,1
38,"Kingambit Glimmora",17,0.34,"39 - 45 - 1",45.88,39,45,1
39,"Mega Manectric ex Zeraora",17,0.34,"42 - 50 - 1",45.16,42,50,1
40,"Serperior Mega Heracross ex",16,0.32,"49 - 47 - 2",50,49,47,2
41,"Mega Gardevoir ex Flutter Mane ex",16,0.32,"29 - 36 - 1",43.94,29,36,1
42,"Jolteon ex Jolteon",15,0.3,"43 - 35 - 3",53.09,43,35,3
43,"Alolan Ninetales ex Baxcalibur",15,0.3,"28 - 39 - 0",41.79,28,39,0
44,"Zoroark ex Darkrai ex",14,0.28,"37 - 40 - 1",47.44,37,40,1
45,"Dragonite Raging Bolt",14,0.28,"21 - 38 - 0",35.59,21,38,0
