Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Baxcalibur",1551,10.88,"4454 - 3955 - 194",51.77,4454,3955,194
2,"Hydreigon Mega Absol ex",1432,10.05,"4149 - 3709 - 181",51.61,4149,3709,181
3,"Mega Charizard X ex Mega Charizard Y ex",961,6.74,"2445 - 2536 - 82",48.29,2445,2536,82
4,"Mega Altaria ex Igglybuff",898,6.3,"2528 - 2351 - 100",50.77,2528,2351,100
5,"Mega Manectric ex Zeraora",784,5.5,"2353 - 1961 - 142",52.81,2353,1961,142
6,"Mega Scizor ex Revavroom",634,4.45,"1583 - 1673 - 59",47.75,1583,1673,59
7,"Mega Altaria ex Greninja",592,4.15,"1715 - 1511 - 74",51.97,1715,1511,74
8,"Mega Steelix ex Indeedee ex",470,3.3,"1277 - 1190 - 64",50.45,1277,1190,64
9,"Greninja Mega Absol ex",445,3.12,"1332 - 1091 - 59",53.67,1332,1091,59
10,"Greninja Decidueye ex",269,1.89,"630 - 651 - 33",47.95,630,651,33
11,"Bellibolt ex Zeraora",209,1.47,"527 - 521 - 21",49.3,527,521,21
12,"Mega Manectric ex Oricorio",203,1.42,"445 - 562 - 17",43.46,445,562,17
13,"Magnezone Teal Mask Ogerpon ex",199,1.4,"606 - 492 - 28",53.82,606,492,28
14,"Jolteon ex Mega Manectric ex",191,1.34,"428 - 519 - 10",44.72,428,519,10
15,"Mega Altaria ex Gourgeist",185,1.3,"465 - 473 - 17",48.69,465,473,17
16,"Giratina ex Darkrai ex",174,1.22,"449 - 426 - 22",50.06,449,426,22
17,"Magnezone Mega Manectric ex",149,1.05,"442 - 403 - 13",51.52,442,403,13
18,"Greninja Oricorio",147,1.03,"380 - 360 - 31",49.29,380,360,31
19,"Mega Venusaur ex",134,0.94,"359 - 346 - 17",49.72,359,346,17
20,"Mega Absol ex Darkrai ex",118,0.83,"330 - 313 - 11",50.46,330,313,11
21,"Meowscarada ex Meowscarada",112,0.79,"278 - 279 - 7",49.29,278,279,7
22,"Suicune ex Greninja ex",108,0.76,"284 - 285 - 10",49.05,284,285,10
23,"Mega Charizard Y ex Entei ex",102,0.72,"291 - 263 - 11",51.5,291,263,11
24,"Gourgeist Houndstone",98,0.69,"256 - 258 - 8",49.04,256,258,8
25,"Mega Slowbro ex Mantyke",92,0.65,"189 - 236 - 1",44.37,189,236,1
26,"Dragonite ex Dragonite",82,0.58,"149 - 217 - 2",40.49,149,217,2
27,"Arceus ex Crobat",81,0.57,"202 - 211 - 8",47.98,202,211,8
28,"Mega Scizor ex Skarmory",81,0.57,"169 - 212 - 7",43.56,169,212,7
29,"Leafeon ex Teal Mask Ogerpon ex",75,0.53,"199 - 194 - 11",49.26,199,194,11
30,"Magnezone Bellibolt ex",73,0.51,"234 - 187 - 15",53.67,234,187,15
31,"Mega Altaria ex Chingling",71,0.5,"202 - 186 - 11",50.63,202,186,11
32,"Mega Blaziken ex Greninja",68,0.48,"202 - 172 - 10",52.6,202,172,10
33,"Mega Blaziken ex Heatmor",58,0.41,"137 - 142 - 3",48.58,137,142,3
34,"Magnezone Oricorio",56,0.39,"199 - 138 - 15",56.53,199,138,15
35,"Guzzlord ex Indeedee ex",56,0.39,"200 - 135 - 22",56.02,200,135,22
36,"Mega Altaria ex",56,0.39,"186 - 145 - 12",54.23,186,145,12
37,"Mega Charizard X ex Entei ex",51,0.36,"118 - 136 - 1",46.27,118,136,1
38,"Mega Manectric ex Igglybuff",46,0.32,"116 - 122 - 4",47.93,116,122,4
39,"Melmetal ex Melmetal",45,0.32,"132 - 114 - 6",52.38,132,114,6
40,"Mega Altaria ex Indeedee ex",45,0.32,"119 - 115 - 3",50.21,119,115,3
41,"Mega Manectric ex Silvally",37,0.26,"68 - 97 - 1",40.96,68,97,1
42,"Garchomp ex Rampardos",35,0.25,"80 - 96 - 2",44.94,80,96,2
43,"Charizard ex Entei ex",34,0.24,"111 - 81 - 2",57.22,111,81,2
44,"Jolteon ex Jolteon",33,0.23,"80 - 87 - 3",47.06,80,87,3
45,"Alolan Ninetales ex Baxcalibur",32,0.22,"75 - 82 - 1",47.47,75,82,1
46,"Mega Venusaur ex Igglybuff",32,0.22,"73 - 98 - 2",42.2,73,98,2
