Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",544,8.71,"1557 - 1381 - 92",51.39,1557,1381,92
2,"Mega Altaria ex Espeon",328,5.25,"1046 - 844 - 68",53.42,1046,844,68
3,"Butterfree Mega Sceptile ex",313,5.01,"926 - 790 - 55",52.29,926,790,55
4,"Vespiquen ex Shuckle ex",297,4.76,"884 - 743 - 55",52.56,884,743,55
5,"Suicune ex Baxcalibur",288,4.61,"804 - 730 - 56",50.57,804,730,56
6,"Team Rocket's Weezing ex Hoopa ex",248,3.97,"649 - 623 - 49",49.13,649,623,49
7,"Mega Blaziken ex",217,3.47,"605 - 519 - 52",51.45,605,519,52
8,"Hydreigon Mega Absol ex",217,3.47,"583 - 545 - 39",49.96,583,545,39
9,"Mega Sceptile ex Greninja",143,2.29,"435 - 365 - 32",52.28,435,365,32
10,"Magnezone Miraidon ex",132,2.11,"443 - 314 - 48",55.03,443,314,48
11,"Mega Charizard Y ex Entei ex",126,2.02,"355 - 313 - 28",51.01,355,313,28
12,"Mega Manectric ex Heliolisk",121,1.94,"333 - 304 - 18",50.84,333,304,18
13,"Team Rocket's Raticate ex Alolan Ninetales ex",112,1.79,"211 - 301 - 14",40.11,211,301,14
14,"Hoopa ex Mega Absol ex",101,1.62,"258 - 245 - 16",49.71,258,245,16
15,"Mega Altaria ex Greninja",96,1.54,"241 - 237 - 17",48.69,241,237,17
16,"Dedenne ex Indeedee ex",94,1.5,"301 - 237 - 20",53.94,301,237,20
17,"Magnezone ex Magnezone",94,1.5,"236 - 238 - 17",48.07,236,238,17
18,"Mega Altaria ex",83,1.33,"249 - 225 - 22",50.2,249,225,22
19,"Mega Blaziken ex Greninja",80,1.28,"251 - 198 - 20",53.52,251,198,20
20,"Milotic ex Eevee ex",80,1.28,"256 - 211 - 20",52.57,256,211,20
21,"Dragonair Mega Rayquaza ex",70,1.12,"180 - 170 - 13",49.59,180,170,13
22,"Garchomp",61,0.98,"116 - 169 - 9",39.46,116,169,9
23,"Mega Charizard X ex Mega Charizard Y ex",52,0.83,"140 - 135 - 9",49.3,140,135,9
24,"Mega Sharpedo ex Gyarados",51,0.82,"172 - 134 - 16",53.42,172,134,16
25,"Mega Altaria ex Chingling",50,0.8,"129 - 144 - 7",46.07,129,144,7
26,"Mega Manectric ex Team Rocket's Electrode",44,0.7,"89 - 120 - 4",41.78,89,120,4
27,"Whimsicott ex Ariados",41,0.66,"68 - 103 - 0",39.77,68,103,0
28,"Mega Altaria ex Igglybuff",38,0.61,"107 - 93 - 7",51.69,107,93,7
29,"Mega Altaria ex Happiny",38,0.61,"115 - 97 - 13",51.11,115,97,13
30,"Meowscarada ex Meowscarada",37,0.59,"116 - 106 - 9",50.22,116,106,9
31,"Beautifly Dustox",36,0.58,"94 - 88 - 8",49.47,94,88,8
32,"Zoroark ex Mega Absol ex",35,0.56,"105 - 80 - 7",54.69,105,80,7
33,"Hoopa ex Greninja",35,0.56,"94 - 93 - 4",49.21,94,93,4
34,"Jumpluff ex Team Rocket's Electrode",35,0.56,"80 - 98 - 5",43.72,80,98,5
35,"Team Rocket's Weezing ex Mega Absol ex",34,0.54,"83 - 97 - 5",44.86,83,97,5
36,"Team Rocket's Slowking ex Sylveon ex",33,0.53,"51 - 82 - 1",38.06,51,82,1
37,"Chandelure Oricorio",32,0.51,"66 - 83 - 4",43.14,66,83,4
38,"Indeedee ex Giratina ex",31,0.5,"89 - 65 - 17",52.05,89,65,17
39,"Hoopa ex Mega Sableye ex",31,0.5,"97 - 85 - 7",51.32,97,85,7
40,"Team Rocket's Weezing ex Team Rocket's Magmar",30,0.48,"59 - 94 - 0",38.56,59,94,0
41,"Miraidon ex Magnezone",27,0.43,"100 - 74 - 2",56.82,100,74,2
42,"Mega Venusaur ex",27,0.43,"59 - 81 - 3",41.26,59,81,3
43,"Mega Blaziken ex Castform Sunny Form",26,0.42,"71 - 67 - 2",50.71,71,67,2
44,"Team Rocket's Slowking ex Meloetta",26,0.42,"63 - 75 - 0",45.65,63,75,0
45,"Team Rocket's Weezing ex Zoroark ex",25,0.4,"64 - 76 - 1",45.39,64,76,1
46,"Zoroark ex Team Rocket's Weezing ex",25,0.4,"53 - 66 - 4",43.09,53,66,4
47,"Garchomp Greninja",25,0.4,"55 - 70 - 3",42.97,55,70,3
48,"Garchomp Goomy",25,0.4,"38 - 62 - 3",36.89,38,62,3
49,"Mega Sharpedo ex Chien-Pao ex",23,0.37,"60 - 49 - 8",51.28,60,49,8
50,"Mega Altaria ex Gourgeist",23,0.37,"54 - 63 - 4",44.63,54,63,4
51,"Mega Kangaskhan ex Happiny",21,0.34,"43 - 51 - 5",43.43,43,51,5
52,"Team Rocket's Raticate ex Jolteon ex",19,0.3,"21 - 56 - 0",27.27,21,56,0
53,"Team Rocket's Raticate ex Mega Lucario ex",17,0.27,"43 - 43 - 6",46.74,43,43,6
54,"Greninja Oricorio",16,0.26,"47 - 40 - 3",52.22,47,40,3
55,"Mega Blastoise ex Eiscue",16,0.26,"41 - 41 - 4",47.67,41,41,4
56,"Heliolisk Team Rocket's Zapdos ex",16,0.26,"27 - 42 - 3",37.5,27,42,3
57,"Mega Lucario ex",15,0.24,"51 - 42 - 3",53.13,51,42,3
58,"Hoopa ex Team Rocket's Weezing ex",15,0.24,"41 - 39 - 1",50.62,41,39,1
59,"Mega Lucario ex Igglybuff",15,0.24,"33 - 36 - 6",44,33,36,6
60,"Mega Sceptile ex Sceptile",15,0.24,"29 - 37 - 1",43.28,29,37,1
61,"Mega Blaziken ex Entei ex",15,0.24,"26 - 47 - 1",35.14,26,47,1
62,"Hydreigon Mega Sableye ex",14,0.22,"45 - 38 - 4",51.72,45,38,4
63,"Mega Lucario ex Hitmonchan ex",14,0.22,"35 - 35 - 2",48.61,35,35,2
64,"Greninja Mega Absol ex",14,0.22,"30 - 33 - 1",46.88,30,33,1
