Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Lucario ex Lucario",244,8.19,"722 - 586 - 55",52.97,722,586,55
2,"Suicune ex Baxcalibur",169,5.67,"452 - 421 - 34",49.83,452,421,34
3,"Vespiquen ex Shuckle ex",162,5.44,"499 - 402 - 27",53.77,499,402,27
4,"Team Rocket's Weezing ex Hoopa ex",154,5.17,"421 - 377 - 39",50.3,421,377,39
5,"Butterfree Mega Sceptile ex",118,3.96,"377 - 295 - 16",54.8,377,295,16
6,"Mega Altaria ex Espeon",101,3.39,"330 - 282 - 17",52.46,330,282,17
7,"Mega Sceptile ex Greninja",98,3.29,"302 - 234 - 26",53.74,302,234,26
8,"Mega Blaziken ex",90,3.02,"278 - 198 - 19",56.16,278,198,19
9,"Hydreigon Mega Absol ex",78,2.62,"191 - 185 - 7",49.87,191,185,7
10,"Team Rocket's Raticate ex Alolan Ninetales ex",68,2.28,"120 - 169 - 11",40,120,169,11
11,"Magnezone ex Magnezone",63,2.11,"184 - 157 - 14",51.83,184,157,14
12,"Hoopa ex Mega Absol ex",52,1.74,"127 - 127 - 9",48.29,127,127,9
13,"Mega Manectric ex Heliolisk",49,1.64,"124 - 114 - 8",50.41,124,114,8
14,"Mega Altaria ex",48,1.61,"150 - 127 - 16",51.19,150,127,16
15,"Garchomp",48,1.61,"88 - 120 - 8",40.74,88,120,8
16,"Mega Altaria ex Greninja",40,1.34,"101 - 99 - 7",48.79,101,99,7
17,"Magnezone Miraidon ex",39,1.31,"128 - 80 - 21",55.9,128,80,21
18,"Mega Charizard Y ex Entei ex",38,1.28,"90 - 91 - 7",47.87,90,91,7
19,"Dedenne ex Indeedee ex",36,1.21,"118 - 84 - 9",55.92,118,84,9
20,"Whimsicott ex Ariados",35,1.17,"65 - 92 - 0",41.4,65,92,0
21,"Dragonair Mega Rayquaza ex",30,1.01,"67 - 77 - 3",45.58,67,77,3
22,"Milotic ex Eevee ex",29,0.97,"93 - 81 - 6",51.67,93,81,6
23,"Mega Charizard X ex Mega Charizard Y ex",27,0.91,"78 - 66 - 7",51.66,78,66,7
