Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Mega Altaria ex Espeon",976,7.77,"2929 - 2680 - 148",50.88,2929,2680,148
2,"Miraidon ex Magnezone",807,6.42,"2217 - 2136 - 151",49.22,2217,2136,151
3,"Suicune ex Baxcalibur",610,4.85,"1969 - 1687 - 117",52.19,1969,1687,117
4,"Magnezone Miraidon ex",565,4.5,"1605 - 1501 - 95",50.14,1605,1501,95
5,"Mega Blaziken ex Greninja",539,4.29,"1677 - 1455 - 119",51.58,1677,1455,119
6,"Hydreigon Mega Absol ex",535,4.26,"1574 - 1431 - 91",50.84,1574,1431,91
7,"Mega Sceptile ex Sceptile",510,4.06,"1476 - 1389 - 93",49.9,1476,1389,93
8,"Mega Altaria ex Gourgeist",502,3.99,"1587 - 1364 - 110",51.85,1587,1364,110
9,"Zoroark ex Mega Absol ex",401,3.19,"1151 - 1043 - 58",51.11,1151,1043,58
10,"Magnezone ex Magnezone",281,2.24,"763 - 742 - 36",49.51,763,742,36
11,"Mega Lucario ex Greninja",277,2.2,"865 - 764 - 48",51.58,865,764,48
12,"Greninja Mega Absol ex",273,2.17,"767 - 707 - 63",49.9,767,707,63
13,"Mega Manectric ex Zeraora",248,1.97,"773 - 667 - 50",51.88,773,667,50
14,"Mega Lucario ex Hitmontop",229,1.82,"675 - 601 - 53",50.79,675,601,53
15,"Meowscarada ex Meowscarada",228,1.81,"604 - 586 - 39",49.15,604,586,39
16,"Mega Scizor ex Revavroom",220,1.75,"651 - 624 - 40",49.51,651,624,40
17,"Great Tusk Koraidon ex",196,1.56,"508 - 521 - 17",48.57,508,521,17
18,"Mega Lucario ex",165,1.31,"497 - 442 - 29",51.34,497,442,29
19,"Mega Sceptile ex Teal Mask Ogerpon ex",143,1.14,"382 - 378 - 23",48.79,382,378,23
20,"Mega Lucario ex Koraidon ex",115,0.92,"268 - 317 - 9",45.12,268,317,9
21,"Iron Valiant Iron Crown",113,0.9,"266 - 286 - 16",46.83,266,286,16
22,"Mega Altaria ex Greninja",112,0.89,"304 - 290 - 8",50.5,304,290,8
23,"Iron Valiant Iron Boulder",110,0.88,"331 - 286 - 21",51.88,331,286,21
24,"Mega Lucario ex Lucario",110,0.88,"293 - 299 - 17",48.11,293,299,17
25,"Mega Lucario ex Igglybuff",110,0.88,"258 - 282 - 12",46.74,258,282,12
26,"Mega Charizard Y ex Entei ex",106,0.84,"318 - 274 - 19",52.05,318,274,19
27,"Magnezone ex Miraidon ex",99,0.79,"207 - 251 - 7",44.52,207,251,7
28,"Mega Blaziken ex Castform Sunny Form",98,0.78,"236 - 270 - 13",45.47,236,270,13
29,"Giratina ex Darkrai ex",93,0.74,"219 - 229 - 16",47.2,219,229,16
30,"Mega Altaria ex Igglybuff",91,0.72,"248 - 239 - 8",50.1,248,239,8
31,"Glimmora Kingambit",75,0.6,"142 - 210 - 4",39.89,142,210,4
32,"Altaria Terapagos ex",72,0.57,"155 - 196 - 5",43.54,155,196,5
33,"Mega Altaria ex Iron Valiant",67,0.53,"190 - 179 - 9",50.26,190,179,9
34,"Mega Charizard X ex Mega Charizard Y ex",67,0.53,"151 - 177 - 7",45.07,151,177,7
35,"Mega Steelix ex Indeedee ex",62,0.49,"167 - 168 - 10",48.41,167,168,10
36,"Sylveon ex Mega Altaria ex",48,0.38,"161 - 136 - 5",53.31,161,136,5
37,"Decidueye ex Decidueye",48,0.38,"115 - 121 - 3",48.12,115,121,3
38,"Jolteon ex Jolteon",45,0.36,"133 - 107 - 9",53.41,133,107,9
39,"Flutter Mane ex Greninja",38,0.3,"59 - 100 - 2",36.65,59,100,2
40,"Mega Lopunny ex Lucario",36,0.29,"107 - 92 - 8",51.69,107,92,8
41,"Suicune ex Greninja ex",35,0.28,"105 - 96 - 2",51.72,105,96,2
42,"Mega Sceptile ex Pheromosa",32,0.25,"83 - 84 - 3",48.82,83,84,3
43,"Serperior Mega Heracross ex",32,0.25,"86 - 85 - 6",48.59,86,85,6
44,"Flareon ex Walking Wake",32,0.25,"67 - 90 - 0",42.68,67,90,0
45,"Mega Gardevoir ex Flutter Mane ex",31,0.25,"63 - 80 - 1",43.75,63,80,1
46,"Solgaleo ex Vaporeon ex",30,0.24,"70 - 72 - 2",48.61,70,72,2
47,"Gourgeist Houndstone",29,0.23,"79 - 80 - 5",48.17,79,80,5
48,"Buzzwole ex Pheromosa",28,0.22,"59 - 65 - 4",46.09,59,65,4
49,"Alolan Ninetales ex Crawdaunt",27,0.21,"56 - 63 - 1",46.67,56,63,1
50,"Zoroark ex Darkrai ex",27,0.21,"65 - 73 - 3",46.1,65,73,3
51,"Iron Bundle ex Iron Valiant",27,0.21,"59 - 74 - 2",43.7,59,74,2
52,"Mimikyu ex Greninja",26,0.21,"59 - 64 - 1",47.58,59,64,1
53,"Tapu Koko ex Miraidon ex",25,0.2,"44 - 51 - 1",45.83,44,51,1
54,"Mega Gardevoir ex Meloetta",24,0.19,"71 - 61 - 3",52.59,71,61,3
55,"Mega Blaziken ex Iron Moth",23,0.18,"58 - 65 - 1",46.77,58,65,1
56,"Miraidon ex Pichu",22,0.18,"69 - 55 - 2",54.76,69,55,2
57,"Mega Venusaur ex",22,0.18,"61 - 54 - 1",52.59,61,54,1
58,"Arceus ex Iron Jugulis",21,0.17,"63 - 61 - 2",50,63,61,2
59,"Buzzwole ex Celesteela",21,0.17,"46 - 50 - 1",47.42,46,50,1
60,"Kingambit Glimmora",21,0.17,"44 - 55 - 1",44,44,55,1
61,"Solgaleo ex Alolan Muk",21,0.17,"29 - 56 - 1",33.72,29,56,1
62,"Mega Gardevoir ex Mewtwo ex",20,0.16,"40 - 54 - 1",42.11,40,54,1
63,"Whimsicott ex Ariados",19,0.15,"43 - 43 - 3",48.31,43,43,3
64,"Mega Kangaskhan ex Alolan Muk",19,0.15,"43 - 60 - 0",41.75,43,60,0
65,"Melmetal ex Melmetal",18,0.14,"60 - 47 - 3",54.55,60,47,3
66,"Mega Blaziken ex Skeledirge",18,0.14,"49 - 57 - 3",44.95,49,57,3
