Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Miraidon ex Magnezone",392,8.98,"1239 - 992 - 70",53.85,1239,992,70
2,"Greninja Mega Sableye ex",318,7.29,"789 - 842 - 51",46.91,789,842,51
3,"Mega Sceptile ex Greninja",299,6.85,"899 - 779 - 41",52.3,899,779,41
4,"Suicune ex Baxcalibur",248,5.68,"756 - 599 - 45",54,756,599,45
5,"Butterfree Mega Sceptile ex",205,4.7,"577 - 534 - 40",50.13,577,534,40
6,"Mega Gardevoir ex Mega Diancie ex",165,3.78,"351 - 427 - 16",44.21,351,427,16
7,"Mega Blaziken ex Greninja",143,3.28,"440 - 370 - 24",52.76,440,370,24
8,"Mega Lucario ex Lucario",129,2.96,"421 - 349 - 29",52.69,421,349,29
9,"Hydreigon Mega Sableye ex",94,2.15,"245 - 248 - 5",49.2,245,248,5
10,"Milotic ex Vaporeon ex",90,2.06,"237 - 247 - 11",47.88,237,247,11
11,"Indeedee ex Giratina ex",86,1.97,"281 - 202 - 33",54.46,281,202,33
12,"Mega Gardevoir ex Gardevoir",82,1.88,"194 - 201 - 6",48.38,194,201,6
13,"Mega Sableye ex Darkrai ex",76,1.74,"180 - 200 - 9",46.27,180,200,9
14,"Mega Lucario ex",71,1.63,"173 - 183 - 12",47.01,173,183,12
15,"Butterfree Hisuian Zoroark ex",62,1.42,"149 - 166 - 5",46.56,149,166,5
16,"Hisuian Goodra Mantyke",54,1.24,"140 - 134 - 7",49.82,140,134,7
17,"Meowscarada ex Meowscarada",53,1.21,"138 - 126 - 13",49.82,138,126,13
18,"Mega Altaria ex Espeon",52,1.19,"145 - 125 - 6",52.54,145,125,6
19,"Hydreigon Mega Absol ex",50,1.15,"131 - 129 - 9",48.7,131,129,9
20,"Mega Manectric ex Zeraora",49,1.12,"154 - 126 - 11",52.92,154,126,11
21,"Magnezone Miraidon ex",46,1.05,"114 - 114 - 2",49.57,114,114,2
22,"Mega Charizard Y ex Entei ex",45,1.03,"106 - 106 - 9",47.96,106,106,9
23,"Milotic ex Igglybuff",43,0.99,"102 - 116 - 4",45.95,102,116,4
24,"Mega Lucario ex Palossand",41,0.94,"115 - 111 - 8",49.15,115,111,8
25,"Zoroark ex Mega Sableye ex",41,0.94,"93 - 104 - 2",46.73,93,104,2
26,"Growlithe Lillipup",41,0.94,"81 - 121 - 1",39.9,81,121,1
27,"Zoroark ex Mega Absol ex",40,0.92,"124 - 99 - 5",54.39,124,99,5
28,"Mega Blaziken ex Castform Sunny Form",39,0.89,"112 - 94 - 10",51.85,112,94,10
29,"Milotic ex Chien-Pao ex",38,0.87,"118 - 98 - 8",52.68,118,98,8
30,"Mega Altaria ex Greninja",37,0.85,"102 - 106 - 5",47.89,102,106,5
31,"Ursaluna Teal Mask Ogerpon ex",36,0.83,"55 - 90 - 3",37.16,55,90,3
32,"Mega Sceptile ex Sceptile",34,0.78,"74 - 94 - 3",43.27,74,94,3
33,"Mega Sceptile ex Teal Mask Ogerpon ex",29,0.66,"76 - 71 - 5",50,76,71,5
34,"Dedenne ex Emolga",28,0.64,"71 - 74 - 5",47.33,71,74,5
35,"Hisuian Zoroark ex Froslass",26,0.6,"45 - 68 - 3",38.79,45,68,3
36,"Mega Altaria ex Gourgeist",24,0.55,"67 - 62 - 6",49.63,67,62,6
37,"Mega Charizard X ex Mega Charizard Y ex",24,0.55,"57 - 52 - 6",49.57,57,52,6
38,"Milotic ex Suicune ex",23,0.53,"50 - 55 - 2",46.73,50,55,2
39,"Magnezone ex Magnezone",22,0.5,"85 - 58 - 7",56.67,85,58,7
40,"Mega Lucario ex Greninja",22,0.5,"64 - 60 - 3",50.39,64,60,3
41,"Greninja Mega Absol ex",21,0.48,"54 - 50 - 3",50.47,54,50,3
42,"Milotic ex Vaporeon",21,0.48,"40 - 51 - 2",43.01,40,51,2
43,"Mega Altaria ex Igglybuff",21,0.48,"34 - 53 - 2",38.2,34,53,2
44,"Jolteon ex Jolteon",19,0.44,"47 - 53 - 2",46.08,47,53,2
45,"Mega Scizor ex Revavroom",19,0.44,"52 - 53 - 8",46.02,52,53,8
