Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja ex",3716,14.29,"10989 - 9594 - 584",51.92,10989,9594,584
2,"Hydreigon Mega Absol ex",2760,10.61,"7911 - 7151 - 404",51.15,7911,7151,404
3,"Mega Altaria ex Greninja",1768,6.8,"5234 - 4625 - 295",51.55,5234,4625,295
4,"Magnezone Mega Absol ex",1460,5.61,"4044 - 3858 - 189",49.98,4044,3858,189
5,"Magnezone Oricorio",1127,4.33,"3310 - 2950 - 183",51.37,3310,2950,183
6,"Mega Altaria ex Indeedee ex",1049,4.03,"2989 - 2760 - 137",50.78,2989,2760,137
7,"Mega Charizard Y ex Entei ex",882,3.39,"2127 - 2231 - 117",47.53,2127,2231,117
8,"Greninja Mega Absol ex",791,3.04,"2235 - 2010 - 112",51.3,2235,2010,112
9,"Mega Lopunny ex Lucario",747,2.87,"1817 - 1949 - 61",47.48,1817,1949,61
10,"Decidueye ex Decidueye",700,2.69,"1795 - 1833 - 94",48.23,1795,1833,94
11,"Mega Venusaur ex",675,2.6,"1613 - 1810 - 66",46.23,1613,1810,66
12,"Mega Blaziken ex",570,2.19,"1624 - 1448 - 118",50.91,1624,1448,118
13,"Mega Altaria ex Furfrou",498,1.91,"1469 - 1278 - 84",51.89,1469,1278,84
14,"Whimsicott ex Ariados",445,1.71,"987 - 1144 - 22",45.84,987,1144,22
15,"Jolteon ex Jolteon",379,1.46,"1000 - 961 - 47",49.8,1000,961,47
16,"Mega Altaria ex Giratina ex",346,1.33,"1085 - 893 - 99",52.24,1085,893,99
17,"Greninja ex Suicune ex",249,0.96,"719 - 648 - 34",51.32,719,648,34
18,"Mega Blaziken ex Heatmor",230,0.88,"566 - 599 - 18",47.84,566,599,18
19,"Magnezone Heliolisk",215,0.83,"537 - 580 - 18",47.31,537,580,18
20,"Magnezone Oricorio",200,0.77,"538 - 514 - 22",50.09,538,514,22
21,"Mega Altaria ex Altaria",161,0.62,"466 - 415 - 23",51.55,466,415,23
22,"Jolteon ex Zeraora",151,0.58,"356 - 387 - 13",47.09,356,387,13
23,"Greninja Oricorio",149,0.57,"427 - 370 - 33",51.45,427,370,33
24,"Suicune ex Gyarados",146,0.56,"411 - 385 - 31",49.7,411,385,31
25,"Mega Altaria ex Chingling",129,0.5,"392 - 354 - 21",51.11,392,354,21
26,"Magnezone Darkrai ex",128,0.49,"321 - 341 - 8",47.91,321,341,8
27,"Mega Lopunny ex Magnezone",126,0.48,"310 - 351 - 15",45.86,310,351,15
28,"Mega Steelix ex Pichu",122,0.47,"274 - 331 - 14",44.26,274,331,14
29,"Mega Altaria ex Silvally",104,0.4,"324 - 276 - 14",52.77,324,276,14
30,"Crobat ex Mega Absol ex",102,0.39,"272 - 262 - 16",49.45,272,262,16
31,"Mega Absol ex Darkrai ex",93,0.36,"192 - 272 - 11",40.42,192,272,11
32,"Mega Altaria ex Magnezone",80,0.31,"213 - 211 - 14",48.63,213,211,14
33,"Jolteon ex Eevee ex",75,0.29,"200 - 201 - 7",49.02,200,201,7
34,"Mega Lopunny ex Hitmonchan ex",73,0.28,"179 - 215 - 6",44.75,179,215,6
35,"Jolteon ex Magnezone",69,0.27,"166 - 189 - 5",46.11,166,189,5
36,"Mega Lopunny ex Hitmontop",68,0.26,"192 - 191 - 9",48.98,192,191,9
37,"Magnezone Galvantula",68,0.26,"179 - 184 - 10",47.99,179,184,10
38,"Jolteon ex Mew ex",68,0.26,"119 - 175 - 2",40.2,119,175,2
39,"Mega Venusaur ex Venusaur",67,0.26,"104 - 162 - 6",38.24,104,162,6
40,"Mega Absol ex Hydreigon",66,0.25,"140 - 176 - 4",43.75,140,176,4
