Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Suicune ex Greninja",2548,18.46,"7246 - 6162 - 338",52.71,7246,6162,338
2,"Giratina ex Darkrai ex",1525,11.05,"4153 - 3714 - 220",51.35,4153,3714,220
3,"Guzzlord ex",845,6.12,"2242 - 2067 - 116",50.67,2242,2067,116
4,"Flareon ex Eevee ex",622,4.51,"1680 - 1539 - 55",51.31,1680,1539,55
5,"Espeon ex Sylveon ex",376,2.72,"939 - 901 - 32",50.16,939,901,32
6,"Darkrai ex Arceus ex",308,2.23,"826 - 766 - 34",50.8,826,766,34
7,"Buzzwole ex Pheromosa",290,2.1,"766 - 726 - 31",50.3,766,726,31
8,"Dragonite ex Dragonite",236,1.71,"522 - 572 - 19",46.9,522,572,19
9,"Arceus ex Pichu",222,1.61,"575 - 547 - 16",50.53,575,547,16
10,"Greninja Oricorio",219,1.59,"615 - 494 - 51",53.02,615,494,51
11,"Charizard ex",193,1.4,"477 - 476 - 26",48.72,477,476,26
12,"Decidueye ex Decidueye",171,1.24,"409 - 412 - 28",48.17,409,412,28
13,"Silvally Rampardos",170,1.23,"493 - 443 - 32",50.93,493,443,32
14,"Silvally Zeraora",161,1.17,"418 - 397 - 18",50.18,418,397,18
15,"Raikou ex Magnezone",150,1.09,"340 - 379 - 8",46.77,340,379,8
16,"Suicune ex Giratina ex",149,1.08,"417 - 361 - 17",52.45,417,361,17
17,"Dragonite ex Sylveon ex",131,0.95,"339 - 321 - 7",50.82,339,321,7
18,"Tapu Koko ex Oricorio",126,0.91,"322 - 331 - 10",48.57,322,331,10
19,"Tapu Koko ex Pikachu ex",122,0.88,"319 - 276 - 11",52.64,319,276,11
20,"Raikou ex Pikachu ex",119,0.86,"276 - 333 - 3",45.1,276,333,3
21,"Raikou ex Tapu Koko ex",116,0.84,"297 - 282 - 11",50.34,297,282,11
22,"Pikachu ex Tapu Koko ex",113,0.82,"322 - 267 - 14",53.4,322,267,14
23,"Exeggutor ex Alolan Exeggutor",110,0.8,"264 - 298 - 6",46.48,264,298,6
24,"Silvally Pichu",97,0.7,"239 - 242 - 7",48.98,239,242,7
25,"Umbreon ex Eevee ex",90,0.65,"204 - 215 - 5",48.11,204,215,5
26,"Charizard ex Sylveon ex",88,0.64,"169 - 203 - 7",44.59,169,203,7
27,"Guzzlord ex Naganadel",86,0.62,"229 - 200 - 14",51.69,229,200,14
28,"Solgaleo ex Entei ex",85,0.62,"191 - 209 - 15",46.02,191,209,15
29,"Buzzwole ex Celesteela",73,0.53,"203 - 184 - 14",50.62,203,184,14
30,"Snorlax ex Darkrai ex",72,0.52,"194 - 168 - 9",52.29,194,168,9
31,"Crobat ex Darkrai ex",68,0.49,"175 - 172 - 2",50.14,175,172,2
32,"Raikou ex Arceus ex",67,0.49,"162 - 168 - 5",48.36,162,168,5
33,"Mewtwo ex Gardevoir",66,0.48,"106 - 150 - 3",40.93,106,150,3
34,"Skarmory ex",58,0.42,"152 - 152 - 9",48.56,152,152,9
35,"Suicune ex Palkia ex",55,0.4,"136 - 141 - 2",48.75,136,141,2
36,"Incineroar ex",53,0.38,"138 - 135 - 8",49.11,138,135,8
37,"Weavile ex Darkrai ex",52,0.38,"126 - 126 - 1",49.8,126,126,1
38,"Silvally Oricorio",51,0.37,"121 - 116 - 5",50,121,116,5
39,"Flareon ex Sylveon ex",50,0.36,"151 - 146 - 11",49.03,151,146,11
40,"Crobat ex Nihilego",49,0.36,"120 - 130 - 5",47.06,120,130,5
41,"Suicune ex Gyarados",47,0.34,"101 - 120 - 4",44.89,101,120,4
42,"Silvally Giratina ex",45,0.33,"106 - 113 - 3",47.75,106,113,3
43,"Alolan Raichu ex Raikou ex",44,0.32,"107 - 113 - 2",48.2,107,113,2
44,"Pikachu ex Raikou ex",43,0.31,"112 - 111 - 5",49.12,112,111,5
45,"Charizard ex Moltres ex",43,0.31,"83 - 97 - 3",45.36,83,97,3
46,"Meowscarada",41,0.3,"59 - 91 - 0",39.33,59,91,0
47,"Donphan ex Rampardos",40,0.29,"99 - 97 - 2",50,99,97,2
48,"Flareon ex Leafeon ex",40,0.29,"64 - 95 - 1",40,64,95,1
49,"Infernape ex Entei ex",38,0.28,"76 - 83 - 4",46.63,76,83,4
50,"Arceus ex Oricorio",37,0.27,"65 - 80 - 4",43.62,65,80,4
51,"Donphan ex Lucario",37,0.27,"64 - 88 - 1",41.83,64,88,1
52,"Pikachu ex Oricorio",36,0.26,"102 - 98 - 3",50.25,102,98,3
53,"Snorlax ex Ho-Oh ex",35,0.25,"75 - 81 - 2",47.47,75,81,2
54,"Arceus ex Tapu Koko ex",34,0.25,"121 - 81 - 7",57.89,121,81,7
55,"Suicune ex Milotic",32,0.23,"71 - 86 - 1",44.94,71,86,1
56,"Sylveon ex Greninja",32,0.23,"59 - 87 - 2",39.86,59,87,2
57,"Lugia ex Ho-Oh ex",31,0.22,"60 - 74 - 2",44.12,60,74,2
58,"Arceus ex Crobat",29,0.21,"67 - 69 - 2",48.55,67,69,2
59,"Charizard ex Entei ex",28,0.2,"75 - 69 - 3",51.02,75,69,3
60,"Suicune ex Greninja",28,0.2,"83 - 72 - 13",49.4,83,72,13
61,"Slurpuff Alcremie",28,0.2,"67 - 75 - 0",47.18,67,75,0
62,"Giratina ex Silvally",28,0.2,"63 - 72 - 3",45.65,63,72,3
63,"Pikachu ex Oricorio",27,0.2,"88 - 65 - 8",54.66,88,65,8
64,"Giratina ex Latias",26,0.19,"67 - 72 - 1",47.86,67,72,1
65,"Poliwrath ex Politoed",25,0.18,"43 - 64 - 2",39.45,43,64,2
